Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	EGFR	1	67	182	3583	0.15587696400745776	-1.7669315024457326	1.0
KRAS	AKT2	0	68	61	3704	0.33266774359793827	-10.0	1.0
KRAS	ERBB2	0	68	55	3710	0.37099716572339003	-10.0	1.0
KRAS	DROSHA	0	68	48	3717	0.42123842785766474	-10.0	1.0
KRAS	TRIP13	0	68	39	3726	0.4957852331178557	-10.0	1.0
KRAS	CDK12	0	68	38	3727	0.5048309524234675	-10.0	1.0
KRAS	CCNE1	1	67	84	3681	0.5517967324653754	-0.6125245788524715	1.0
KRAS	GNAS	0	68	32	3733	0.5626217314089017	-10.0	1.0
KRAS	CRKL	0	68	31	3734	0.5728676547446826	-10.0	1.0
KRAS	PDCD1LG2	0	68	28	3737	0.6047212430090357	-10.0	1.0
KRAS	ETV1	0	68	26	3739	0.6269199980901585	-10.0	1.0
KRAS	CARD11	0	68	26	3739	0.6269199980901585	-10.0	1.0
KRAS	RAC1	0	68	24	3741	0.6499212328867983	-10.0	1.0
KRAS	KIT	0	68	24	3741	0.6499212328867983	-10.0	1.0
KRAS	PMS2	0	68	24	3741	0.6499212328867983	-10.0	1.0
KRAS	MET	1	67	68	3697	0.6525390765284542	-0.30141270352086863	1.0
KRAS	KDR	0	68	23	3742	0.6617316668355697	-10.0	1.0
KRAS	TP63	1	67	65	3700	0.6721436774974862	-0.2351474480825524	1.0
KRAS	BCL2L1	0	68	20	3745	0.6984463866048497	-10.0	1.0
KRAS	INHBA	0	68	20	3745	0.6984463866048497	-10.0	1.0
KRAS	CRLF2	0	68	19	3746	0.711125071679364	-10.0	1.0
KRAS	STK11	0	68	19	3746	0.711125071679364	-10.0	1.0
KRAS	PDGFRA	0	68	19	3746	0.711125071679364	-10.0	1.0
KRAS	RICTOR	1	67	56	3709	0.7316293985555076	-0.016629560012366845	1.0
KRAS	KDM6A	0	68	17	3748	0.7371665556216619	-10.0	1.0
KRAS	RARA	0	68	17	3748	0.7371665556216619	-10.0	1.0
KRAS	CEBPA	1	67	54	3711	0.7448935278375053	0.036615593076284834	1.0
KRAS	YES1	0	68	16	3749	0.7505374080575842	-10.0	1.0
KRAS	SMAD4	0	68	16	3749	0.7505374080575842	-10.0	1.0
KRAS	MAPK1	0	68	16	3749	0.7505374080575842	-10.0	1.0
KRAS	SOX17	0	68	16	3749	0.7505374080575842	-10.0	1.0
KRAS	KMT2B	1	67	52	3713	0.7581383529912067	0.09184069125587567	1.0
KRAS	BCL6	1	67	52	3713	0.7581383529912067	0.09184069125587567	1.0
KRAS	SOX2	2	66	94	3671	0.7582007564600373	0.24297442806345665	1.0
KRAS	MYCL1	0	68	15	3750	0.7641471530570284	-10.0	1.0
KRAS	PRDM1	0	68	15	3750	0.7641471530570284	-10.0	1.0
KRAS	RTEL1	1	67	51	3714	0.7647477307102196	0.12024356750615281	1.0
KRAS	ERCC2	0	68	14	3751	0.7779999940082087	-10.0	1.0
KRAS	KEAP1	0	68	14	3751	0.7779999940082087	-10.0	1.0
KRAS	LYN	0	68	14	3751	0.7779999940082087	-10.0	1.0
