Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	18	1.0	0.4076	1.0	0.4052
H3F3C	12	0.6667	0.0263	0.75	0.7727
RAD52	12	0.6667	0.0405	0.75	0.7424
KDM5A	11	0.6111	0.0089	0.72	0.8727
CDKN1B	11	0.6111	0.029	0.72	0.8182
PIK3C2G	11	0.6111	0.0207	0.72	0.7818
RECQL	10	0.5556	0.0007	0.6923	0.9778
CCND2	10	0.5556	0.0007	0.6923	0.9778
CDKN2Ap16INK4A	10	0.5556	0.0007	0.6923	0.9778
ETV6	10	0.5556	0.0007	0.6923	0.9778
CDKN2A	9	0.5	0.0	0.6667	1.0
MDM2	7	0.3889	0.0142	0.6207	0.7143
CDK4	6	0.3333	0.0174	0.6	0.6
NKX2-1	5	0.2778	0.0087	0.5806	0.7
FOXA1	5	0.2778	0.0098	0.5806	0.7
MYC	5	0.2778	0.0087	0.5806	0.7
NFKBIA	4	0.2222	0.0	0.5625	1.0
GLI1	3	0.1667	0.0	0.5455	1.0
H3-5	1	0.0556	0.0	0.5143	0.0
