Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
STK19	CCND3	2	0.0010782226875237207	6.1015380264620624	0.002645983261911659
STK19	NOTCH4	4	1.5520948796048394e-11	10.0	2.285325908935401e-10
CRKL	CDKN2B	2	0.24608825625694655	1.3457329765205013	0.2708239314992685
CRKL	CDKN2A	2	0.2777153985412299	1.2100580090280857	0.29720419843886003
CRKL	CDKN2Ap14ARF	2	0.2726945117350433	1.2308838822300876	0.2936710126377389
CRKL	LZTR1	3	1.8067936493479937e-07	10.282798858683533	1.2054701379243646e-06
CRKL	SMARCB1	3	1.5724131694116597e-06	8.280190792216906	7.762085818945418e-06
CRKL	MYC	2	0.031770016662025044	3.22904497785277	0.0471853812684685
CRKL	MAPK1	6	1.6461679242855098e-15	13.282798858683533	3.428847334975184e-14
CRKL	CDKN2Ap16INK4A	2	0.27102281996972066	1.2378734081254563	0.2936710126377389
PMAIP1	PIK3C3	4	5.424501690035147e-10	11.11287385724122	6.914215587000023e-09
PMAIP1	SMAD4	6	1.5517099655021104e-08	7.40043006856608	1.3385457682210125e-07
PMAIP1	CDKN2B	5	0.0007591901644203249	4.011879071707355	0.0019181905337720634
PMAIP1	CDKN2A	5	0.0011125725971603447	3.874740072004812	0.002714677137071241
PMAIP1	CDKN2Ap14ARF	5	0.001049666525321531	3.8957812334330963	0.00259079541220979
PMAIP1	BRCA2	2	9.015906829044981e-05	8.375039431346925	0.00027111212788747936
PMAIP1	YES1	2	0.0008149478301057675	6.199017912962639	0.0020529954186145295
PMAIP1	MALT1	6	2.3528811844321457e-16	10.0	5.430704139202845e-15
PMAIP1	BCL2	6	2.3528811844321457e-16	10.0	5.430704139202845e-15
PMAIP1	SERPINB3	2	1.5086792160040693e-05	10.0	5.216243119301519e-05
PMAIP1	SMAD2	5	1.957597145447545e-13	10.0	3.556995664281284e-12
PMAIP1	SERPINB4	2	1.5086792160040693e-05	10.0	5.216243119301519e-05
PMAIP1	CDKN2Ap16INK4A	5	0.0010293222938876883	3.9028437625458166	0.002555352438895598
PIK3C2G	SMAD4	2	0.004106530703204549	5.717620244446779	0.007988558588921833
PIK3C2G	CDKN2B	3	0.0025204678406879322	10.0	0.005649552587788698
PIK3C2G	CDKN2A	3	0.0032078212640465646	10.0	0.006522569903561348
PIK3C2G	CDKN2Ap14ARF	3	0.003091886073389009	10.0	0.0064876430139415575
PIK3C2G	H3F3C	3	1.0860318291570983e-07	10.0	7.479606307259371e-07
PIK3C2G	KRAS	3	3.781717976529182e-06	10.0	1.474697329660238e-05
PIK3C2G	RECQL	3	4.5251326214879094e-08	10.0	3.481498431306914e-07
PIK3C2G	CDKN2Ap16INK4A	3	0.0030538710806834067	10.0	0.0064876430139415575
PIK3C3	SMAD4	5	6.552214677613115e-08	10.0	4.908413451475088e-07
PIK3C3	CDKN2B	4	0.001518814735770307	4.684498174272071	0.0036332430934113225
PIK3C3	CDKN2A	4	0.0020747956047667323	4.547878335637	0.004827998491746021
PIK3C3	CDKN2Ap14ARF	4	0.001978445275138136	4.568842835357879	0.004616372308655651
PIK3C3	FGFR1	2	0.0038777441080750353	5.087462841250339	0.007701380158828093
PIK3C3	MALT1	4	2.3259050655267477e-10	11.698704666770345	3.1036295718122538e-09
PIK3C3	BCL2	4	2.3259050655267477e-10	11.698704666770345	3.1036295718122538e-09
PIK3C3	SMAD2	4	7.756745641556679e-11	12.699572453287269	1.085944389817935e-09
PIK3C3	CDKN2Ap16INK4A	4	0.001947068643116146	4.575879395958718	0.004555607181427914
CCND1	CDKN2B	4	0.19331799741432742	0.9719856238304033	0.21983165085464132
CCND1	CDKN2A	4	0.23589080571758061	0.8352036745627636	0.2616243481594985
CCND1	RPS6KB2	2	0.0005792184531447776	6.78135971352466	0.0014765748029422093
CCND1	CDKN2Ap14ARF	4	0.22898124724080754	0.8561940595215696	0.2542912680671647
CCND1	AKT2	3	0.01659725890473893	2.7210240502971845	0.028291535139016062
CCND1	MYC	3	0.0314935238326373	2.341785513232549	0.046856218385143304
CCND1	KRAS	2	0.029522248099102928	3.1172517502892845	0.044154115370637306
CCND1	FGF4	13	1.9919219802973987e-29	10.0	1.0006478653964579e-27
CCND1	FGF3	13	1.9919219802973987e-29	10.0	1.0006478653964579e-27
CCND1	FGF19	14	4.811405749510624e-32	10.0	3.424117091735061e-30
CCND1	CDKN2Ap16INK4A	4	0.22669261766918183	0.8632392242120985	0.2520774680852621
CCND3	SMAD4	3	0.027900304624458427	2.406899429835167	0.04202268103930776
CCND3	CDKN2B	4	0.2236766590330704	0.8640597753605552	0.24904806625064163
CCND3	CDKN2A	5	0.11421147218607404	1.1630810357813122	0.13894102171924105
CCND3	CCNE1	2	0.03755709442692798	2.910448415021708	0.05501502339724956
CCND3	CDKN2Ap14ARF	5	0.10965664538653384	1.184145942036702	0.1347435613814387
CCND3	NOTCH4	2	0.0006510968206714618	6.687375683437467	0.0016548710858732987
CCND3	IFNGR1	2	0.00032764416680138416	7.688250309133178	0.000896820892462763
CCND3	VEGFA	9	3.50498632775556e-16	8.362820525534262	7.876995589219073e-15
CCND3	AKT2	3	0.019458300374160346	2.6205864104518777	0.03239257021351449
CCND3	CDKN2Ap16INK4A	5	0.10816044687723868	1.191216363772266	0.13328863150528403
CCND3	MTAP	2	0.12733308578800007	1.8319857865946276	0.1544637148621478
CCND2	CDKN1B	2	0.00019971244367280997	7.525303290053438	0.0005781505996494228
CCND2	CDKN2B	2	0.3003086037738721	1.0816935584267064	0.3197799845671905
CCND2	CDKN2A	2	0.3364896067713709	0.9460051103592707	0.3556461932954836
CCND2	RAD52	7	3.727315289725875e-16	11.501712809279056	8.161864762630506e-15
CCND2	CDKN2Ap14ARF	2	0.3307779215674684	0.9668331360648007	0.35091222983679254
CCND2	SRC	2	6.020236439627515e-05	9.112005025513131	0.0001897151999794058
CCND2	MYC	2	0.04122592837660897	2.965105209553814	0.059977756104981364
CCND2	KDM5A	7	1.3561024603587853e-16	11.917620712832198	3.406210297489419e-15
CCND2	ETV6	2	0.00012011577218462447	8.111135670234708	0.0003549441849331118
CCND2	CDKN2Ap16INK4A	2	0.32887354747460196	0.9738233774409265	0.3493258825165548
PTEN	SMAD4	2	0.008013239959094252	4.716721088892034	0.014780360529301276
PTEN	CDKN2B	3	0.009060673408091252	4.2630344058337934	0.016428482145456325
PTEN	CDKN2A	3	0.01142184618146712	4.1269160024010505	0.019745458783345993
PTEN	CDKN2Ap14ARF	3	0.011025747396160928	4.147806595457593	0.019295057943281624
PTEN	CDKN2Ap16INK4A	3	0.010895684095787613	4.154818109052104	0.019264832749073754
PTEN	MTAP	2	0.006810078901824049	4.844593688665842	0.012838426892180437
NTHL1	TSC2	2	7.184186742876519e-07	10.0	3.6586634402373252e-06
NTHL1	TRAF7	2	2.155256022862956e-06	10.0	8.521243720022984e-06
IL7R	CDKN2B	2	0.1922994276219701	1.6686653840421486	0.21896494825221663
IL7R	CDKN2A	2	0.2186271432260806	1.5330038782369455	0.24374357743482092
IL7R	CDKN2Ap14ARF	2	0.21442411305808717	1.5538276019681858	0.2406283739180111
IL7R	RICTOR	5	3.3542001913497695e-13	13.020632761657707	5.967681173776465e-12
IL7R	TERT	4	2.2871729035111704e-08	8.69261550169458	1.9149467250966074e-07
IL7R	DROSHA	3	2.5857900694216627e-08	10.0	2.0832686031000943e-07
IL7R	CDKN2Ap16INK4A	2	0.2130266950397242	1.5608164133894538	0.24000632924000592
IL7R	SDHA	4	9.721889530157135e-09	9.109395386500296	8.83244006250446e-08
CDKN1B	CDKN2B	2	0.14042583563637184	2.0847064973029537	0.16702460116080994
CDKN1B	CDKN2A	2	0.1608792773415641	1.9490584343368247	0.187181066552719
CDKN1B	RAD52	2	0.00039087906575611606	6.937727999531112	0.001027109914325302
CDKN1B	CDKN2Ap14ARF	2	0.15759578031132562	1.9698800116236646	0.18461837638665582
CDKN1B	KDM5A	2	0.0003201952241474125	7.108524456778169	0.0008792499081089719
CDKN1B	ETV6	2	4.3001735417328635e-05	9.113742166049189	0.0001412441617169179
CDKN1A	CDKN2B	2	0.09240488594845217	2.6706719143251103	0.11956632212117903
CDKN1A	CDKN2A	2	0.10670453522354555	2.535037275389474	0.13187506958163225
CDKN1A	CDKN2Ap14ARF	2	0.1043961484178734	2.555856709251888	0.13053339787534976
CDKN1A	PIM1	2	2.5821708945814e-05	9.699572453287269	8.647740956754963e-05
RIT1	HIST2H3D	2	6.463182278519446e-06	11.701306461958625	2.410287190329959e-05
RIT1	HIST2H3C	3	5.1715801388433255e-09	10.0	4.853329053376044e-08
RIT1	SDHC	3	4.5251326214879094e-08	10.0	3.481498431306914e-07
RIT1	MCL1	3	7.240212194380656e-08	10.0	5.152617678334234e-07
RIT1	DDR2	3	1.2928950347108313e-08	10.0	1.1382807831371649e-07
RIT1	NTRK1	3	1.2928950347108314e-09	10.0	1.3465028776134757e-08
RIT1	NUF2	3	1.2928950347108314e-09	10.0	1.3465028776134757e-08
CSDE1	NRAS	2	7.184186742876519e-07	10.0	3.6586634402373252e-06
SOX17	FGFR1	2	0.001193625261050699	6.674192268145683	0.0028876939743266205
SOX17	LYN	2	2.155256022862956e-06	10.0	8.521243720022984e-06
SOX17	MYC	2	0.005063397146813897	5.554588851677638	0.009717171153660826
JAK2	CDKN2B	3	0.0025204678406879322	10.0	0.005649552587788698
JAK2	CDKN2A	3	0.0032078212640465646	10.0	0.006522569903561348
JAK2	CDKN2Ap14ARF	3	0.003091886073389009	10.0	0.0064876430139415575
JAK2	PDCD1LG2	2	2.155256022862956e-06	10.0	8.521243720022984e-06
JAK2	CD274	3	1.2928950347108314e-09	10.0	1.3465028776134757e-08
JAK2	CDKN2Ap16INK4A	3	0.0030538710806834067	10.0	0.0064876430139415575
JAK2	PTPRD	3	7.240212194380656e-08	10.0	5.152617678334234e-07
HIST2H3D	HIST2H3C	3	5.1715801388433255e-09	10.0	4.853329053376044e-08
HIST2H3D	SDHC	2	4.5169873827692314e-05	9.375908263075013	0.00014667327851273474
HIST2H3D	MCL1	2	6.020236439627515e-05	9.112005025513131	0.0001897151999794058
HIST2H3D	DDR2	2	2.1526702327935342e-05	10.114609952566113	7.295160233355865e-05
HIST2H3D	NTRK1	2	6.463182278519446e-06	11.701306461958625	2.410287190329959e-05
HIST2H3D	NUF2	2	6.463182278519446e-06	11.701306461958625	2.410287190329959e-05
HIST2H3C	SDHC	3	1.8067936493479937e-07	10.282798858683533	1.2054701379243646e-06
HIST2H3C	MCL1	3	2.889566079257922e-07	9.960001932068081	1.912937543942841e-06
HIST2H3C	DDR2	3	5.1669238542045103e-08	11.284534954008425	3.939779438830939e-07
HIST2H3C	NTRK1	3	5.1715801388433255e-09	10.0	4.853329053376044e-08
