Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Breast cancer	5/147	1.5220311529164868e-08	1.0429659996994066e-06	0	0	99.82897384305836	1796.984922202117	TCF7L2;PIK3CA;APC;CTNNB1;BRCA2
KEGG_2021_Human	Human papillomavirus infection	6/331	1.6687455995190506e-08	1.0429659996994066e-06	0	0	60.50153846153846	1083.4983682412385	TCF7L2;PIK3CA;APC;CTNNB1;ATM;ATR
KEGG_2021_Human	Endometrial cancer	4/58	3.0966633394263146e-08	1.290276391427631e-06	0	0	184.57407407407408	3191.351366837952	TCF7L2;PIK3CA;APC;CTNNB1
KEGG_2021_Human	Colorectal cancer	4/86	1.5361227795343692e-07	4.800383686044904e-06	0	0	121.3780487804878	1904.280068858052	TCF7L2;PIK3CA;APC;CTNNB1
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	3/29	5.976707281937632e-07	0.00014826082914861345	0	0	255.92307692307693	3667.435494170774	KMT2D;TCF7L2;CTNNB1
GO_Biological_Process_2021	positive regulation of telomere maintenance via telomerase (GO:0032212)	3/33	8.912167972024369e-07	0.00014826082914861345	0	0	221.7555555555556	3089.205265788991	CTNNB1;ATM;ATR
GO_Biological_Process_2021	phosphatidylinositol 3-kinase signaling (GO:0014065)	3/34	9.77134651221229e-07	0.00014826082914861345	0	0	214.5913978494624	2969.6533966324346	PIK3CA;NF1;PIK3CG
GO_Biological_Process_2021	positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	3/36	1.165114570912483e-06	0.00014826082914861345	0	0	201.56565656565652	2753.929308405045	CTNNB1;ATM;ATR
KEGG_2021_Human	Gastric cancer	4/149	1.3979640747365918e-06	3.4094731316733255e-05	0	0	68.42413793103448	922.3911542924966	TCF7L2;PIK3CA;APC;CTNNB1
KEGG_2021_Human	Cushing syndrome	4/155	1.6365471032031962e-06	3.4094731316733255e-05	0	0	65.68543046357615	875.1218640098563	KMT2D;TCF7L2;APC;CTNNB1
Reactome_2022	Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402	3/42	1.8695395169197152e-06	0.0004647586983988866	0	0	170.5042735042735	2248.920404807748	KMT2D;TCF7L2;CTNNB1
