Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	NF1	0.75	0.0633	0.8
0	POLE	0.7368	0.0413	0.7917
0	FAT1	0.7105	0.0336	0.7755
0	PLCG2	0.7105	0.0356	0.7755
0	PIK3C2G	0.6974	0.0477	0.7677
0	TEK	0.6974	0.0135	0.7677
0	ARID2	0.6842	0.0211	0.76
0	BRCA2	0.6842	0.0249	0.76
0	TP53BP1	0.6842	0.0138	0.76
0	ZFHX3	0.6842	0.034	0.76
0	FLT1	0.6711	0.0146	0.7525
0	TET1	0.6711	0.0106	0.7525
0	NCOR1	0.6579	0.0328	0.7451
0	BRCA1	0.6447	0.0057	0.7379
0	CDC73	0.6447	0.0103	0.7379
0	NSD1	0.6447	0.0053	0.7379
0	INSR	0.6316	0.004	0.7308
0	JAK1	0.6316	0.004	0.7308
0	SLX4	0.5921	0.0094	0.7103
0	MED12	0.5789	0.0094	0.7037
0	MSH6	0.5658	0.0088	0.6972
0	ALK	0.5526	0.029	0.6786
0	JAK2	0.5526	0.0121	0.6909
0	MGA	0.5526	0.0183	0.6786
0	KMT2A	0.5263	0.0021	0.6786
0	MTOR	0.5263	0.0406	0.6667
0	SPEN	0.5263	0.0031	0.6667
0	RFWD2	0.5132	0.0088	0.6609
0	RPTOR	0.5132	0.0118	0.6726
0	UPF1	0.5132	0.003	0.6609
0	CTR9	0.5	0.0077	0.6552
0	ERG	0.5	0.0008	0.6667
0	FGFR1	0.5	0.002	0.6552
0	MAP3K1	0.5	0.0023	0.6552
0	MRE11A	0.5	0.0023	0.6552
0	SMARCA2	0.5	0.0219	0.6667
0	ARID1B	0.4868	0.0387	0.6552
0	ALB	0.4737	0.0	0.6441
0	ETAA1	0.4737	0.0	0.6441
0	PTCH1	0.4737	0.0022	0.6496
0	KMT2B	0.4605	0.013	0.6387
0	TGFBR1	0.4474	0.0091	0.6387
0	ERBB3	0.4342	0.0171	0.623
0	KDM5C	0.4342	0.0032	0.6281
0	CHEK2	0.4079	0.0005	0.623
0	SUFU	0.4079	0.0004	0.6179
0	CARD11	0.3947	0.0058	0.608
0	SMO	0.3947	0.0013	0.6129
0	SOS1	0.3947	0.0013	0.6129
0	IRS1	0.2105	0.0016	0.5352
0	PAX5	0.1842	0.0007	0.5205
0	RAD21	0.1579	0.0001	0.5101
0	TBX3	0.1579	0.0014	0.5135
0	IKZF1	0.1447	0.0031	0.5067
0	NTRK3	0.1447	0.0049	0.5067
0	AGO2	0.1316	0.0003	0.5
0	ASXL1	0.1184	0.0	0.5101
0	PTPN11	0.1184	0.0	0.4935
0	FGFR4	0.0921	0.0013	0.478
0	NOTCH2	0.0921	0.0	0.4935
0	NOTCH1	0.0789	0.0015	0.475
0	TSC2	0.0658	0.0003	0.4691
0	TSHR	0.0658	0.0004	0.4691
0	ATXN7	0.0526	0.0001	0.4663
0	ERCC5	0.0526	0.0	0.475
0	PHOX2B	0.0526	0.0001	0.475
0	PRDM14	0.0395	0.0	0.4343
0	SETDB1	0.0395	0.0	0.4444
0	TNFAIP3	0.0395	0.0	0.4606
0	EIF4A2	0.0263	0.0001	0.4524
0	GNAQ	0.0263	0.0	0.4471
0	NFKBIA	0.0263	0.0	0.4578
0	PDGFRB	0.0263	0.0	0.4222
0	RTEL1-TNFRSF6B	0.0263	0.0	0.4086
0	TP53	0.0263	0.0	0.4419
0	BCL6	0.0132	0.0	0.4294
0	MST1R	0.0132	0.0	0.4064
1	ATM	0.7879	0.1529	0.825
