Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	7/908	1.2914539273005142e-08	4.416772431367758e-06	0	0	74.15649278579356	1347.0461719728771	SMAD2;FLCN;KMT2D;SMAD3;KMT2C;ATRX;CTNNB1
KEGG_2021_Human	Colorectal cancer	4/86	3.948762548112017e-08	3.869787297149777e-06	0	0	194.2341463414634	3311.1635855486647	SMAD2;SMAD3;CTNNB1;KRAS
Reactome_2022	Gastrulation R-HSA-9758941	3/17	4.270574495836369e-08	4.05704577104455e-06	0	0	713.4642857142857	12106.72722226463	SMAD2;SMAD3;CTNNB1
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	7/1183	8.068367053084586e-08	1.379690766077464e-05	0	0	55.99702380952381	914.5842499637536	SMAD2;FLCN;KMT2D;SMAD3;KMT2C;ATRX;CTNNB1
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	4/143	3.070440409017728e-07	1.1828491791280536e-05	0	0	114.25611510791369	1713.4160819081128	SMAD2;SMAD3;CTNNB1;KRAS
KEGG_2021_Human	Gastric cancer	4/149	3.620966874881797e-07	1.1828491791280536e-05	0	0	109.4951724137931	1623.9617255833373	SMAD2;SMAD3;CTNNB1;KRAS
KEGG_2021_Human	Hepatocellular carcinoma	4/168	5.856898907828051e-07	1.4349402324178724e-05	0	0	96.71707317073172	1387.9359777548884	SMAD2;SMAD3;CTNNB1;KRAS
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	3/42	7.169555777132726e-07	8.173293585931307e-05	0	0	255.7948717948718	3619.050294704087	SMAD2;SMAD3;CTNNB1
Reactome_2022	SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356	2/6	2.6974038030480176e-06	8.96681091404261e-05	0	0	1427.642857142857	18306.979583499124	SMAD2;SMAD3
GO_Biological_Process_2021	SMAD protein complex assembly (GO:0007183)	2/7	3.775499332228468e-06	0.0002458902472937072	0	0	1142.057142857143	14260.842315468846	SMAD2;SMAD3
Reactome_2022	Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534	2/7	3.775499332228468e-06	8.96681091404261e-05	0	0	1142.057142857143	14260.842315468846	SMAD2;SMAD3
Reactome_2022	Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349	2/7	3.775499332228468e-06	8.96681091404261e-05	0	0	1142.057142857143	14260.842315468846	SMAD2;SMAD3
GO_Biological_Process_2021	nodal signaling pathway (GO:0038092)	2/7	3.775499332228468e-06	0.0002458902472937072	0	0	1142.057142857143	14260.842315468846	SMAD2;SMAD3
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition (GO:0010717)	3/76	4.357001230988494e-06	0.0002458902472937072	0	0	136.42465753424656	1683.988664319421	SMAD2;SMAD3;CTNNB1
KEGG_2021_Human	Pancreatic cancer	3/76	4.357001230988494e-06	8.539722412737448e-05	0	0	136.42465753424656	1683.988664319421	SMAD2;SMAD3;KRAS
Reactome_2022	Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351	2/8	5.032841318877048e-06	9.562398505866393e-05	0	0	951.6666666666666	11609.88210896366	SMAD2;SMAD3
GO_Biological_Process_2021	histone H3-K4 monomethylation (GO:0097692)	2/8	5.032841318877048e-06	0.0002458902472937072	0	0	951.6666666666666	11609.88210896366	KMT2D;KMT2C
