Cluster_ID	Gene
0	ABL1
0	ACVR1
0	AKT2
0	AKT3
0	ARAF
0	BAP1
0	BARD1
0	CD274
0	CDKN1B
0	CIC
0	CTNNB1
0	CUL3
0	DAXX
0	DCUN1D1
0	DNMT1
0	DNMT3A
0	EGFR
0	ELF3
0	EPAS1
0	EPHA3
0	EPHA7
0	EPHB1
0	ERCC2
0	ERCC3
0	ERCC4
0	FAM175A
0	FANCA
0	FLT4
0	GATA1
0	GATA2
0	GSK3B
0	IDH1
0	IRS2
0	KDM6A
0	KIT
0	KLF4
0	KMT2C
0	KMT2D
0	KRAS
0	MALT1
0	MAP2K1
0	MPL
0	MSH3
0	MUTYH
0	MYD88
0	MYOD1
0	NBN
0	NUF2
0	PGBD5
0	PIK3CA
0	PIK3R3
0	PPP4R2
0	RECQL4
0	REL
0	RPS6KA4
0	SF3B1
0	SMAD2
0	SMAD3
0	SMAD4
0	SMARCA4
0	SMYD3
0	SOX17
0	STAG2
0	STAT3
0	SUZ12
0	TCF3
0	TP63
0	TRAF7
0	U2AF1
0	WWTR1
1	AGO2
1	ALB
1	ALK
1	ANKRD11
1	ARID1B
1	ARID2
1	ARID5B
1	ASXL1
1	ASXL2
1	ATXN7
1	AXIN2
1	B2M
1	BCL6
1	BIRC3
1	BRAF
1	BRCA1
1	BRCA2
1	BTK
1	CARD11
1	CCND2
1	CDC73
1	CDH1
1	CHEK2
1	CREBBP
1	CSDE1
1	CTR9
1	CYLD
1	DICER1
1	DNMT3B
1	DROSHA
1	EIF4A2
1	ERBB2
1	ERBB3
1	ERCC5
1	ERG
1	ESR1
1	ETAA1
1	ETV6
1	FAT1
1	FGFR1
1	FGFR4
1	FLT1
1	FLT3
1	GNAQ
1	IKBKE
1	IKZF1
1	INPPL1
1	INSR
1	IRS1
1	JAK1
1	JAK2
1	KDM5C
1	KMT2A
1	KMT2B
1	LATS2
1	MAP3K1
1	MAX
1	MED12
1	MGA
1	MITF
1	MLH1
1	MRE11A
1	MSH6
1	MST1R
1	MYC
1	NCOR1
1	NF1
1	NFKBIA
1	NOTCH1
1	NOTCH2
1	NSD1
1	NTRK2
1	NTRK3
1	PALB2
1	PAX5
1	PHOX2B
1	PIK3C2G
1	PIK3R2
1	PLCG2
1	PMS2
1	POLD1
1	POLE
1	PRDM14
1	PREX2
1	PRKAR1A
1	PTCH1
1	PTPN11
1	PTPRD
1	RAD21
1	RAD54L
1	RET
1	RFWD2
1	RPTOR
1	RTEL1-TNFRSF6B
1	RUNX1
1	SETDB1
1	SLX4
1	SMARCA2
1	SMO
1	SOS1
1	SPEN
1	SUFU
1	TBX3
1	TEK
1	TET1
1	TGFBR1
1	TGFBR2
1	TNFAIP3
1	TP53
1	TP53BP1
1	TSC1
1	TSC2
1	TSHR
1	UPF1
1	ZFHX3
2	AKT1
2	AMER1
2	APC
2	ARID1A
2	AURKA
2	AXL
2	BCOR
2	BRD4
2	CDK8
2	CSF3R
2	FBXW7
2	FGFR2
2	FLCN
2	FOXP1
2	GLI1
2	GNAS
2	HGF
2	HLA-B
2	IL7R
2	MAP2K4
2	MAPKAP1
2	MDC1
2	MDM4
2	MEN1
2	MTOR
2	NEGR1
2	NKX3-1
2	NRAS
2	PDGFRB
2	PIK3CG
2	PMS1
2	PTEN
2	PTPRS
2	PTPRT
2	RARA
2	RBM10
2	RPS6KB2
2	SESN1
2	SOX9
2	TCF7L2
2	TERT
2	TMPRSS2
2	WHSC1L1
2	WT1
2	YES1
3	ALOX12B
3	AR
3	ATM
3	ATR
3	ATRX
3	AXIN1
3	BCL2L11
3	BLM
3	BMPR1A
3	CASP8
3	CBL
3	DDR2
3	DIS3
3	DOT1L
3	EP300
3	EPHA5
3	ERBB4
3	ERF
3	ETV1
3	EZH2
3	FH
3	FYN
3	GATA3
3	GRIN2A
3	IGF1
3	IGF1R
3	INHBA
3	INPP4A
3	INPP4B
3	KDM5A
3	KDR
3	LATS1
3	MET
3	NCOA3
3	NKX2-1
3	NOTCH3
3	NOTCH4
3	NPM1
3	NTRK1
3	PAK7
3	PARK2
3	PARP1
3	PBRM1
3	PDGFRA
3	PGR
3	PIK3C3
3	PIK3CB
3	PIK3CD
3	PIK3R1
3	PLK2
3	PPP2R1A
3	PRDM1
3	PRKD1
3	RAD50
3	RAF1
3	RASA1
3	RB1
3	RICTOR
3	RNF43
3	ROS1
3	SESN3
3	SETD2
3	SPRED1
3	TET2
3	TOP1
3	USP8
3	VTCN1
3	WHSC1
3	XPO1
3	ZRSR2
