Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/89	7.017820474229796e-06	0.0005581921145182382	STAT3;KRAS;MYD88
0	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	9.967716330682825e-06	0.0005581921145182382	CDKN1B;STAT3;KRAS
0	KEGG_2021_Human	FoxO signaling pathway	3/131	2.2413205269308675e-05	0.0007493562989404872	CDKN1B;STAT3;KRAS
0	GO_Biological_Process_2021	positive regulation of cytokine production involved in inflammatory response (GO:1900017)	2/17	2.4394349832130377e-05	0.0080989241442672	STAT3;MYD88
0	KEGG_2021_Human	Measles	3/139	2.676272496216026e-05	0.0007493562989404872	CDKN1B;STAT3;MYD88
0	KEGG_2021_Human	Hepatitis B	3/162	4.2278771411582504e-05	0.000947044479619448	STAT3;KRAS;MYD88
0	KEGG_2021_Human	Pathways in cancer	4/531	5.5670805322718885e-05	0.001039188366024	CDKN1B;MSH3;STAT3;KRAS
0	KEGG_2021_Human	Epstein-Barr virus infection	3/202	8.152943250588283e-05	0.0011582713819505	CDKN1B;STAT3;MYD88
0	KEGG_2021_Human	Viral carcinogenesis	3/203	8.273367013932363e-05	0.0011582713819505	CDKN1B;STAT3;KRAS
0	KEGG_2021_Human	Lipid and atherosclerosis	3/215	9.810528199006943e-05	0.0012208657314319	STAT3;KRAS;MYD88
0	GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	3/217	0.00010083610950573346	0.0111436505433115	FLCN;CDKN1B;BAP1
0	GO_Biological_Process_2021	DNA recombination (GO:0006310)	2/39	0.0001322345677711413	0.0111436505433115	MSH3;RAD54L
0	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	8/5192	0.00014227905516747634	0.0032724182688519	AMER1;FLCN;CDKN1B;MSH3;STAT3;RAD54L;MYD88;BAP1
0	GO_Biological_Process_2021	regulation of cytokine production involved in inflammatory response (GO:1900015)	2/43	0.00016099400163033776	0.0111436505433115	STAT3;MYD88
0	GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	4/764	0.00022826855579342737	0.0111436505433115	CDKN1B;STAT3;KRAS;BAP1
0	GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	3/296	0.000252323738402146	0.0111436505433115	CDKN1B;STAT3;BAP1
0	GO_Biological_Process_2021	DNA repair (GO:0006281)	3/298	0.0002573739747137843	0.0111436505433115	MSH3;RAD54L;BAP1
0	GO_Biological_Process_2021	positive regulation of interleukin-1 beta production (GO:0032731)	2/56	0.000273732488705426	0.0111436505433115	STAT3;MYD88
0	KEGG_2021_Human	MicroRNAs in cancer	3/310	0.00028906119277428467	0.0032374853590719	CDKN1B;STAT3;KRAS
0	GO_Biological_Process_2021	positive regulation of interleukin-8 production (GO:0032757)	2/61	0.00032490041181897696	0.0111436505433115	STAT3;MYD88
0	GO_Biological_Process_2021	positive regulation of interleukin-1 production (GO:0032732)	2/62	0.00033565212479853954	0.0111436505433115	STAT3;MYD88
0	KEGG_2021_Human	Acute myeloid leukemia	2/67	0.00039199458726740105	0.0035295739514394	STAT3;KRAS
0	KEGG_2021_Human	Renal cell carcinoma	2/69	0.0004157351055351256	0.0035295739514394	FLCN;KRAS
0	KEGG_2021_Human	Prolactin signaling pathway	2/70	0.00042786277535055014	0.0035295739514394	STAT3;KRAS
0	KEGG_2021_Human	Non-small cell lung cancer	2/72	0.00045263232550293614	0.0035295739514394	STAT3;KRAS
0	KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0005042248502056325	0.0035295739514394	CDKN1B;KRAS
0	KEGG_2021_Human	Pancreatic cancer	2/76	0.0005042248502056325	0.0035295739514394	STAT3;KRAS
0	GO_Biological_Process_2021	positive regulation of interleukin-6 production (GO:0032755)	2/76	0.0005042248502056325	0.0123090530497148	STAT3;MYD88
0	GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	3/379	0.0005209447027048005	0.0123090530497148	FLCN;CDKN1B;BAP1
0	GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	4/948	0.000521823490283501	0.0123090530497148	FLCN;CDKN1B;STAT3;BAP1
0	GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	3/384	0.0005412768242731998	0.0123090530497148	STAT3;KRAS;MYD88
0	GO_Biological_Process_2021	regulation of interleukin-8 production (GO:0032677)	2/81	0.0005725556206535268	0.0123090530497148	STAT3;MYD88
0	GO_Biological_Process_2021	regulation of interleukin-1 beta production (GO:0032651)	2/83	0.000601079507019862	0.0123090530497148	STAT3;MYD88
0	KEGG_2021_Human	ErbB signaling pathway	2/85	0.000630282836882989	0.004014198157616	CDKN1B;KRAS
0	GO_Biological_Process_2021	positive regulation of protein catabolic process (GO:0045732)	2/85	0.000630282836882989	0.0123090530497148	AMER1;CDKN1B
0	KEGG_2021_Human	Colorectal cancer	2/86	0.0006451389896168581	0.004014198157616	MSH3;KRAS
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	7/4484	0.0006609145380782793	0.0076005171879002	FLCN;CDKN1B;MSH3;STAT3;RAD54L;MYD88;BAP1
0	KEGG_2021_Human	Prostate cancer	2/97	0.0008197168084671879	0.0048320148709644	CDKN1B;KRAS
0	GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	4/1079	0.0008529803791124275	0.0157327492147403	FLCN;STAT3;KRAS;MYD88
0	KEGG_2021_Human	HIF-1 signaling pathway	2/109	0.001033366784759	0.0057868539946505	CDKN1B;STAT3
0	GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	3/482	0.0010485284108867	0.0174674746047319	STAT3;KRAS;MYD88
0	GO_Biological_Process_2021	regulation of interleukin-6 production (GO:0032675)	2/110	0.0010522575063091	0.0174674746047319	STAT3;MYD88
0	KEGG_2021_Human	Toxoplasmosis	2/112	0.0010905386347973	0.0058162060522525	STAT3;MYD88
0	GO_Molecular_Function_2021	phosphatase binding (GO:0019902)	2/114	0.0011294852117684	0.0242753034232276	CDKN1B;STAT3
0	KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	0.0012297567039938	0.0062605795839685	STAT3;KRAS
0	GO_Molecular_Function_2021	protein phosphatase binding (GO:0019903)	2/123	0.0013129540564151	0.0242753034232276	CDKN1B;STAT3
0	GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	2/125	0.0013555434918531	0.0198779295672139	FLCN;CDKN1B
0	GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	0.001377085482066	0.0198779295672139	FLCN;CDKN1B
0	GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	2/126	0.001377085482066	0.0198779295672139	FLCN;CDKN1B
0	GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	3/566	0.0016671529997449	0.0213254086685004	FLCN;CDKN1B;BAP1
0	GO_Biological_Process_2021	positive regulation of cellular catabolic process (GO:0031331)	2/141	0.0017199114940486	0.0213254086685004	AMER1;FLCN
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	2/143	0.0017683998136943	0.0086113382232071	STAT3;KRAS
0	KEGG_2021_Human	Gastric cancer	2/149	0.0019177651393017	0.0089495706500749	CDKN1B;KRAS
0	GO_Biological_Process_2021	response to cytokine (GO:0034097)	2/150	0.0019432269245114	0.0213254086685004	STAT3;MYD88
0	KEGG_2021_Human	mTOR signaling pathway	2/154	0.0020466913565273	0.0091580872562283	FLCN;KRAS
0	GO_Biological_Process_2021	positive regulation of NF-kappaB transcription factor activity (GO:0051092)	2/155	0.0020729611988468	0.0213254086685004	STAT3;MYD88
0	KEGG_2021_Human	Hepatitis C	2/157	0.0021259845416244	0.0091580872562283	STAT3;KRAS
0	GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	3/621	0.0021754617629214	0.0213254086685004	CDKN1B;STAT3;MYD88
0	GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	3/625	0.0022158136309201	0.0213254086685004	FLCN;CDKN1B;KRAS
0	GO_Biological_Process_2021	meiotic mismatch repair (GO:0000710)	1/5	0.0022481605524021	0.0213254086685004	MSH3
0	GO_Biological_Process_2021	Toll signaling pathway (GO:0008063)	1/5	0.0022481605524021	0.0213254086685004	MYD88
0	GO_Biological_Process_2021	beta-catenin destruction complex assembly (GO:1904885)	1/5	0.0022481605524021	0.0213254086685004	AMER1
0	GO_Biological_Process_2021	negative regulation of organelle organization (GO:0010639)	1/5	0.0022481605524021	0.0213254086685004	FLCN
0	GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	1/5	0.0022481605524021	0.0213254086685004	RAD54L
0	GO_Biological_Process_2021	positive regulation of metallopeptidase activity (GO:1905050)	1/5	0.0022481605524021	0.0213254086685004	STAT3
0	GO_Molecular_Function_2021	DNA insertion or deletion binding (GO:0032135)	1/5	0.0022481605524021	0.0242753034232276	MSH3
0	GO_Biological_Process_2021	radial glial cell differentiation (GO:0060019)	1/6	0.0026972559359141	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	maintenance of DNA repeat elements (GO:0043570)	1/6	0.0026972559359141	0.0217610228116151	MSH3
0	GO_Biological_Process_2021	T-helper 17 cell lineage commitment (GO:0072540)	1/6	0.0026972559359141	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	monoubiquitinated protein deubiquitination (GO:0035520)	1/6	0.0026972559359141	0.0217610228116151	BAP1
0	GO_Biological_Process_2021	regulation of pro-B cell differentiation (GO:2000973)	1/6	0.0026972559359141	0.0217610228116151	FLCN
0	GO_Molecular_Function_2021	primary miRNA binding (GO:0070878)	1/6	0.0026972559359141	0.0242753034232276	STAT3
0	GO_Molecular_Function_2021	mismatched DNA binding (GO:0030983)	1/6	0.0026972559359141	0.0242753034232276	MSH3
0	GO_Biological_Process_2021	somatic recombination of immunoglobulin gene segments (GO:0016447)	1/7	0.0031461719727636	0.0217610228116151	MSH3
0	GO_Biological_Process_2021	T-helper 17 cell differentiation (GO:0072539)	1/7	0.0031461719727636	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	astrocyte differentiation (GO:0048708)	1/7	0.0031461719727636	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	regulation of miRNA mediated inhibition of translation (GO:1905616)	1/7	0.0031461719727636	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	positive regulation of helicase activity (GO:0051096)	1/7	0.0031461719727636	0.0217610228116151	MSH3
0	GO_Biological_Process_2021	positive regulation of interleukin-23 production (GO:0032747)	1/7	0.0031461719727636	0.0217610228116151	MYD88
0	GO_Biological_Process_2021	photoreceptor cell differentiation (GO:0046530)	1/7	0.0031461719727636	0.0217610228116151	STAT3
0	GO_Biological_Process_2021	positive regulation of miRNA mediated inhibition of translation (GO:1905618)	1/7	0.0031461719727636	0.0217610228116151	STAT3
0	KEGG_2021_Human	Chemokine signaling pathway	2/192	0.0031573228756932	0.0127585535792012	STAT3;KRAS
0	KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	0.0031896383948003	0.0127585535792012	STAT3;KRAS
0	KEGG_2021_Human	Proteoglycans in cancer	2/205	0.0035896244743106	0.0138633772800962	STAT3;KRAS
0	GO_Biological_Process_2021	cellular response to interleukin-21 (GO:0098757)	1/8	0.0035949086662176	0.0223738453898013	STAT3
0	GO_Biological_Process_2021	T-helper cell lineage commitment (GO:0002295)	1/8	0.0035949086662176	0.0223738453898013	STAT3
0	GO_Biological_Process_2021	interleukin-21-mediated signaling pathway (GO:0038114)	1/8	0.0035949086662176	0.0223738453898013	STAT3
0	GO_Molecular_Function_2021	oxidized DNA binding (GO:0032356)	1/8	0.0035949086662176	0.0247002146147252	MSH3
0	KEGG_2021_Human	Human immunodeficiency virus 1 infection	2/212	0.0038332998210134	0.0143109859984503	KRAS;MYD88
0	GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	2/214	0.0039043148858897	0.0223738453898013	FLCN;KRAS
0	GO_Biological_Process_2021	cellular response to interleukin-9 (GO:0071355)	1/9	0.0040434660343014	0.0223738453898013	STAT3
0	GO_Biological_Process_2021	positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	1/9	0.0040434660343014	0.0223738453898013	MYD88
0	GO_Biological_Process_2021	cellular response to leptin stimulus (GO:0044320)	1/9	0.0040434660343014	0.0223738453898013	STAT3
0	GO_Biological_Process_2021	regulation of helicase activity (GO:0051095)	1/9	0.0040434660343014	0.0223738453898013	MSH3
0	GO_Biological_Process_2021	regulation of interleukin-23 production (GO:0032667)	1/9	0.0040434660343014	0.0223738453898013	MYD88
0	GO_Biological_Process_2021	response to leptin (GO:0044321)	1/9	0.0040434660343014	0.0223738453898013	STAT3
