Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
1	KEGG_2021_Human	Pathways in cancer	35/531	1.269327898136225e-27	2.399029727477465e-25	NOTCH2;ALK;RET;NOTCH1;MAX;FLT3;PIK3R2;BRCA2;CCND2;CDH1;MYC;SUFU;ERBB2;PLCG2;JAK2;JAK1;CREBBP;PTCH1;MITF;BRAF;AXIN2;MLH1;ESR1;TGFBR1;RUNX1;TGFBR2;MSH6;NFKBIA;SMO;GNAQ;FGFR4;SOS1;TP53;FGFR1;BIRC3
1	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	14/60	2.6526721007980463e-19	6.790840578042996e-17	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;TGFBR2;ERBB3;ERBB2;TEK;FGFR4;FGFR1
1	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	16/108	1.5908752393573465e-18	2.036320306377403e-16	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;ERBB3;ERBB2;BTK;TEK;FGFR4;JAK2;FGFR1;JAK1
1	GO_Cellular_Component_2021	nucleus (GO:0005634)	69/4484	3.880446043882251e-18	3.9968594251987183e-16	KDM5C;IRS1;INPPL1;TNFAIP3;IKZF1;BRCA1;BRCA2;CDC73;MED12;CCND2;CHEK2;MYC;SUFU;DNMT3B;JAK2;IKBKE;POLE;JAK1;UPF1;ARID5B;TSC2;TET1;MITF;TSC1;DICER1;AXIN2;TGFBR1;RUNX1;ETV6;MSH6;LATS2;NCOR1;BTK;ERG;TP53;BIRC3;NOTCH2;NOTCH1;KMT2A;MAX;ANKRD11;KMT2B;PRDM14;PIK3R2;ATXN7;NSD1;POLD1;ERBB2;DROSHA;PMS2;RAD54L;TP53BP1;SPEN;CREBBP;ZFHX3;SETDB1;INSR;PTPN11;MLH1;ESR1;SMARCA2;TBX3;NFKBIA;BCL6;AGO2;ALB;FAT1;NF1;ERCC5
1	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	13/60	1.5396684740101766e-17	1.3138504311553509e-15	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;ERBB3;ERBB2;TEK;FGFR4;FGFR1
1	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	73/5192	2.6324189119405347e-17	1.3556957396493753e-15	KDM5C;IRS1;INPPL1;TNFAIP3;IKZF1;BRCA1;BRCA2;CDC73;MED12;CCND2;CHEK2;MYC;SUFU;DNMT3B;JAK2;IKBKE;POLE;JAK1;UPF1;ARID5B;TSC2;TET1;MITF;TSC1;DICER1;AXIN2;PAX5;TGFBR1;RUNX1;ETV6;MSH6;LATS2;NCOR1;SMO;BTK;ERG;TP53;BIRC3;NOTCH2;NOTCH1;KMT2A;MAX;ANKRD11;KMT2B;PRDM14;PIK3R2;ATXN7;NSD1;POLD1;ERBB2;PLCG2;DROSHA;PMS2;RAD54L;TP53BP1;SPEN;CREBBP;ZFHX3;SETDB1;PTCH1;BRAF;PTPN11;MLH1;ESR1;SMARCA2;TBX3;NFKBIA;BCL6;AGO2;ALB;FAT1;NF1;ERCC5
1	GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	30/764	2.9909557008692844e-17	5.198281008110816e-14	ALK;NOTCH1;FLT1;IRS1;FLT3;MST1R;CDC73;CCND2;ERBB3;MYC;ERBB2;ARID2;JAK2;NTRK2;INSR;NTRK3;TSC2;TET1;TSC1;AXIN2;SMARCA2;TGFBR1;TBX3;TSHR;RUNX1;TGFBR2;BCL6;FGFR4;TP53;FGFR1
1	KEGG_2021_Human	PI3K-Akt signaling pathway	21/354	1.0358545475962058e-15	9.788825474784145e-14	NTRK2;FLT1;IRS1;FLT3;INSR;TSC2;TSC1;PIK3R2;BRCA1;RPTOR;CCND2;ERBB3;MYC;ERBB2;TEK;FGFR4;JAK2;SOS1;TP53;FGFR1;JAK1
1	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	15/140	2.9164867126085887e-15	1.917981665683848e-12	ALK;RET;NTRK2;FLT1;FLT3;INSR;NTRK3;MST1R;PTPRD;ERBB3;ERBB2;TEK;FGFR4;JAK2;FGFR1
1	GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	17/207	3.3106703090054907e-15	1.917981665683848e-12	RET;NTRK2;IRS1;FLT3;INSR;NTRK3;TSC2;PIK3R2;PTPN11;MST1R;ESR1;TGFBR1;ERBB3;ERBB2;TEK;FGFR4;FGFR1
