Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	Reactome_Pathways_2024	Epigenetic Regulation by WDR5-containing Histone Modifying Complexes	5/135	3.1895484254135915e-09	4.943800059391067e-07	MED12;KMT2D;KMT2C;KMT2B;EP300
0	GO_Biological_Process_2021	histone H3-K4 monomethylation (GO:0097692)	3/8	5.033265573129969e-09	1.196082728858318e-06	KMT2D;KMT2C;KMT2B
0	GO_Biological_Process_2021	regulation of megakaryocyte differentiation (GO:0045652)	4/54	9.844302295130192e-09	1.196082728858318e-06	KMT2D;KMT2C;KMT2B;EP300
0	Reactome_Pathways_2024	RUNX1 Regulates Genes Involved in Megakaryocyte Differentiation and Platelet Function	4/65	2.1019583515496762e-08	1.6290177224509988e-06	KMT2D;KMT2C;KMT2B;EP300
0	GO_Biological_Process_2021	regulation of myeloid cell differentiation (GO:0045637)	4/68	2.526547522924137e-08	2.046503493568551e-06	KMT2D;KMT2C;KMT2B;EP300
0	GO_Molecular_Function_2021	histone methyltransferase activity (H3-K4 specific) (GO:0042800)	3/16	5.02289927506513e-08	2.4612206447819137e-06	KMT2D;KMT2C;KMT2B
0	Reactome_Pathways_2024	Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes	4/103	1.360185574742344e-07	3.863998493336673e-06	MED12;KMT2D;KMT2C;EP300
0	Reactome_Pathways_2024	Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes	4/103	1.360185574742344e-07	3.863998493336673e-06	MED12;KMT2D;KMT2C;EP300
0	Reactome_Pathways_2024	MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis	4/103	1.360185574742344e-07	3.863998493336673e-06	MED12;KMT2D;KMT2C;EP300
0	Reactome_Pathways_2024	Epigenetic Regulation of Gene Expression	5/291	1.4957413522593574e-07	3.863998493336673e-06	MED12;KMT2D;KMT2C;KMT2B;EP300
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	7/1183	2.551305208741367e-07	1.5499179143103806e-05	MED12;KMT2D;KMT2C;MYOD1;ATRX;KMT2B;EP300
0	GO_Biological_Process_2021	histone H3-K4 methylation (GO:0051568)	3/30	3.628341873454068e-07	1.7633741504986768e-05	KMT2D;KMT2C;KMT2B
