Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Colorectal cancer	14/86	3.8778530833618565e-20	6.5535717108815385e-18	SMAD2;GSK3B;MAP2K1;SMAD4;SMAD3;ARAF;PIK3R3;EGFR;PIK3CA;MSH3;AKT2;AKT3;CTNNB1;KRAS
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	15/143	1.5869088251720022e-18	1.3409379572703419e-16	ACVR1;SMAD2;GSK3B;MAP2K1;SMAD4;SMAD3;STAT3;PIK3R3;KLF4;PIK3CA;AKT2;AKT3;CTNNB1;KRAS;TCF3
0	Reactome_Pathways_2024	Developmental Biology	31/1385	4.1633818397469516e-18	2.906040524143372e-15	GSK3B;KMT2D;KMT2C;PIK3R3;IRS2;GATA2;EGFR;RPS6KA4;SOX17;AKT2;AKT3;ABL1;EPHB1;KDM6A;SMAD2;SUZ12;WWTR1;EPHA7;MAP2K1;SMAD4;SMAD3;STAT3;KLF4;SMARCA4;PIK3CA;MYOD1;KIT;CTNNB1;KRAS;TCF3;EPHA3
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	49/4484	2.7475079414510305e-17	2.307906670818865e-15	GSK3B;CDKN1B;RPS6KA4;PPP4R2;SOX17;AKT2;NBN;CIC;TP63;KDM6A;DAXX;MAP2K1;DNMT3A;ELF3;MSH3;MYOD1;KMT2D;DNMT1;CUL3;KMT2C;DCUN1D1;GATA2;GATA1;EGFR;MALT1;RECQL4;PGBD5;ABL1;SMYD3;SF3B1;MUTYH;BARD1;SMAD2;SUZ12;WWTR1;SMAD4;SMAD3;STAT3;FANCA;SMARCA4;STAG2;ERCC3;ERCC4;ERCC2;REL;CTNNB1;TCF3;BAP1;MYD88
0	KEGG_2021_Human	Pancreatic cancer	12/76	3.258802975844263e-17	1.835792343058935e-15	SMAD2;MAP2K1;SMAD4;SMAD3;PIK3CA;AKT2;AKT3;STAT3;ARAF;PIK3R3;KRAS;EGFR
0	Reactome_Pathways_2024	Gene Expression (Transcription)	32/1615	3.3514369628233136e-17	1.1696515000253364e-14	GSK3B;KMT2D;DNMT1;CDKN1B;KMT2C;U2AF1;GATA2;GATA1;EGFR;AKT2;AKT3;ABL1;NBN;SF3B1;TP63;KDM6A;BARD1;SMAD2;SUZ12;WWTR1;DAXX;SMAD4;SMAD3;DNMT3A;KLF4;SMARCA4;ERCC3;KIT;ERCC2;CTNNB1;KRAS;TCF3
0	KEGG_2021_Human	Gastric cancer	14/149	1.176220484503533e-16	4.969531547027428e-15	SMAD2;GSK3B;MAP2K1;SMAD4;CDKN1B;SMAD3;ARAF;PIK3R3;EGFR;PIK3CA;AKT2;AKT3;CTNNB1;KRAS
0	KEGG_2021_Human	Hepatocellular carcinoma	14/168	6.461657027982919e-16	2.1642912426072985e-14	SMAD2;GSK3B;MAP2K1;SMAD4;SMAD3;ARAF;PIK3R3;EGFR;SMARCA4;PIK3CA;AKT2;AKT3;CTNNB1;KRAS
0	KEGG_2021_Human	FoxO signaling pathway	13/131	7.683874234108751e-16	2.1642912426072985e-14	MAP2K1;SMAD4;CDKN1B;SMAD3;STAT3;ARAF;PIK3R3;IRS2;EGFR;PIK3CA;AKT2;AKT3;KRAS
0	KEGG_2021_Human	Pathways in cancer	20/531	1.0039606450962418e-15	2.4238478431609264e-14	SMAD2;GSK3B;MAP2K1;SMAD4;CDKN1B;SMAD3;EPAS1;FLT4;STAT3;ARAF;PIK3R3;EGFR;PIK3CA;MSH3;AKT2;AKT3;KIT;ABL1;CTNNB1;KRAS
0	KEGG_2021_Human	Chronic myeloid leukemia	11/76	2.029546478831644e-15	4.2874169365318473e-14	MAP2K1;SMAD4;CDKN1B;SMAD3;PIK3CA;AKT2;AKT3;ARAF;ABL1;PIK3R3;KRAS
0	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	50/5192	2.092184266587126e-15	8.787173919665929e-14	GSK3B;CDKN1B;RPS6KA4;PPP4R2;SOX17;AKT2;NBN;CIC;TP63;KDM6A;DAXX;MAP2K1;DNMT3A;TRAF7;ELF3;MSH3;MYOD1;KMT2D;DNMT1;CUL3;KMT2C;DCUN1D1;GATA2;GATA1;EGFR;MALT1;RECQL4;PGBD5;ABL1;SMYD3;SF3B1;MUTYH;BARD1;SMAD2;SUZ12;WWTR1;SMAD4;SMAD3;STAT3;FANCA;SMARCA4;STAG2;ERCC3;ERCC4;ERCC2;REL;CTNNB1;TCF3;BAP1;MYD88
0	Reactome_Pathways_2024	Generic Transcription Pathway	27/1230	2.1179082180771555e-15	4.698820771283304e-13	GSK3B;KMT2D;CDKN1B;KMT2C;GATA2;GATA1;EGFR;AKT2;AKT3;ABL1;NBN;TP63;BARD1;SMAD2;SUZ12;WWTR1;DAXX;SMAD4;SMAD3;KLF4;SMARCA4;ERCC3;KIT;ERCC2;CTNNB1;KRAS;TCF3
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	28/1360	2.6927339663514626e-15	4.698820771283304e-13	GSK3B;KMT2D;CDKN1B;KMT2C;U2AF1;GATA2;GATA1;EGFR;AKT2;AKT3;ABL1;NBN;TP63;BARD1;SMAD2;SUZ12;WWTR1;DAXX;SMAD4;SMAD3;KLF4;SMARCA4;ERCC3;KIT;ERCC2;CTNNB1;KRAS;TCF3
0	KEGG_2021_Human	Endometrial cancer	10/58	6.4445891832225546e-15	1.2101506355162353e-13	GSK3B;MAP2K1;PIK3CA;AKT2;AKT3;ARAF;PIK3R3;CTNNB1;KRAS;EGFR
0	KEGG_2021_Human	ErbB signaling pathway	11/85	7.378439571266091e-15	1.2469562875439694e-13	GSK3B;MAP2K1;CDKN1B;PIK3CA;AKT2;AKT3;ARAF;ABL1;PIK3R3;KRAS;EGFR
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	18/451	1.2811568852690092e-14	1.7884950118355365e-12	SMAD2;GSK3B;MAP2K1;DNMT1;SMAD4;CDKN1B;SMAD3;STAT3;ARAF;PIK3R3;IRS2;EGFR;PIK3CA;AKT2;AKT3;KIT;CTNNB1;KRAS
0	GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	23/908	2.3118994994005785e-14	3.2089165051680027e-11	ACVR1;SMAD2;KMT2D;WWTR1;SMAD4;SMAD3;EPAS1;KMT2C;STAT3;GATA2;KLF4;GATA1;EGFR;SMARCA4;RPS6KA4;SOX17;ELF3;MYOD1;ABL1;REL;CTNNB1;TCF3;TP63
0	KEGG_2021_Human	Prostate cancer	11/97	3.3298363906351304e-14	5.115839545612154e-13	GSK3B;MAP2K1;CDKN1B;PIK3CA;AKT2;AKT3;ARAF;PIK3R3;CTNNB1;KRAS;EGFR
0	KEGG_2021_Human	Breast cancer	12/147	1.163426316930299e-13	1.6384920630101713e-12	GSK3B;MAP2K1;PIK3CA;FLT4;AKT2;AKT3;KIT;ARAF;PIK3R3;CTNNB1;KRAS;EGFR
0	KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	10/89	5.770393163817998e-13	7.501511112963398e-12	CD274;MAP2K1;PIK3CA;AKT2;AKT3;STAT3;PIK3R3;KRAS;EGFR;MYD88
0	Reactome_Pathways_2024	Disease	31/2131	6.388749877446905e-13	7.432245690763232e-11	GSK3B;DNMT1;CDKN1B;CUL3;ARAF;PIK3R3;IRS2;EGFR;AKT2;AKT3;ABL1;NBN;MUTYH;BARD1;SMAD2;SUZ12;DAXX;MAP2K1;SMAD4;SMAD3;IDH1;DNMT3A;STAT3;PIK3CA;ERCC3;MSH3;KIT;ERCC2;CTNNB1;KRAS;MYD88
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	24/1183	6.797694248866662e-13	4.717599808713461e-10	ACVR1;SMAD2;KMT2D;WWTR1;MAP2K1;SMAD4;SMAD3;EPAS1;KMT2C;STAT3;GATA2;KLF4;GATA1;EGFR;SMARCA4;RPS6KA4;SOX17;ELF3;MYOD1;ABL1;REL;CTNNB1;TCF3;TP63
0	KEGG_2021_Human	Acute myeloid leukemia	9/67	1.6825525745024406e-12	2.031081322077946e-11	MAP2K1;PIK3CA;AKT2;AKT3;KIT;STAT3;ARAF;PIK3R3;KRAS
0	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	10/100	1.906133417370029e-12	2.1475769835702328e-11	SMAD2;SMAD4;CDKN1B;SMAD3;PIK3CA;AKT2;AKT3;STAT3;PIK3R3;KRAS
0	KEGG_2021_Human	Central carbon metabolism in cancer	9/70	2.5381047843765957e-12	2.6808731784977787e-11	MAP2K1;PIK3CA;AKT2;IDH1;AKT3;KIT;PIK3R3;KRAS;EGFR
0	KEGG_2021_Human	Non-small cell lung cancer	9/72	3.3035423024696386e-12	3.2841097006904056e-11	MAP2K1;PIK3CA;AKT2;AKT3;STAT3;ARAF;PIK3R3;KRAS;EGFR
0	Reactome_Pathways_2024	Signal Transduction	33/2613	4.038089939692816e-12	4.0265525398651214e-10	GSK3B;CD274;KMT2D;DNMT1;CDKN1B;FLT4;CUL3;ARAF;PIK3R3;IRS2;EGFR;SOX17;AKT2;AKT3;NUF2;ABL1;SMAD2;SUZ12;WWTR1;MAP2K1;SMAD4;SMAD3;STAT3;SMARCA4;STAG2;ELF3;PIK3CA;MYOD1;KIT;CTNNB1;KRAS;TCF3;MYD88
0	KEGG_2021_Human	Hepatitis C	11/157	7.113324206656759e-12	6.678621060694403e-11	GSK3B;MAP2K1;PIK3CA;AKT2;AKT3;STAT3;ARAF;PIK3R3;CTNNB1;KRAS;EGFR
0	KEGG_2021_Human	Hepatitis B	11/162	1.001962142354958e-11	8.912189581999363e-11	MAP2K1;SMAD4;SMAD3;PIK3CA;AKT2;AKT3;STAT3;ARAF;PIK3R3;KRAS;MYD88
0	GO_Molecular_Function_2021	DNA binding (GO:0003677)	19/811	2.6114552922870557e-11	4.726734079039571e-09	SMAD2;KMT2D;DNMT1;SMAD4;SMAD3;EPAS1;DNMT3A;STAT3;GATA1;EGFR;SMARCA4;ERCC3;MSH3;ERCC4;ERCC2;ABL1;NBN;TCF3;TP63
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	9/94	3.8860763413051046e-11	1.7979579872438285e-08	EPHA7;CDKN1B;FLT4;KIT;IRS2;NBN;EPHB1;EPHA3;EGFR
0	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	12/253	7.186421953739271e-11	2.4936884179475273e-08	DAXX;EPHA7;FLT4;AKT2;KIT;ABL1;PIK3R3;KRAS;NBN;EPHB1;EPHA3;EGFR
