Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	AGO2	2	0.004580344922184926	4.746551642995405	0.009477236747615305
ABL1	ALB	2	0.0007182171450054794	6.491853096329675	0.0030992424735319327
ABL1	ALK	2	0.02263277001147345	3.406597136478191	0.031641141184054526
ABL1	ANKRD11	2	0.018060222865921717	3.5946450541184953	0.02630542223263163
ABL1	APC	11	0.06300868618140237	10.0	0.07610230759457026
ABL1	ARID2	2	0.010310374993344236	4.061296179268873	0.01696511888020325
ABL1	ARID5B	2	0.0014935417124499037	5.752510738790836	0.004683359582202427
ABL1	ASXL1	3	0.0012411835376130137	4.284195447532254	0.004206276008612615
ABL1	ATM	2	0.10273973362547094	2.100603940938406	0.11831689349213677
ABL1	B2M	2	0.004580344922184926	4.746551642995405	0.009477236747615305
ABL1	BIRC3	2	0.0007182171450054794	6.491853096329675	0.0030992424735319327
ABL1	BRCA1	2	0.00538666781040877	4.607853340675412	0.010601234005899868
ABL1	BRCA2	2	0.02592396777849902	3.293145194258333	0.03538046775304633
ABL1	BRD4	2	0.008166221239883297	4.256339753259786	0.014278269804126954
ABL1	CDC73	2	0.0025353793297086848	5.2647032261944124	0.006449924479548521
ABL1	CIC	2	0.00538666781040877	4.607853340675412	0.010601234005899868
ABL1	CREBBP	2	0.02763995106919186	3.2394659346953896	0.03730074923127714
ABL1	CSDE1	2	0.0010720577099672416	6.075627704813369	0.0038172123494485764
ABL1	CTNNB1	2	0.14774713921434512	1.759865996276285	0.1654172627149763
ABL1	CTR9	2	0.0010720577099672416	6.075627704813369	0.0038172123494485764
ABL1	CYLD	2	0.006253719101466911	4.481126689736616	0.011723335799211646
ABL1	DAXX	2	0.0004330478600585185	7.078002512001273	0.002399164441382189
ABL1	DNMT3B	2	0.0038357088498440967	4.899748526364498	0.008403157575501202
ABL1	DROSHA	2	0.008166221239883297	4.256339753259786	0.014278269804126954
ABL1	EIF4A2	2	0.0010720577099672416	6.075627704813369	0.0038172123494485764
ABL1	EPHA3	3	0.002988355506829496	3.7968507952671597	0.00713406425871493
ABL1	EPHB1	3	0.0019002017087993075	4.048032696421802	0.005450163795192115
ABL1	ERBB4	2	0.04719269414474739	2.7867186293633055	0.058971241280856825
ABL1	ERG	2	0.001981651459460307	5.4882864813094825	0.005576578658168626
ABL1	ESR1	3	0.000975806434527937	4.417852514885898	0.003697505873743827
ABL1	ETAA1	2	0.0004330478600585185	7.078002512001273	0.002399164441382189
ABL1	FAT1	3	0.0022985655405662365	3.94251450533924	0.006072313951584538
ABL1	FGFR1	2	0.00538666781040877	4.607853340675412	0.010601234005899868
ABL1	FLT1	2	0.007180549997207691	4.36445271153392	0.012973467789597109
ABL1	FLT3	2	0.008166221239883297	4.256339753259786	0.014278269804126954
ABL1	IGF1R	2	0.016636521496638905	3.662965012722429	0.024616898810133264
ABL1	IKBKE	2	0.00538666781040877	4.607853340675412	0.010601234005899868
ABL1	INPPL1	2	0.0031537276962903503	5.070866330719644	0.007362641103417532
ABL1	INSR	2	0.0014935417124499037	5.752510738790836	0.004683359582202427
ABL1	IRS1	2	0.01267885430627652	3.888968687611256	0.019887396472345026
ABL1	JAK1	2	0.004580344922184926	4.746551642995405	0.009477236747615305
ABL1	JAK2	4	3.3352708978343802e-06	6.109121722380112	0.00035974438049370827
ABL1	KMT2A	2	0.010310374993344236	4.061296179268873	0.01696511888020325
ABL1	KMT2C	2	0.04089153554633336	2.9090263399525096	0.05205593795823551
ABL1	KMT2D	2	0.05845027772471989	2.602255285307952	0.07116481388080137
ABL1	KRAS	7	0.21540168185265024	0.9733648734965332	0.23587745626492398
ABL1	LZTR1	2	0.0004330478600585185	7.078002512001273	0.002399164441382189
ABL1	MAP3K1	2	0.013944967175126718	3.809763428528326	0.02144410313023863
ABL1	MAPKAP1	2	0.0004330478600585185	7.078002512001273	0.002399164441382189
ABL1	MED12	2	0.021059190598000314	3.4666996191013366	0.029842234995350835
ABL1	MET	2	0.0031537276962903503	5.070866330719644	0.007362641103417532
ABL1	MGA	2	0.04089153554633336	2.9090263399525096	0.05205593795823551
ABL1	MITF	2	0.008166221239883297	4.256339753259786	0.014278269804126954
ABL1	MLH1	2	0.0014935417124499037	5.752510738790836	0.004683359582202427
ABL1	MRE11A	2	0.001981651459460307	5.4882864813094825	0.005576578658168626
ABL1	MSH6	2	0.0031537276962903503	5.070866330719644	0.007362641103417532
ABL1	MYC	2	0.0010720577099672416	6.075627704813369	0.0038172123494485764
ABL1	MYD88	2	0.0004330478600585185	7.078002512001273	0.002399164441382189
ABL1	MYOD1	2	0.004580344922184926	4.746551642995405	0.009477236747615305
ABL1	NCOR1	2	0.01267885430627652	3.888968687611256	0.019887396472345026
ABL1	NF1	2	0.04295245956376363	2.8671643172929078	0.05423267716553799
ABL1	NOTCH1	2	0.009209803038119236	4.155605330125246	0.015608202567921009
ABL1	NSD1	2	0.004580344922184926	4.746551642995405	0.009477236747615305
ABL1	NTRK2	2	0.0038357088498440967	4.899748526364498	0.008403157575501202
ABL1	NTRK3	2	0.018060222865921717	3.5946450541184953	0.02630542223263163
ABL1	PIK3C2G	2	0.018060222865921717	3.5946450541184953	0.02630542223263163
ABL1	PIK3C3	2	0.0031537276962903503	5.070866330719644	0.007362641103417532
ABL1	PIK3CA	4	0.1329100867233599	1.3266624259140836	0.14996961199532127
ABL1	PIK3CG	2	0.06808611988098841	2.4690115073812655	0.08147146583287292
ABL1	PLCG2	2	0.036891770886289844	2.996352222984856	0.047564532255382215
ABL1	PMS2	2	0.0025353793297086848	5.2647032261944124	0.006449924479548521
ABL1	POLE	2	0.007180549997207691	4.36445271153392	0.012973467789597109
ABL1	PREX2	3	0.002745779877638945	3.8438704099761876	0.0067640019059693295
ABL1	PTEN	2	0.05383815734107531	2.6734215989780483	0.06614462915334637
