Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	TP53	584	303	973	112	9.62090332849177e-39	-2.172290497316441	4.839314374231361e-36
KRAS	BRAF	13	874	142	943	4.0838701943032377e-25	-3.339682910189092	1.0270933538672644e-22
KRAS	NRAS	4	883	69	1016	2.4975120609991844e-14	-3.906109397654469	4.187495222275299e-12
KRAS	MAP2K1	2	885	17	1068	0.0014733786101677978	-2.816300554533145	0.18527736022860058
KRAS	PHOX2B	5	882	19	1066	0.01235271730957008	-1.6526425413545678	1.0
KRAS	ZNRF3	0	887	6	1079	0.02756952324707829	-10.0	1.0
KRAS	TNFRSF14	0	887	6	1079	0.02756952324707829	-10.0	1.0
KRAS	PNRC1	1	886	8	1077	0.03829218139685445	-2.7183603540108106	1.0
KRAS	IRS1	12	875	27	1058	0.049022338733330395	-0.8959402960479776	1.0
KRAS	RNF43	22	865	42	1043	0.05307801484571027	-0.6629186841457844	1.0
KRAS	RTEL1	2	885	9	1076	0.06486082343469211	-1.887996283856048	1.0
KRAS	KMT2A	14	873	29	1056	0.0654503642504513	-0.7760697973409546	1.0
KRAS	PGR	14	873	29	1056	0.0654503642504513	-0.7760697973409546	1.0
KRAS	WHSC1L1	8	879	19	1066	0.07623916404837114	-0.9696551458278136	1.0
KRAS	LATS2	10	877	22	1063	0.08015579072556561	-0.8600106746635634	1.0
KRAS	TET1	14	873	28	1057	0.08319394034619154	-0.7240781822467571	1.0
KRAS	AKT3	4	883	12	1073	0.08468986815856169	-1.3037977676131003	1.0
KRAS	CDK12	7	880	17	1068	0.08529119577616093	-1.000771701029841	1.0
KRAS	BCL2	0	887	4	1081	0.0914132733603504	-10.0	1.0
KRAS	PPARG	0	887	4	1081	0.0914132733603504	-10.0	1.0
KRAS	MCL1	0	887	4	1081	0.0914132733603504	-10.0	1.0
KRAS	LZTR1	1	886	6	1079	0.1022007555568192	-2.3006462397881577	1.0
KRAS	ARID1B	19	868	34	1051	0.1116911030340864	-0.5635396062890548	1.0
KRAS	CSF3R	7	880	16	1069	0.11419523687342832	-0.9119586537465648	1.0
KRAS	SMO	9	878	19	1066	0.11745630964853995	-0.7980879187774554	1.0
KRAS	ALK	22	865	38	1047	0.11799486376036508	-0.5130064903995669	1.0
KRAS	SOX17	14	873	26	1059	0.13068366817552424	-0.6144357657205916	1.0
KRAS	PPP4R2	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	REST	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	EIF4A2	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	YAP1	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	MYC	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	MYCN	2	885	7	1078	0.1492155350460801	-1.5227471042754586	1.0
KRAS	JAK1	7	880	15	1070	0.15082033307729598	-0.8175003057870648	1.0
KRAS	CD79B	1	886	5	1080	0.16342600724795847	-2.0362753863915497	1.0
KRAS	CD79A	1	886	5	1080	0.16342600724795847	-2.0362753863915497	1.0
KRAS	AR	17	870	29	1056	0.16946448933026234	-0.4909956252548699	1.0
KRAS	MDC1	6	881	13	1072	0.17191402920072738	-0.8323862358825771	1.0
KRAS	HNF1A	3	884	8	1077	0.1907960314580389	-1.1301375241260678	1.0
KRAS	INPP4B	7	880	14	1071	0.1962869345526856	-0.7166169487744037	1.0
KRAS	BLM	8	879	15	1070	0.21949238845954808	-0.6232148694634132	1.0
KRAS	TSHR	8	879	15	1070	0.21949238845954808	-0.6232148694634132	1.0
KRAS	FOXL2	2	885	6	1079	0.2199775756038963	-1.2990169962034992	1.0
KRAS	SETD8	2	885	6	1079	0.2199775756038963	-1.2990169962034992	1.0
KRAS	BRCA2	24	863	37	1048	0.22186662726048487	-0.3442846125492983	1.0
KRAS	UPF1	6	881	12	1073	0.225250119340036	-0.7155638481638917	1.0
KRAS	RAD21	6	881	12	1073	0.225250119340036	-0.7155638481638917	1.0
KRAS	PIK3R2	4	883	9	1076	0.22760988790038486	-0.8847322665341542	1.0
KRAS	TSC2	12	875	20	1065	0.2501045234822425	-0.4534670857726967	1.0
KRAS	ATR	15	872	24	1061	0.2545922138110793	-0.3950472889747991	1.0
KRAS	GNAQ	1	886	4	1081	0.2562172844795187	-1.7130120808203682	1.0
KRAS	HIST1H3J	1	886	4	1081	0.2562172844795187	-1.7130120808203682	1.0
KRAS	SERPINB3	1	886	4	1081	0.2562172844795187	-1.7130120808203682	1.0
KRAS	NUF2	5	882	10	1075	0.2604335675965528	-0.714513901080698	1.0
KRAS	ERG	5	882	10	1075	0.2604335675965528	-0.714513901080698	1.0
KRAS	MLH1	5	882	10	1075	0.2604335675965528	-0.714513901080698	1.0
KRAS	MST1	5	882	10	1075	0.2604335675965528	-0.714513901080698	1.0
KRAS	STK11	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	CDK6	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	SHQ1	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	ARHGAP35	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	MAX	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	AURKA	3	884	7	1078	0.26590260854870423	-0.9361535179753739	1.0
KRAS	ERCC5	8	879	14	1071	0.27585348713461744	-0.5223315124507523	1.0
KRAS	MRE11A	8	879	14	1071	0.27585348713461744	-0.5223315124507523	1.0
KRAS	PIK3C2G	24	863	35	1050	0.2952903639820629	-0.2613636528492802	1.0
KRAS	NTRK2	9	878	15	1070	0.29864083744552306	-0.45164764241305494	1.0
KRAS	KDM5C	9	878	15	1070	0.29864083744552306	-0.45164764241305494	1.0
KRAS	FANCA	9	878	15	1070	0.29864083744552306	-0.45164764241305494	1.0
KRAS	IRS2	12	875	19	1066	0.30155054610316845	-0.37811249668294467	1.0
KRAS	MTAP	0	887	2	1083	0.30259760441204764	-10.0	1.0
KRAS	GNB1	0	887	2	1083	0.30259760441204764	-10.0	1.0
KRAS	CCND3	0	887	2	1083	0.30259760441204764	-10.0	1.0
KRAS	TMEM127	0	887	2	1083	0.30259760441204764	-10.0	1.0
KRAS	ARAF	4	883	8	1077	0.30433680034395283	-0.7134670931042586	1.0
KRAS	MSI1	4	883	8	1077	0.30433680034395283	-0.7134670931042586	1.0
