Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	7/238	1.8355481638997682e-10	2.6799003192936624e-08	0	0	74.82575757575758	1677.4818273181634	KDM5A;KMT2D;NCOR1;KMT2B;EP300;ARID1A;ARID2
Reactome_2022	Transcriptional Regulation By RUNX1 R-HSA-8878171	5/204	2.904968537493264e-07	2.120627032370083e-05	0	0	49.71356783919598	748.272371311784	KMT2D;KMT2B;EP300;ARID1A;ARID2
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	10/2244	5.463876291201435e-07	0.00013550413202179556	0	0	15.891674127126231	229.1569424336914	SPEN;KDM5A;KMT2D;ZFHX3;NCOR1;NOTCH4;KMT2B;EP300;BCOR;ARID1A
Reactome_2022	Generic Transcription Pathway R-HSA-212436	8/1190	6.779889667133799e-07	3.299546304671782e-05	0	0	18.18032390621223	258.2357718791499	KMT2D;ZFHX3;NCOR1;NOTCH4;KMT2B;EP300;ARID1A;ARID2
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	6/511	1.11131684079573e-06	0.00013780328825867052	0	0	25.716171617161717	352.5678103038603	KDM5A;ZFHX3;NOTCH4;KMT2B;EP300;ARID1A
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	8/1312	1.425283250879584e-06	5.202283865710481e-05	0	0	16.37248028045574	220.39224906245667	KMT2D;ZFHX3;NCOR1;NOTCH4;KMT2B;EP300;ARID1A;ARID2
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	3/35	2.2016839444174943e-06	6.428917117699083e-05	0	0	155.8828125	2030.5744194011415	EP300;ARID1A;ARID2
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	8/1449	3.0216339042373485e-06	7.352642500310881e-05	0	0	14.70724695152176	186.92488549415432	KMT2D;ZFHX3;NCOR1;NOTCH4;KMT2B;EP300;ARID1A;ARID2
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	6/684	6.015742622072156e-06	0.00045470785789649613	0	0	18.984267453294	228.21236133382453	SPEN;ZFHX3;NCOR1;NOTCH4;EP300;BCOR
GO_Biological_Process_2021	regulation of megakaryocyte differentiation (GO:0045652)	3/54	8.27289758677127e-06	0.00045470785789649613	0	0	97.7156862745098	1143.520333540544	KMT2D;KMT2B;EP300
