Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	FAT1	0.6933	0.1705	0.7653
0	FLCN	0.5467	0.0424	0.6881
0	KMT2C	0.5467	0.0588	0.6522
0	POLE	0.5467	0.0451	0.6696
0	CTNNB1	0.48	0.0518	0.625
0	SETD2	0.4667	0.0295	0.6466
0	DNMT3A	0.44	0.0127	0.6198
0	NF1	0.44	0.0224	0.6048
0	TET2	0.44	0.0322	0.6198
0	CDH1	0.4133	0.0184	0.6198
0	ERBB4	0.4	0.0381	0.5952
0	MITF	0.4	0.0323	0.6048
0	AMER1	0.3867	0.1305	0.5952
0	INPPL1	0.3867	0.0122	0.5906
0	PIK3CG	0.3867	0.07	0.5769
0	PREX2	0.3867	0.0293	0.6
0	MET	0.3733	0.0055	0.5769
0	WHSC1	0.3733	0.012	0.6048
0	DIS3	0.36	0.0085	0.6048
0	INSR	0.36	0.0056	0.5725
0	ATM	0.3333	0.0324	0.5597
0	ESR1	0.3333	0.0083	0.5814
0	FLT1	0.3333	0.0318	0.5814
0	PTPRD	0.3333	0.0137	0.5814
0	RASA1	0.3333	0.0056	0.5682
0	BRCA1	0.3067	0.0019	0.5556
0	IRS2	0.2933	0.012	0.5639
0	ASXL2	0.2667	0.0038	0.5597
0	ATR	0.2667	0.003	0.5474
0	NSD1	0.2533	0.0013	0.5357
0	TP53BP1	0.2533	0.0227	0.5556
0	TOP1	0.24	0.0283	0.5396
0	ERCC4	0.2133	0.0011	0.5357
0	CARD11	0.2	0.0308	0.5102
0	SMO	0.2	0.004	0.5319
0	JAK1	0.1867	0.0003	0.5068
0	KDR	0.1867	0.0031	0.5208
0	PIK3CB	0.1867	0.0	0.4902
0	WWTR1	0.1867	0.0004	0.5172
0	PBRM1	0.1733	0.0028	0.5208
0	AGO2	0.16	0.0018	0.5
0	ERF	0.16	0.0008	0.5102
0	PGR	0.16	0.0021	0.5034
0	SESN3	0.16	0.0	0.5068
0	MTOR	0.1467	0.0041	0.5
0	TEK	0.12	0.0003	0.4967
0	PRDM1	0.1067	0.0	0.4777
0	ALK	0.0933	0.0005	0.4601
0	GSK3B	0.0933	0.0003	0.4747
0	PMS1	0.0933	0.0001	0.487
0	NTRK1	0.08	0.0	0.4717
0	KIT	0.0533	0.0032	0.4464
0	PIK3R2	0.0533	0.0	0.4464
0	TCF3	0.0533	0.0	0.4545
0	FYN	0.04	0.0	0.4335
0	IKZF1	0.04	0.0001	0.431
0	NFE2L2	0.04	0.0	0.419
0	PIK3C3	0.04	0.0002	0.4412
0	UPF1	0.04	0.0	0.4386
0	FGFR4	0.0267	0.0	0.4601
0	PARP1	0.0267	0.0	0.3846
