Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription of Notch receptor target (GO:0007221)	3/17	2.3060089156863605e-07	9.639117267568987e-05	0	0	356.625	5450.149152015522	NOTCH3;NOTCH4;EP300
KEGG_2021_Human	Human papillomavirus infection	5/331	3.156692620949415e-06	0.00022096848346645908	0	0	30.151840490797547	381.9027810102028	NOTCH3;APC;NOTCH4;EP300;IKBKE
Reactome_2022	Defective LFNG Causes SCDO3 R-HSA-5083630	2/5	5.243069539504879e-06	0.0003946851155973941	0	0	1024.7179487179487	12459.139177497858	NOTCH3;NOTCH4
Reactome_2022	Pre-NOTCH Processing In Endoplasmic Reticulum R-HSA-1912399	2/6	7.861232298160098e-06	0.0003946851155973941	0	0	768.5	9032.616380039904	NOTCH3;NOTCH4
GO_Biological_Process_2021	regulation of megakaryocyte differentiation (GO:0045652)	3/54	8.27289758677127e-06	0.0013886193551628	0	0	97.7156862745098	1143.520333540544	KMT2D;KMT2C;EP300
KEGG_2021_Human	Notch signaling pathway	3/59	1.0818393343276164e-05	0.00037864376701466577	0	0	88.96875	1017.292067162084	NOTCH3;NOTCH4;EP300
Reactome_2022	Generic Transcription Pathway R-HSA-212436	7/1190	1.0933714817632876e-05	0.0003946851155973941	0	0	13.90680473372781	158.86660117660747	KMT2D;NOTCH3;KMT2C;NOTCH4;SESN1;EP300;ARID2
GO_Biological_Process_2021	Notch signaling pathway (GO:0007219)	3/60	1.138266059678221e-05	0.0013886193551628	0	0	87.40350877192982	994.9507939511057	NOTCH3;NOTCH4;EP300
Reactome_2022	Pre-NOTCH Transcription And Translation R-HSA-1912408	3/62	1.2568820761891242e-05	0.0003946851155973941	0	0	84.4322033898305	952.757582665012	NOTCH3;NOTCH4;EP300
Reactome_2022	Transcriptional Regulation By RUNX1 R-HSA-8878171	4/204	1.3136136771695966e-05	0.0003946851155973941	0	0	35.97272727272728	404.3386199892963	KMT2D;KMT2C;EP300;ARID2
GO_Biological_Process_2021	histone H3-K4 monomethylation (GO:0097692)	2/8	1.4661684218577713e-05	0.0013886193551628	0	0	512.2820512820513	5701.83907495754	KMT2D;KMT2C
Reactome_2022	RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459	3/66	1.5180196753745926e-05	0.0003946851155973941	0	0	79.05555555555556	877.1624048638586	KMT2D;KMT2C;EP300
GO_Biological_Process_2021	regulation of myeloid cell differentiation (GO:0045637)	3/68	1.6610279367976186e-05	0.0013886193551628	0	0	76.61538461538461	843.1897584581213	KMT2D;KMT2C;EP300
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	7/1312	2.073520920763659e-05	0.0004350866202501061	0	0	12.524904214559388	135.06452619917204	KMT2D;NOTCH3;KMT2C;NOTCH4;SESN1;EP300;ARID2
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	4/238	2.40751842520348e-05	0.0004350866202501061	0	0	30.693084693084693	326.4003590261632	KMT2D;KMT2C;EP300;ARID2
Reactome_2022	Pre-NOTCH Expression And Processing R-HSA-1912422	3/78	2.5101151168275355e-05	0.0004350866202501061	0	0	66.36666666666666	702.9953442518079	NOTCH3;NOTCH4;EP300
GO_Biological_Process_2021	regulation of Notch signaling pathway (GO:0008593)	3/83	3.0247829586444912e-05	0.0018084116121174	0	0	62.203125	647.2910760109327	NOTCH3;NOTCH4;EP300
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	6/908	3.028440498761358e-05	0.0018084116121174	0	0	14.10421286031042	146.75260937015528	KMT2D;NOTCH3;FLCN;KMT2C;NOTCH4;EP300
KEGG_2021_Human	Pathways in cancer	5/531	3.1179524285258085e-05	0.0007275222333226886	0	0	18.497148288973385	191.921766965029	NOTCH3;APC;NOTCH4;EP300;TGFBR2
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	7/1449	3.956560600799304e-05	0.0005651437254286913	0	0	11.251820388349516	114.06589574137448	KMT2D;NOTCH3;KMT2C;NOTCH4;SESN1;EP300;ARID2
Reactome_2022	Activation Of HOX Genes During Differentiation R-HSA-5619507	3/91	3.984987807510003e-05	0.0005651437254286913	0	0	56.52556818181818	572.6261191809784	KMT2D;KMT2C;EP300
GO_Biological_Process_2021	hemopoiesis (GO:0030097)	3/94	4.3910167237293897e-05	0.0022073781092216	0	0	54.65384615384615	548.3619687932247	FLCN;NOTCH4;TGFBR2
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	2/14	4.752727986362482e-05	0.0022073781092216	0	0	256.06410256410254	2548.915005081115	NOTCH4;TGFBR2
GO_Biological_Process_2021	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	3/100	5.2826809188518965e-05	0.00220816062408	0	0	51.25773195876289	504.8113501315131	FLCN;EP300;TGFBR2
Reactome_2022	TRAF3-dependent IRF Activation Pathway R-HSA-918233	2/15	5.481548088819789e-05	0.0007126012515465725	0	0	236.3550295857988	2319.006332041941	EP300;IKBKE
KEGG_2021_Human	MicroRNAs in cancer	4/310	6.751935415291353e-05	0.0011815886976759	0	0	23.38562091503268	224.57436905078097	NOTCH3;APC;NOTCH4;EP300
GO_Biological_Process_2021	negative regulation of cell motility (GO:2000146)	3/114	7.806495859098441e-05	0.0029664684264574	0	0	44.76126126126126	423.35063373777496	PTPRT;FLCN;ARID2
Reactome_2022	Pre-NOTCH Processing In Golgi R-HSA-1912420	2/18	7.977048122143578e-05	0.0009572457746572292	0	0	192.0096153846154	1811.8712842401887	NOTCH3;NOTCH4
KEGG_2021_Human	Thyroid hormone signaling pathway	3/121	9.319637507124311e-05	0.0013047492509974	0	0	42.09110169491525	390.6391694746858	NOTCH3;NOTCH4;EP300
Reactome_2022	NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695	2/20	9.897575036981038e-05	0.0011028726469778	0	0	170.65811965811966	1573.5763478145914	NOTCH4;EP300
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	2/24	0.00014352676264691865	0.0046149374451086	0	0	139.6013986013986	1235.3312463141472	FLCN;EP300
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	2/24	0.00014352676264691865	0.0046149374451086	0	0	139.6013986013986	1235.3312463141472	FLCN;EP300
Reactome_2022	NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508	2/25	0.0001559398729733465	0.0016217746789228	0	0	133.5250836120401	1170.4862312462878	NOTCH3;EP300
GO_Biological_Process_2021	negative regulation of cell migration (GO:0030336)	3/144	0.00015608889034145876	0.0046603682973378	0	0	35.184397163120565	308.39422839962094	PTPRT;FLCN;ARID2
KEGG_2021_Human	Breast cancer	3/147	0.0001658961137611889	0.0019354546605472	0	0	34.44618055555556	299.82468067293223	NOTCH3;APC;NOTCH4
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	4/408	0.00019488192944037885	0.0054307097670718	0	0	17.624662466246626	150.56954776844543	PTPRT;FLCN;APC;ARID2
Reactome_2022	Notch-HLH Transcription Pathway R-HSA-350054	2/28	0.00019622936554570855	0.0018006930014782	0	0	118.10059171597634	1008.1333830209776	NOTCH3;NOTCH4
Reactome_2022	TRAF6 Mediated IRF7 Activation R-HSA-933541	2/28	0.00019622936554570855	0.0018006930014782	0	0	118.10059171597634	1008.1333830209776	EP300;IKBKE
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	2/29	0.00021067369304735427	0.0055038502308621	0	0	113.72079772079772	962.6693082346336	KMT2D;EP300
KEGG_2021_Human	Hepatitis B	3/162	0.00022096478665743755	0.0021519373001462	0	0	31.17295597484277	262.39858153602063	EP300;IKBKE;TGFBR2
GO_Biological_Process_2021	histone H3-K4 methylation (GO:0051568)	2/30	0.0002256241583974691	0.0055476998947142	0	0	109.65384615384616	920.7238662710552	KMT2D;KMT2C
KEGG_2021_Human	Hepatocellular carcinoma	3/168	0.0002459356914452872	0.0021519373001462	0	0	30.03030303030303	249.56504572237796	APC;ARID2;TGFBR2
GO_Biological_Process_2021	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	3/170	0.00025464849676006	0.0059135039803169	0	0	29.667664670658684	245.5185092066156	PTPRT;PTPRS;TGFBR2
GO_Biological_Process_2021	regulation of TORC1 signaling (GO:1903432)	2/35	0.0003079452853975245	0.0061295775855316	0	0	93.01631701631702	752.0916571878076	FLCN;SESN1
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation (GO:0035335)	2/35	0.0003079452853975245	0.0061295775855316	0	0	93.01631701631702	752.0916571878076	PTPRT;PTPRS
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	2/35	0.0003079452853975245	0.0026688591401118	0	0	93.01631701631702	752.0916571878076	EP300;ARID2
GO_Biological_Process_2021	response to estrogen (GO:0043627)	2/35	0.0003079452853975245	0.0061295775855316	0	0	93.01631701631702	752.0916571878076	KMT2D;EP300
GO_Biological_Process_2021	negative regulation of TOR signaling (GO:0032007)	2/38	0.0003633691227089321	0.0069040133314697	0	0	85.25213675213675	675.2047128538046	FLCN;SESN1
Reactome_2022	Signaling By NOTCH R-HSA-157118	3/203	0.0004284286446874797	0.0035176246616445	0	0	24.73125	191.8003988483856	NOTCH3;NOTCH4;EP300
GO_Biological_Process_2021	negative regulation of type I interferon production (GO:0032480)	2/43	0.000465736813527105	0.0084642603501882	0	0	74.83677298311444	574.139479895918	PTPRS;IKBKE
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	2/44	0.000487703613586734	0.0084941712699689	0	0	73.05128205128206	557.074662869983	NOTCH4;TGFBR2
GO_Biological_Process_2021	positive regulation of Notch signaling pathway (GO:0045747)	2/45	0.0005101666330676	0.0085299861048902	0	0	71.34883720930233	540.8793496929526	NOTCH4;EP300
Reactome_2022	PKMTs Methylate Histone Lysines R-HSA-3214841	2/47	0.0005565787049524132	0.0043413138986288	0	0	68.17094017094017	510.8527085713869	KMT2D;KMT2C
GO_Biological_Process_2021	regulation of mitochondrion organization (GO:0010821)	2/48	0.0005805264461589512	0.0093330790190169	0	0	66.68561872909699	496.9129027392016	FLCN;EP300
Reactome_2022	Signaling By NOTCH3 R-HSA-9012852	2/49	0.0006049677843536496	0.0044940463980556	0	0	65.26350245499182	483.6244393301046	NOTCH3;EP300
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	2/51	0.0006553286359164845	0.0100849500113776	0	0	62.59340659340659	458.83306235776007	EP300;IKBKE
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	4/566	0.0006755468907142948	0.0100849500113776	0	0	12.567453898414753	91.74226248142942	FLCN;APC;NOTCH4;ARID2
Reactome_2022	Amino Acids Regulate mTORC1 R-HSA-9639288	2/55	0.000761944761699299	0.0054028810375041	0	0	57.8577648766328	415.3977202918273	FLCN;SESN1
Reactome_2022	Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	2/60	0.0009062132520838294	0.006146489883699	0	0	52.856763925729446	370.3269570822188	KMT2D;EP300
GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	3/267	0.0009504665219040488	0.0136449601406613	0	0	18.675189393939394	129.9523814288875	KMT2D;APC;EP300
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	4/625	0.0009793033593776062	0.0136449601406613	0	0	11.338896208461426	78.56345975203342	KMT2D;FLCN;APC;TGFBR2
