Metodo	Cluster_ID	Gene
Louvain	0	ASXL1
Louvain	0	BARD1
Louvain	0	SETDB1
Louvain	0	MAP3K1
Louvain	0	DAXX
Louvain	0	PMS2
Louvain	0	PTCH1
Louvain	0	YES1
Louvain	0	SOX9
Louvain	0	RNF43
Louvain	0	TSC2
Louvain	0	TRAF2
Louvain	0	MAP2K1
Louvain	0	BAP1
Louvain	0	PIK3R3
Louvain	0	PDGFRA
Louvain	0	DROSHA
Louvain	0	SPEN
Louvain	0	SLX4
Louvain	0	RPS6KB2
Louvain	0	ARID1A
Louvain	0	JAK3
Louvain	0	ARID1B
Louvain	0	HNF1A
Louvain	0	CTR9
Louvain	0	ARAF
Louvain	0	CTCF
Louvain	0	BRIP1
Louvain	0	NOTCH2
Louvain	0	ERG
Louvain	0	MST1R
Louvain	0	PTPRS
Louvain	0	GLI1
Louvain	0	SMAD2
Louvain	0	RHOA
Louvain	0	TGFBR2
Louvain	0	NOTCH1
Louvain	0	MSH6
Louvain	0	SMAD3
Louvain	0	ANKRD11
Louvain	0	ABL1
Louvain	0	FOXP1
Louvain	0	CDKN2A
Louvain	0	MSH3
Louvain	0	DOT1L
Louvain	0	TP53
Louvain	0	LATS2
Louvain	0	KDM6A
Louvain	0	MGA
Louvain	0	HLA-B
Louvain	1	BRCA2
Louvain	1	CREBBP
Louvain	1	NCOA3
Louvain	1	SETD2
Louvain	1	ARID5B
Louvain	1	UPF1
Louvain	1	ALOX12B
Louvain	1	ERCC3
Louvain	1	WHSC1L1
Louvain	1	CSDE1
Louvain	1	FLT3
Louvain	1	PIK3CG
Louvain	1	PRDM14
Louvain	1	TGFBR1
Louvain	1	TET1
Louvain	1	MAP2K4
Louvain	1	KLF4
Louvain	1	NBN
Louvain	1	NRAS
Louvain	1	PIK3C2G
Louvain	1	FGF19
Louvain	1	ATRX
Louvain	1	IGF1R
Louvain	1	ATR
Louvain	1	CD274
Louvain	1	CDKN1B
Louvain	1	RAD21
Louvain	1	CASP8
Louvain	1	ARID2
Louvain	1	ESR1
Louvain	1	PLCG2
Louvain	1	STAG2
Louvain	1	PGR
Louvain	1	BBC3
Louvain	1	RAD54L
Louvain	1	MDM4
Louvain	1	PLK2
Louvain	1	TSC1
Louvain	1	PTEN
Louvain	1	FYN
Louvain	1	NKX2-1
Louvain	1	PRKD1
Louvain	1	SPRED1
Louvain	1	MYC
Louvain	1	BLM
Louvain	1	KDR
Louvain	1	AXIN1
Louvain	1	FGFR1
Louvain	1	AR
Louvain	1	ROS1
Louvain	1	PTPRD
Louvain	1	RICTOR
Louvain	1	CYLD
Louvain	1	ETV1
Louvain	1	PAK7
Louvain	1	PIK3CA
Louvain	1	EP300
Louvain	1	ERCC4
Louvain	1	E2F3
Louvain	1	INPP4A
Louvain	1	TOP1
Louvain	1	CDK8
Louvain	1	WT1
Louvain	1	TP63
Louvain	1	DIS3
Louvain	1	PTPN11
Louvain	1	EPAS1
Louvain	1	JUN
Louvain	1	ASXL2
Louvain	1	CDH1
Louvain	2	PIK3CB
Louvain	2	EPHB1
Louvain	2	MTOR
Louvain	2	AMER1
Louvain	2	NKX3-1
Louvain	2	FAT1
Louvain	2	PMS1
Louvain	2	DCUN1D1
Louvain	2	PIK3R2
Louvain	2	CSF3R
Louvain	2	PDCD1
Louvain	2	TRAF7
Louvain	2	KMT2A
Louvain	2	MDC1
Louvain	2	AURKA
Louvain	2	KMT2D
Louvain	2	MAPK3
Louvain	2	TAP2
Louvain	2	STAT3
Louvain	2	NF1
Louvain	2	HLA-C
Louvain	2	RASA1
Louvain	2	TP53BP1
Louvain	2	NOTCH3
Louvain	2	POLD1
Louvain	2	LATS1
Louvain	2	IRS2
Louvain	2	TCF7L2
Louvain	2	KMT2B
Louvain	2	MYD88
Louvain	2	TNFAIP3
Louvain	2	CHEK2
Louvain	2	SH2B3
Louvain	2	AKT1
Louvain	2	TET2
Louvain	2	VEGFA
Louvain	2	SHQ1
Louvain	2	IKZF1
Louvain	2	FANCA
Louvain	2	TBX3
Louvain	2	SMO
Louvain	2	PBRM1
Louvain	2	MITF
Louvain	2	INSR
Louvain	2	BRCA1
Louvain	2	EGFR
Louvain	2	ATM
Louvain	2	PPM1D
Louvain	2	CIC
Louvain	2	FGFR4
Louvain	2	AKT3
Louvain	2	FLCN
Louvain	2	RAF1
Louvain	2	CSF1R
Louvain	2	RPS6KA4
Louvain	2	GSK3B
Louvain	2	PIK3C3
Louvain	2	NEGR1
Louvain	2	NFE2L2
Louvain	2	CTLA4
Louvain	2	ELF3
Louvain	2	NTRK1
Louvain	2	AXL
Louvain	2	IL7R
Louvain	2	POLE
Louvain	2	FGFR2
