Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	21/451	1.5222736787147212e-17	1.0899479539597404e-14	ALK;AMER1;GSK3B;JUN;STAT3;IRS2;PIK3R2;PIK3CB;ESR1;MTOR;ERBB4;KIT;AGO2;KDR;NF1;CTNNB1;FYN;SHOC2;RAF1;FGFR4;MET
0	Reactome_Pathways_2024	Signal Transduction	40/2613	1.6763377697640914e-16	6.001289215755449e-14	ALK;AMER1;GSK3B;FLT1;IRS2;PIK3R2;IKZF1;PIK3CB;PRDM1;PIK3CG;PREX2;XPO1;CDH1;ERBB4;KDR;FYN;SHOC2;JAK1;NTRK1;WWTR1;JUN;PARP1;INSR;STAT3;ESR1;MTOR;SMO;RASA1;KIT;AGO2;NF1;CTNNB1;PGR;PIK3C3;TCF3;TEK;RAF1;FGFR4;MET;BIRC3
0	KEGG_2021_Human	Pathways in cancer	21/531	4.072952056614601e-16	7.086936578509406e-14	ALK;NTRK1;GSK3B;JUN;STAT3;MITF;PIK3R2;PIK3CB;ESR1;MTOR;SMO;CDH1;KIT;CTNNB1;RAF1;FGFR4;MET;JAK1;NKX3-1;BIRC3;NFE2L2
0	Reactome_Pathways_2024	Signaling by Receptor Tyrosine Kinases	21/536	4.911259613826959e-16	1.1721539611667005e-13	ALK;NTRK1;FLT1;INSR;STAT3;IRS2;PIK3R2;PIK3CB;PRDM1;ESR1;MTOR;ERBB4;RASA1;KIT;KDR;CTNNB1;PGR;PIK3C3;FYN;FGFR4;MET
0	Reactome_Pathways_2024	MAPK Family Signaling Cascades	17/314	2.2993973282430272e-15	4.1159212175550186e-13	JUN;IRS2;PIK3R2;PIK3CB;XPO1;ERBB4;RASA1;KIT;AGO2;NF1;FYN;SHOC2;TEK;RAF1;FGFR4;MET;JAK1
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	13/140	5.756463377467467e-15	4.625013764798025e-12	ALK;NTRK1;FLT1;INSR;PIK3CB;PTPRD;ERBB4;KIT;KDR;FYN;TEK;FGFR4;MET
0	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	12/108	7.632653319483752e-15	1.4727419051069286e-12	ALK;NTRK1;FLT1;ERBB4;INSR;KIT;KDR;FYN;TEK;FGFR4;MET;JAK1
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	27/1183	8.985699301640866e-15	4.625013764798025e-12	KMT2C;PIK3R2;BRCA1;GATA1;FLCN;CDH1;ERBB4;NSD1;TP53BP1;NKX3-1;WWTR1;JUN;PARP1;STAT3;TET2;MITF;ESR1;MTOR;TBX3;AGO2;ASXL2;CTNNB1;PGR;ATM;TCF3;MET;NFE2L2
0	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	18/404	9.23156440079446e-15	4.625013764798025e-12	ALK;NTRK1;GSK3B;FLT1;INSR;STAT3;IRS2;PIK3R2;PIK3CB;ERBB4;RASA1;KIT;KDR;FYN;SHOC2;TEK;FGFR4;MET
0	KEGG_2021_Human	PI3K-Akt signaling pathway	17/354	1.6587191847339315e-14	1.4430856907185204e-12	NTRK1;GSK3B;FLT1;INSR;PIK3R2;BRCA1;PIK3CB;PIK3CG;MTOR;ERBB4;KIT;KDR;TEK;RAF1;FGFR4;MET;JAK1
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	10/60	2.198122246428252e-14	1.4727419051069286e-12	ALK;NTRK1;FLT1;ERBB4;INSR;KIT;KDR;TEK;FGFR4;MET
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	10/60	2.198122246428252e-14	1.4727419051069286e-12	ALK;NTRK1;FLT1;ERBB4;INSR;KIT;KDR;TEK;FGFR4;MET
