Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	27/531	5.4790053668440185e-22	9.588259391977032e-20	NOTCH2;CSF3R;NOTCH1;FLT4;ARAF;PIK3R3;PIK3R2;GLI1;EGFR;ABL1;JAK3;SMAD2;TCF7L2;MAP2K1;SMAD3;PTCH1;AXIN2;MLH1;RHOA;TGFBR2;VEGFA;MSH6;SMO;MSH3;IL7R;TP53;FGFR2
0	KEGG_2021_Human	Colorectal cancer	15/86	1.5003092141250668e-20	1.3127705623594336e-18	SMAD2;TCF7L2;MAP2K1;SMAD3;ARAF;PIK3R3;PIK3R2;AXIN2;MLH1;RHOA;EGFR;TGFBR2;MSH6;MSH3;TP53
0	Reactome_Pathways_2024	Gene Expression (Transcription)	33/1615	6.002791179915681e-15	3.967844969924264e-12	NOTCH2;MDC1;NOTCH1;KMT2A;CTR9;KMT2B;EGFR;RPTOR;BRIP1;CHEK2;ABL1;CTLA4;DROSHA;PMS2;SOX9;KDM6A;BARD1;SMAD2;TCF7L2;DAXX;ZFHX3;SMAD3;YES1;SETDB1;MGA;TSC2;DICER1;ARID1A;MLH1;VEGFA;NCOR1;TCF3;TP53
0	KEGG_2021_Human	Gastric cancer	13/149	6.985559051451615e-14	4.074909446680109e-12	SMAD2;TCF7L2;MAP2K1;SMAD3;ARAF;PIK3R3;PIK3R2;AXIN2;MLH1;EGFR;TGFBR2;TP53;FGFR2
0	Reactome_Pathways_2024	Generic Transcription Pathway	28/1230	9.648508761384866e-14	3.1888321456376985e-11	NOTCH2;MDC1;NOTCH1;KMT2A;KMT2B;EGFR;RPTOR;BRIP1;CHEK2;ABL1;CTLA4;PMS2;SOX9;BARD1;SMAD2;TCF7L2;DAXX;ZFHX3;SMAD3;YES1;MGA;TSC2;ARID1A;MLH1;VEGFA;NCOR1;TCF3;TP53
0	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	55/5192	1.3754656901449758e-13	8.990108963497209e-12	MDC1;CTCF;GLI1;RPS6KA4;SOX17;CHEK2;SOX9;KDM6A;DAXX;MAP2K1;RECQL;TSC2;AXIN2;DICER1;HNF1A;ARID1A;RHOA;FOXP1;MSH6;TRAF7;LATS2;NCOR1;SMO;MSH3;ERG;TP53;NOTCH2;NOTCH1;KMT2A;ANKRD11;DOT1L;KMT2B;PIK3R2;EGFR;BRIP1;POLD1;ABL1;DROSHA;PMS2;RBM10;BARD1;SMAD2;SPEN;TCF7L2;ZFHX3;SMAD3;SETDB1;PTCH1;FANCA;MLH1;FUBP1;BCOR;TCF3;BAP1;FGFR2
0	GO_Biological_Process_2021	DNA repair (GO:0006281)	16/298	1.493608948367303e-13	2.1685277349993578e-10	BARD1;MDC1;DOT1L;RECQL;FANCA;MLH1;MSH6;BRIP1;SLX4;MSH3;CHEK2;POLD1;ABL1;PMS2;TP53;BAP1
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	29/1360	1.599534526467893e-13	3.524307739984257e-11	NOTCH2;MDC1;NOTCH1;KMT2A;CTR9;KMT2B;EGFR;RPTOR;BRIP1;CHEK2;ABL1;CTLA4;PMS2;SOX9;BARD1;SMAD2;TCF7L2;DAXX;ZFHX3;SMAD3;YES1;MGA;TSC2;ARID1A;MLH1;VEGFA;NCOR1;TCF3;TP53
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	51/4484	1.712401707332802e-13	8.990108963497209e-12	MDC1;CTCF;GLI1;RPS6KA4;SOX17;CHEK2;SOX9;KDM6A;DAXX;MAP2K1;RECQL;TSC2;AXIN2;DICER1;HNF1A;ARID1A;FOXP1;MSH6;LATS2;NCOR1;MSH3;ERG;TP53;NOTCH2;NOTCH1;KMT2A;ANKRD11;DOT1L;KMT2B;PIK3R2;EGFR;BRIP1;POLD1;ABL1;DROSHA;PMS2;RBM10;BARD1;SMAD2;SPEN;TCF7L2;ZFHX3;SMAD3;SETDB1;FANCA;MLH1;FUBP1;BCOR;TCF3;BAP1;FGFR2
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	27/1183	2.855204391045896e-13	2.1685277349993578e-10	NOTCH1;KMT2A;DOT1L;KMT2B;PIK3R2;CTCF;GLI1;EGFR;RPS6KA4;RPTOR;SOX17;CHEK2;ABL1;SOX9;SMAD2;TCF7L2;MAP2K1;ZFHX3;SMAD3;HNF1A;ARID1A;VEGFA;ASXL1;ERG;TCF3;TP53;FGFR2
