Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ANKRD11	2	0.025775591834469723	3.384937892413163	0.034540640708835696
ABL1	APC	7	0.9074533662658036	-0.9460611928891962	0.9369386261789245
ABL1	AR	2	0.022753803967951333	3.494317136281156	0.03136739897322888
ABL1	ARAF	2	0.001432870465513653	6.221587121264805	0.004822384961767763
ABL1	ARID1A	3	0.03722578882564219	2.3994966483830655	0.04725147533785248
ABL1	ARID1B	3	0.0026986908698358545	3.9649596518640484	0.0069951518714824815
ABL1	ARID2	3	0.001059264235931656	4.5178483048626195	0.004042045115438521
ABL1	ASXL1	4	4.625171729654751e-05	5.155278225477911	0.000862140862410956
ABL1	ASXL2	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	ATM	2	0.1027795076350182	2.147204924942229	0.11797537001900527
ABL1	ATRX	3	0.0053938478240275626	3.5602158383854707	0.010701442428624251
ABL1	AXL	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	B2M	2	0.00645470616003572	4.626925793824848	0.012069811010015915
ABL1	BAP1	3	0.0004929447197408994	4.984621898841085	0.00262566863435411
ABL1	BCL10	2	0.002367129435918599	5.634206019741005	0.006343281645653925
ABL1	BCOR	2	0.05951227084001249	2.6463630453852995	0.07169518978864514
ABL1	BRD4	2	0.010192014045706611	4.2070143201775325	0.01685316142583354
ABL1	CASP8	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	CDC73	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	CDH1	2	0.008225942124808655	4.4020984435713455	0.01438487536126652
ABL1	CIC	2	0.028955348375291786	3.2829339632714984	0.03816885910552269
ABL1	CREBBP	3	0.0026986908698358545	3.9649596518640484	0.0069951518714824815
ABL1	CSF1R	2	0.00645470616003572	4.626925793824848	0.012069811010015915
ABL1	CTLA4	2	0.002367129435918599	5.634206019741005	0.006343281645653925
ABL1	CTNNB1	2	0.2260351684949666	1.3648366863566532	0.24777372240368342
ABL1	CTR9	2	0.001432870465513653	6.221587121264805	0.004822384961767763
ABL1	CYLD	2	0.010192014045706611	4.2070143201775325	0.01685316142583354
ABL1	DAXX	2	0.001432870465513653	6.221587121264805	0.004822384961767763
ABL1	DICER1	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	DNMT3A	2	0.010192014045706611	4.2070143201775325	0.01685316142583354
ABL1	DNMT3B	2	0.008225942124808655	4.4020984435713455	0.01438487536126652
ABL1	DOT1L	3	0.0019274177783043154	4.162545471076715	0.005633033894011967
ABL1	EP300	2	0.05108370338384714	2.782608259721919	0.06249588357077996
ABL1	EPHA3	2	0.035769301299028	3.0974125016579444	0.045551138860078874
ABL1	EPHA5	2	0.05108370338384714	2.782608259721919	0.06249588357077996
ABL1	EPHB1	4	0.00015767221538945278	4.60238957247934	0.0015074442883213864
ABL1	ERBB2	2	0.039393989673753016	3.0124693519622165	0.04959640155474632
ABL1	ERBB3	2	0.043157628214929376	2.931981576571349	0.053768304445066153
ABL1	ERBB4	2	0.07774247941118503	2.404983834614921	0.09100088675262744
ABL1	ERCC3	2	0.008225942124808655	4.4020984435713455	0.01438487536126652
ABL1	ERG	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	ESR1	2	0.022753803967951333	3.494317136281156	0.03136739897322888
ABL1	ETV1	2	0.002367129435918599	5.634206019741005	0.006343281645653925
ABL1	FAT1	4	0.0007183743767121014	3.936088236179807	0.003302641833336292
ABL1	FBXW7	2	0.38617246721394605	0.73973734341626	0.41337877061386247
ABL1	FGFR2	2	0.0035194852851763545	5.2167458581953055	0.008094940827718763
ABL1	FLT1	2	0.00645470616003572	4.626925793824848	0.012069811010015915
ABL1	FLT4	2	0.039393989673753016	3.0124693519622165	0.04959640155474632
ABL1	GLI1	2	0.008225942124808655	4.4020984435713455	0.01438487536126652
ABL1	GRIN2A	2	0.06840940621895661	2.521050736900963	0.08109042620324336
ABL1	HIST1H1C	2	0.0002430645579465906	10.0	0.0018462838880523363
ABL1	IDH1	2	0.0035194852851763545	5.2167458581953055	0.008094940827718763
ABL1	IGF1R	3	0.0026986908698358545	3.9649596518640484	0.0069951518714824815
ABL1	IKBKE	2	0.010192014045706611	4.2070143201775325	0.01685316142583354
ABL1	INPP4A	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	INPP4B	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	INSR	2	0.0035194852851763545	5.2167458581953055	0.008094940827718763
ABL1	IRS1	2	0.017204151251678696	3.740240726199067	0.02511388356051029
ABL1	IRS2	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	JAK2	4	1.718212181170099e-05	5.622051819456376	0.0005471914547501243
ABL1	KDM5A	2	0.03228818441174463	3.1873520732004965	0.04191680421586183
ABL1	KMT2A	2	0.022753803967951333	3.494317136281156	0.03136739897322888
ABL1	KMT2D	3	0.021318982937656585	2.7446736893014694	0.02958413255272584
ABL1	KRAS	10	1.0	-10.0	1.0
ABL1	LATS1	2	0.0035194852851763545	5.2167458581953055	0.008094940827718763
ABL1	LATS2	3	0.0008396059091867983	4.657803307606651	0.003577922446959012
ABL1	MALT1	2	0.0035194852851763545	5.2167458581953055	0.008094940827718763
ABL1	MAP3K1	2	0.03228818441174463	3.1873520732004965	0.04191680421586183
ABL1	MAPKAP1	2	0.000722786700318939	7.224001674198105	0.003302641833336292
ABL1	MED12	3	0.004761462279947016	3.6330990217654264	0.009907945847178922
ABL1	MET	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	MGA	4	0.0005395564061646657	4.061400544664143	0.002778223429997759
ABL1	MITF	2	0.017204151251678696	3.740240726199067	0.02511388356051029
ABL1	MLH1	2	0.001432870465513653	6.221587121264805	0.004822384961767763
ABL1	MLL2	2	0.001432870465513653	6.221587121264805	0.004822384961767763
ABL1	MSH3	2	0.01468652889129533	3.8801957289430984	0.022072285801523164
ABL1	MSH6	2	0.00645470616003572	4.626925793824848	0.012069811010015915
ABL1	MST1R	2	0.004883966340516385	4.892391025913404	0.010031081858595388
ABL1	MYC	2	0.000722786700318939	7.224001674198105	0.003302641833336292
ABL1	MYD88	2	0.002367129435918599	5.634206019741005	0.006343281645653925
ABL1	NCOR1	3	0.0006515322523839656	4.8122537214704435	0.0031282220222300385
ABL1	NOTCH1	3	0.0008396059091867983	4.657803307606651	0.003577922446959012
ABL1	NOTCH2	2	0.012347362784810098	4.034646142806891	0.019448069837900532
ABL1	NOTCH3	2	0.05951227084001249	2.6463630453852995	0.07169518978864514
ABL1	NOTCH4	4	0.00010120625148083867	4.799975391692007	0.0012217881658791562
ABL1	NTRK3	4	2.4620063041191528e-05	5.449683642085735	0.0006360400636331164
ABL1	PIK3C2G	2	0.01468652889129533	3.8801957289430984	0.022072285801523164
ABL1	PIK3CA	3	0.5082764627542127	0.2833682483563219	0.5382579764047684
ABL1	PIK3CD	2	0.01468652889129533	3.8801957289430984	0.022072285801523164
ABL1	PIK3CG	2	0.05108370338384714	2.782608259721919	0.06249588357077996
