Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	5.592631490122753e-10	3.8589157281846995e-07	0	0	52.21052631578947	1112.3139892597264	RET;PTPRT;PTPRD;PDGFRA;NTRK3;KDR;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	6/94	2.506014746406419e-09	8.645750875102146e-07	0	0	64.56168831168831	1278.6166108115356	RET;PDGFRA;NTRK3;KDR;IRS2;EPHA3
KEGG_2021_Human	Central carbon metabolism in cancer	5/70	3.4530792119878654e-08	3.6602639647071366e-06	0	0	69.60839160839161	1195.9706209499668	RET;PDGFRA;NTRK3;TP53;MTOR
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	3.861426178601203e-08	7.077666612152399e-06	0	0	39.901408450704224	681.1028434328335	RET;PDGFRA;FBXW7;NTRK3;KDR;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	8/404	4.1029951374796513e-08	7.077666612152399e-06	0	0	20.81552365762892	354.0504824508529	RET;PTPRT;PDGFRA;APC;NTRK3;KDR;IRS2;EPHA3
KEGG_2021_Human	Hepatocellular carcinoma	6/168	8.213934600320172e-08	4.353385338169691e-06	0	0	34.94003527336861	570.0413887231836	APC;KEAP1;ARID1A;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	4.022639057290716e-07	5.551241899061188e-05	0	0	41.41784820683903	609.925755251376	RET;PDGFRA;NTRK3;KDR;EPHA3
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	6/269	1.307181044198108e-06	0.0001503258200827824	0	0	21.412275936990767	290.08575488571404	RET;PDGFRA;APC;NTRK3;KDR;MTOR
KEGG_2021_Human	MicroRNAs in cancer	6/310	2.9722985431934422e-06	0.00010502121519283498	0	0	18.485902255639097	235.25482684616156	NOTCH3;PDGFRA;APC;IRS2;TP53;MTOR
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	4/77	3.3316674487170226e-06	0.0003284072199449636	0	0	47.40917212626564	597.9262635248523	PDGFRA;NTRK3;KDR;IRS2
KEGG_2021_Human	Pathways in cancer	7/531	5.002627386333152e-06	0.00013256962573782852	0	0	12.99074427480916	158.55914378994817	RET;NOTCH3;PDGFRA;APC;KEAP1;TP53;MTOR
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	5/221	1.0424343433904029e-05	0.0008990996211742223	0	0	20.788089225589225	238.46779600045147	RET;PDGFRA;APC;NTRK3;KDR
GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	4/106	1.1908001700208346e-05	0.0009129467970159732	0	0	33.88064791133845	384.1489492655578	PDGFRA;NTRK3;KDR;IRS2
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	6/408	1.4299789309202206e-05	0.0009866854623349522	0	0	13.909737029140016	155.16681313428106	RET;PTPRT;PDGFRA;APC;NTRK3;KDR
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	5/238	1.491418413903503e-05	0.0013747346031245	0	0	19.25477955520874	213.98217460489272	KMT2D;KDM5C;SETD2;ARID1A;SMARCA4
KEGG_2021_Human	Calcium signaling pathway	5/240	1.5528352973033547e-05	0.0003292010830283112	0	0	19.088974854932303	211.36922123626024	RET;PDGFRA;GRIN2A;NTRK3;KDR
Reactome_2022	Generic Transcription Pathway R-HSA-212436	9/1190	1.5998102625035065e-05	0.0013747346031245	0	0	7.955969517358171	87.85809302962483	MDC1;KMT2D;NOTCH3;GRIN2A;FBXW7;ARID1A;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	beta-catenin destruction complex assembly (GO:1904885)	2/5	1.750603176699575e-05	0.0010115564305011	0	0	532.5333333333333	5832.818995426615	AMER1;APC
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	4/117	1.759228574784555e-05	0.0010115564305011	0	0	30.56560215467487	334.6337425580598	RET;PTPRD;NTRK3;EPHA3
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	6/424	1.7776740557645592e-05	0.0013747346031245	0	0	13.36637047163363	146.19627652557733	AMER1;PDGFRA;FBXW7;KDR;IRS2;MTOR
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	5/253	2.0017761553121375e-05	0.0010624811901272	0	0	18.07642961876833	195.56691449963364	RET;PDGFRA;NTRK3;KDR;EPHA3
GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	5/267	2.5922759081338073e-05	0.0012776216975802	0	0	17.098369188063845	180.5654340995779	AMER1;KMT2D;APC;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	5/274	2.9342572274403804e-05	0.0013497583246225	0	0	16.647516052720512	173.7413204680747	RET;PDGFRA;FBXW7;NTRK3;KDR
Reactome_2022	Signal Transduction R-HSA-162582	12/2465	3.47220117896049e-05	0.0016155767070346	0	0	5.713819812474521	58.67028306565454	RET;AMER1;KMT2D;NOTCH3;PDGFRA;FBXW7;NTRK3;KDR;IRS2;TP53;MTOR;SMARCA4
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	9/1312	3.4818463513678676e-05	0.0016155767070346	0	0	7.164236377590177	73.5434852509017	MDC1;KMT2D;NOTCH3;GRIN2A;FBXW7;ARID1A;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	chromatin organization (GO:0006325)	4/142	3.7647034587106014e-05	0.0016235283665689	0	0	24.996849401386264	254.64931328037903	KDM5C;SETD2;ARID1A;SMARCA4
KEGG_2021_Human	Breast cancer	4/147	4.310046620824715e-05	0.000761441569679033	0	0	24.116752812404982	242.42103841148673	NOTCH3;APC;TP53;MTOR
GO_Biological_Process_2021	regulation of positive chemotaxis (GO:0050926)	2/8	4.889496527853119e-05	0.0019845603554227	0	0	266.2266666666667	2642.522265790654	NTRK3;KDR
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	7/764	5.250043389034801e-05	0.0020125166324633	0	0	8.884544253632761	87.55442162639704	KMT2D;PDGFRA;APC;NTRK3;KDR;IRS2;TP53
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	3/56	5.7983994550739355e-05	0.0021057345389479	0	0	46.9811320754717	458.3170833658664	PDGFRA;KDR;EPHA3
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	6/546	7.31153001367916e-05	0.0024909861662518	0	0	10.282010582010582	97.92044922693182	RET;PDGFRA;NTRK3;KDR;IRS2;TP53
