Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	FAT1	0.3448	0.379	0.5321
0	PTPRT	0.2759	0.2853	0.5088
0	GRIN2A	0.2414	0.2544	0.5225
0	ALK	0.2069	0.1248	0.4833
0	EPHA5	0.1897	0.1703	0.4496
0	KDM5C	0.1552	0.0477	0.4056
0	PDGFRA	0.1552	0.1428	0.4462
0	ARID2	0.1207	0.0241	0.4
0	EP300	0.1034	0.0324	0.4203
0	ROS1	0.1034	0.0428	0.3919
0	BTK	0.0862	0.0483	0.4361
0	FLT3	0.0862	0.0149	0.4328
0	BARD1	0.069	0.0128	0.3867
0	GATA3	0.069	0.02	0.4056
0	INHBA	0.069	0.0404	0.4265
0	NTRK2	0.069	0.0221	0.3766
0	PREX2	0.069	0.0404	0.3558
0	ERCC2	0.0517	0.004	0.3671
0	FGFR4	0.0517	0.008	0.3766
0	IL7R	0.0517	0.0692	0.3742
0	JAK3	0.0517	0.0004	0.3392
0	PRDM1	0.0517	0.0109	0.4173
0	SMO	0.0517	0.0057	0.3841
0	BRIP1	0.0345	0.0345	0.3152
0	CTCF	0.0345	0.0345	0.2762
0	DROSHA	0.0345	0.0	0.4
0	FOXA1	0.0345	0.0034	0.3742
0	MAP3K1	0.0345	0.0034	0.3742
0	MYCN	0.0345	0.0	0.3515
0	PLCG2	0.0345	0.0032	0.3694
0	RAD50	0.0345	0.003	0.3412
0	SPEN	0.0345	0.0	0.3187
0	TSHR	0.0345	0.0	0.3602
0	ARAF	0.0172	0.0	0.3053
0	BCL6	0.0172	0.0	0.3118
0	CBL	0.0172	0.0	0.3102
0	CDK12	0.0172	0.0	0.3277
0	EIF1AX	0.0172	0.0	0.3102
0	ETV1	0.0172	0.0	0.2407
0	FGF4	0.0172	0.0	0.3452
0	FH	0.0172	0.0	0.3392
0	HIST1H1C	0.0172	0.0	0.3494
0	HLA-A	0.0172	0.0	0.3452
0	IGF2	0.0172	0.0	0.3494
0	MET	0.0172	0.0	0.3392
0	MLH1	0.0172	0.0	0.3494
0	MLL3	0.0172	0.0	0.3392
0	MSH3	0.0172	0.0	0.3494
0	NBN	0.0172	0.0	0.3494
0	PHOX2B	0.0172	0.0	0.2829
0	RPTOR	0.0172	0.0	0.3494
0	RUNX1	0.0172	0.0	0.3494
0	SH2B3	0.0172	0.0	0.3494
0	SMYD3	0.0172	0.0	0.2172
0	SOX9	0.0172	0.0	0.3392
0	TEK	0.0172	0.0	0.2636
0	TGFBR1	0.0172	0.0	0.3102
0	TSC1	0.0172	0.0	0.3452
0	XRCC2	0.0172	0.0	0.3392
1	TP53	0.6508	0.4803	0.7
1	PTPRD	0.381	0.1889	0.5833
1	EPHA3	0.2857	0.1186	0.5164
1	HGF	0.2222	0.0377	0.5385
1	DIS3	0.1905	0.0778	0.5207
1	EPHB1	0.1905	0.0515	0.4565
1	MDC1	0.1905	0.0327	0.5294
1	PAK7	0.1746	0.0374	0.4922
1	INPP4B	0.1587	0.0343	0.5164
1	NF1	0.1587	0.0124	0.4961
1	AMER1	0.1429	0.0185	0.5
1	MTOR	0.1429	0.0459	0.4961
1	EPHA7	0.127	0.04	0.4315
1	FLT4	0.127	0.0432	0.4565
1	NOTCH2	0.127	0.0155	0.5081
1	PARK2	0.127	0.0095	0.504
1	PGR	0.127	0.0238	0.4846
1	ERBB4	0.1111	0.0056	0.4846
1	RB1	0.1111	0.0042	0.4701
1	ATR	0.0952	0.0029	0.4667
1	BRCA1	0.0952	0.006	0.4737
1	MED12	0.0952	0.0037	0.4468
1	NSD1	0.0952	0.0061	0.4809
1	AXIN2	0.0794	0.0324	0.4286
1	FLT1	0.0794	0.0024	0.4257
1	KMT2C	0.0794	0.0024	0.4315
1	SF3B1	0.0794	0.0088	0.4737
1	XPO1	0.0794	0.0042	0.4599
1	IKZF1	0.0635	0.001	0.3889
1	KMT2B	0.0635	0.001	0.4667
1	NCOR1	0.0635	0.0169	0.4667
1	NEGR1	0.0635	0.0144	0.4667
1	SLX4	0.0635	0.0032	0.4532
1	B2M	0.0476	0.0002	0.45
1	CSDE1	0.0476	0.0022	0.4437
1	ERCC3	0.0476	0.0	0.45
1	IRS1	0.0476	0.0002	0.4345
1	KDM6A	0.0476	0.0	0.45
1	PDGFRB	0.0476	0.0002	0.42
1	RECQL4	0.0476	0.0003	0.42
1	AR	0.0317	0.0	0.4065
1	DNMT3A	0.0317	0.0029	0.4468
1	ERCC5	0.0317	0.0	0.375
1	FGF3	0.0317	0.0002	0.3424
1	INPPL1	0.0317	0.0	0.4375
1	MLL2	0.0317	0.0004	0.3481
1	NUF2	0.0317	0.0	0.4345
1	PRKD1	0.0317	0.0	0.4257
1	ANKRD11	0.0159	0.0	0.315
1	BABAM1	0.0159	0.0	0.4145
1	BLM	0.0159	0.0	0.3424
1	BRD4	0.0159	0.0	0.4145
1	CCND2	0.0159	0.0	0.3014
1	CYLD	0.0159	0.0	0.4145
1	EPAS1	0.0159	0.0	0.3333
1	ESR1	0.0159	0.0	0.3706
1	FAM175A	0.0159	0.0	0.3706
1	FGF19	0.0159	0.0	0.4145
1	FGFR3	0.0159	0.0	0.3443
1	MAP2K4	0.0159	0.0	0.3443
1	NKX3-1	0.0159	0.0	0.3029
1	TGFBR2	0.0159	0.0	0.315
1	TNFAIP3	0.0159	0.0	0.3706
1	YAP1	0.0159	0.0	0.3424
2	KEAP1	0.5484	0.5431	0.6889
2	SMARCA4	0.5484	0.5083	0.6739
2	STK11	0.2258	0.1876	0.5439
2	TBX3	0.129	0.0472	0.4429
2	APC	0.0968	0.0079	0.3735
2	CREBBP	0.0968	0.0645	0.4921
2	DDR2	0.0968	0.0088	0.4247
2	PRDM14	0.0968	0.0088	0.4247
2	ARID5B	0.0645	0.0018	0.3163
2	BRCA2	0.0645	0.0	0.4769
2	DICER1	0.0645	0.0	0.4769
2	DOT1L	0.0645	0.0	0.4429
2	FGFR2	0.0645	0.0	0.4769
2	GATA1	0.0645	0.0155	0.4366
2	LATS2	0.0645	0.0	0.4306
2	POLD1	0.0645	0.0259	0.4247
2	PTCH1	0.0645	0.0	0.4769
2	STAG2	0.0645	0.0	0.4366
2	TSC2	0.0645	0.0	0.4769
2	AXL	0.0323	0.0	0.3333
2	CD79B	0.0323	0.0	0.4079
2	CXCR4	0.0323	0.0	0.4079
2	EGFR	0.0323	0.0	0.4133
2	ERBB3	0.0323	0.0	0.3563
2	HNF1A	0.0323	0.0	0.4133
2	JAK2	0.0323	0.0	0.4133
2	KIT	0.0323	0.0	0.3563
2	MEN1	0.0323	0.0	0.4079
2	PIK3R2	0.0323	0.0	0.4133
2	SCG5	0.0323	0.0	0.4133
2	SPRED1	0.0323	0.0	0.4079
2	UPF1	0.0323	0.0	0.4079
3	ARID1A	0.3077	0.3349	0.5
3	MGA	0.3077	0.3771	0.5
3	SETD2	0.2051	0.2306	0.4699
3	PIK3CG	0.1795	0.1934	0.4382
3	NOTCH3	0.1538	0.1393	0.4432
3	POLE	0.1538	0.074	0.4021
3	KDR	0.1282	0.0776	0.4194
3	NTRK3	0.1282	0.0374	0.4149
3	CDKN2A	0.1026	0.0196	0.3714
3	PIK3CA	0.1026	0.0623	0.3451
3	PMS1	0.1026	0.0166	0.39
3	SOX17	0.1026	0.0422	0.4286
3	ARID1B	0.0769	0.0114	0.3514
3	ASXL1	0.0769	0.0513	0.3514
3	ATM	0.0769	0.0583	0.3023
3	GSK3B	0.0769	0.009	0.3939
3	MSH6	0.0769	0.0675	0.3578
3	PPM1D	0.0769	0.0242	0.3861
3	PTEN	0.0769	0.016	0.398
3	TCF3	0.0769	0.0071	0.3861
3	WT1	0.0769	0.0864	0.3277
3	FUBP1	0.0513	0.0637	0.3611
3	NF2	0.0513	0.0043	0.3578
3	REL	0.0513	0.0	0.375
3	AXIN1	0.0256	0.0	0.2889
3	BAP1	0.0256	0.0	0.3095
3	CUL3	0.0256	0.0	0.3362
3	DNMT3B	0.0256	0.0	0.3362
3	ERRFI1	0.0256	0.0	0.2335
3	FANCA	0.0256	0.0	0.2583
3	FOXO1	0.0256	0.0	0.2617
3	IDH1	0.0256	0.0	0.3223
3	KLF4	0.0256	0.0	0.2977
3	LATS1	0.0256	0.0	0.3223
3	MALT1	0.0256	0.0	0.3362
3	MSH2	0.0256	0.0	0.3095
3	PIK3R1	0.0256	0.0	0.2653
3	POT1	0.0256	0.0	0.2484
3	PTPRS	0.0256	0.0	0.3071
3	TET2	0.0256	0.0	0.3362
4	NTRK1	0.2692	0.4785	0.4643
4	RBM10	0.2692	0.4087	0.4262
4	GLI1	0.2308	0.2262	0.3662
4	ZFHX3	0.2308	0.2954	0.3377
4	U2AF1	0.1538	0.1154	0.321
4	ASXL2	0.1154	0.0769	0.3714
4	TERT	0.1154	0.1185	0.3562
4	TP63	0.1154	0.2538	0.4194
4	BCOR	0.0769	0.0	0.2921
4	CHEK2	0.0769	0.1277	0.3611
4	CTNNB1	0.0769	0.0	0.3059
4	KDM5A	0.0769	0.1021	0.3714
4	MRE11A	0.0769	0.0	0.325
4	PALB2	0.0769	0.0769	0.3095
4	PBRM1	0.0769	0.0	0.325
4	RICTOR	0.0769	0.1077	0.3662
4	DAXX	0.0385	0.0	0.3023
4	DNMT1	0.0385	0.0	0.2737
4	EZH1	0.0385	0.0	0.2549
4	FOXP1	0.0385	0.0	0.2549
4	KMT2A	0.0385	0.0	0.3023
4	MLL	0.0385	0.0	0.2549
4	NFE2L2	0.0385	0.0	0.2385
4	PIM1	0.0385	0.0	0.2549
4	RASA1	0.0385	0.0	0.2708
4	SDHB	0.0385	0.0	0.2453
4	XIAP	0.0385	0.0	0.3023
5	ATRX	0.48	0.3915	0.5952
5	RET	0.36	0.3298	0.5952
5	CIC	0.32	0.141	0.5319
5	TET1	0.24	0.1383	0.5208
5	IRS2	0.2	0.0702	0.4167
5	NOTCH4	0.2	0.1361	0.5102
5	PIK3C2G	0.2	0.0437	0.4386
5	CSF1R	0.16	0.1184	0.431
5	KMT2D	0.16	0.0893	0.4237
5	PIK3C3	0.16	0.0373	0.4386
5	PPP2R1A	0.16	0.0858	0.431
5	BRAF	0.12	0.0	0.4545
5	CARD11	0.12	0.0183	0.4098
