Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	5/140	1.2454968541132366e-07	5.6421007491329606e-05	0	0	56.54415954415954	898.9707765508675	NTRK1;RET;PTPRT;PTPRD;EPHA3
GO_Biological_Process_2021	nucleosome organization (GO:0034728)	4/94	1.3311185321984964e-06	0.00030149834754295945	0	0	63.14920634920635	854.3766169077289	SETD2;ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	4/117	3.194635446133657e-06	0.00037184656596570286	0	0	50.23767383059418	635.7094124842212	NTRK1;RET;PTPRD;EPHA3
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	3/33	3.283413386010621e-06	0.00037184656596570286	0	0	133.01333333333332	1679.5097473860003	STK11;ATRX;TP53
KEGG_2021_Human	Thyroid cancer	3/37	4.665480298250301e-06	0.00036857294356177375	0	0	117.34117647058824	1440.400463498295	NTRK1;RET;TP53
GO_Biological_Process_2021	chromatin organization (GO:0006325)	4/142	6.898142197146348e-06	0.0006249716830614591	0	0	41.08488612836439	488.26340429215367	SETD2;ATRX;ARID1A;SMARCA4
KEGG_2021_Human	Hepatocellular carcinoma	4/168	1.3407853734130344e-05	0.0005296102224981486	0	0	34.52613240418118	387.3718092973583	KEAP1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	cellular response to peptide (GO:1901653)	3/57	1.7372707591100336e-05	0.001311639423128	0	0	73.80740740740741	808.9742160011882	NTRK1;GRIN2A;TP53
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	3.226436358007585e-05	0.0008496282409419974	0	0	59.44776119402985	614.7818301978358	NTRK1;RET;TP53
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	3/88	6.402806649405614e-05	0.0039233626544349	0	0	46.8164705882353	452.0686898000704	NTRK1;RET;EPHA3
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	5/511	6.943791346723677e-05	0.0039233626544349	0	0	14.8038917604135	141.7484114413767	RET;ARID1A;GLI1;TP53;SMARCA4
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	3/94	7.794760240599194e-05	0.0039233626544349	0	0	43.71648351648352	413.5349270002346	NTRK1;RET;EPHA3
KEGG_2021_Human	Pathways in cancer	5/531	8.327500769945268e-05	0.0016446814020641	0	0	14.226381983035976	133.6335570753376	NTRK1;RET;KEAP1;GLI1;TP53
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	3/103	0.00010232080283081646	0.0043809457825075	0	0	39.764	365.3276763551449	ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	chromatin disassembly (GO:0031498)	2/18	0.0001160515439074858	0.0043809457825075	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	nucleosome disassembly (GO:0006337)	2/18	0.0001160515439074858	0.0043809457825075	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	3/114	0.00013826704047066986	0.0046582292174696	0	0	35.803603603603605	318.1624100587182	NTRK1;RET;EPHA3
