Cluster_ID	Gene
0	ARAF
0	DDR2
0	BTK
0	MED12
0	RECQL4
0	ATRX
0	FLT4
0	RUNX1
0	APC
0	ETV6
0	TET2
0	AMER1
0	ANKRD11
0	EPHB1
0	PRDM14
0	NRAS
0	KMT2C
1	DIS3
1	FGF19
1	RASA1
1	INPPL1
1	AXL
1	MET
1	SLX4
1	PTPRD
1	BRD4
1	TNFAIP3
1	NF1
1	MLL3
1	FGFR3
1	ESR1
1	FH
1	ASXL2
1	PTPRT
1	NEGR1
1	PDGFRB
1	AXIN1
1	KDM6A
1	FAM175A
1	ERCC3
1	ATR
1	MYCN
1	B2M
1	CYLD
1	TET1
1	TP53
1	NSD1
1	NUF2
1	NCOR1
1	RB1
1	NCOA3
1	MLL
1	XRCC2
1	AXIN2
1	SOX9
1	BABAM1
1	MAP2K4
1	MAP3K1
1	CSDE1
1	DNMT3A
1	MLL2
1	PARK2
1	IDH1
1	CCND2
1	XPO1
1	CUL3
1	FGFR4
2	PGR
2	MST1R
2	SMAD4
2	IRS2
2	EPAS1
2	NOTCH4
2	PRKD1
2	CARD11
2	FGF3
2	CSF1R
2	MTOR
2	FBXW7
2	PIK3C2G
3	MDC1
3	FUBP1
3	KMT2A
3	SF3B1
3	ERCC2
3	YAP1
3	NKX3-1
3	BLM
3	GSK3B
3	EPHA3
3	BRCA2
3	KDM5A
3	ERRFI1
3	BRCA1
3	FOXA1
3	KIT
3	POT1
3	RPTOR
3	PAK7
3	HGF
3	ERCC5
3	INPP4B
3	TSHR
3	WT1
3	NTRK3
3	PIK3CG
3	EPHA7
3	FLT1
3	EZH1
3	NOTCH2
3	NTRK2
3	IRS1
3	IKZF1
3	PTPRS
3	ATM
4	PDGFRA
4	PTEN
4	PIK3R1
4	MSH3
4	FAT1
4	HIST1H1C
4	PDCD1
4	NF2
4	MSH6
4	DNMT3B
4	TP63
4	ARID1A
4	SH2B3
4	INHBA
4	EIF1AX
4	TEK
4	MGA
4	CTNNB1
4	TBX3
4	FLT3
4	EGFR
4	SDHB
4	PPM1D
4	AR
4	TERT
4	NFE2L2
4	SMO
4	FOXO1
4	TCF3
4	IGF2
4	GATA3
4	POLE
4	CBL
4	ASXL1
4	KMT2B
4	BARD1
4	BRAF
4	PLCG2
4	JAK2
4	SOX17
4	PMS1
4	TGFBR1
4	MALT1
4	MLH1
4	GLI1
4	DROSHA
4	PREX2
4	U2AF1
4	NBN
4	PALB2
4	BCOR
5	KLF4
5	MRE11A
5	MSH2
5	NTRK1
5	POLD1
5	RICTOR
5	ARID5B
5	PRDM1
5	KDR
5	CDKN2A
5	BAP1
5	NOTCH3
5	FOXP1
5	PBRM1
5	DOT1L
6	KMT2D
6	PPP2R1A
6	ZFHX3
6	FANCA
6	ARID1B
6	FLCN
6	DNMT1
6	ERBB4
6	REL
6	ETV1
6	SETD2
6	PLK2
6	IL10
6	RET
6	TGFBR2
6	PIK3CA
6	PIM1
6	LATS1
7	PIK3R2
7	CREBBP
7	STAG2
7	DICER1
7	CD79B
7	CHEK2
7	FGFR2
7	SCG5
7	SPRED1
7	LATS2
7	RBM10
7	MEN1
7	XIAP
7	ERBB3
7	SMARCA4
7	HNF1A
7	GATA1
7	KEAP1
7	UPF1
7	CXCR4
7	PTCH1
7	DAXX
7	STK11
8	ALK
8	SMYD3
8	IL7R
8	GRIN2A
8	PIK3C3
8	ARID2
8	CDK12
8	TSC1
8	NOTCH1
8	PARP1
8	EPHA5
8	JAK3
8	ROS1
8	EP300
8	TSC2
8	RAD50
8	PAK1
8	CTCF
8	FGF4
8	PHOX2B
8	BRIP1
8	KDM5C
8	HLA-A
8	BCL6
8	SPEN
8	CIC
