Metodo	Cluster_ID	Gene
Girvan-Newman	0	PDCD1
Girvan-Newman	0	DNMT3A
Girvan-Newman	0	XPO1
Girvan-Newman	0	MLL2
Girvan-Newman	0	TP53
Girvan-Newman	0	ETV1
Girvan-Newman	0	NOTCH3
Girvan-Newman	0	TSC2
Girvan-Newman	0	RPTOR
Girvan-Newman	0	PTEN
Girvan-Newman	0	REL
Girvan-Newman	0	SMAD4
Girvan-Newman	0	PTPRD
Girvan-Newman	0	NTRK2
Girvan-Newman	0	CYLD
Girvan-Newman	0	FLCN
Girvan-Newman	0	ARID2
Girvan-Newman	0	AXL
Girvan-Newman	0	CREBBP
Girvan-Newman	0	PDGFRA
Girvan-Newman	0	NEGR1
Girvan-Newman	0	DOT1L
Girvan-Newman	0	TERT
Girvan-Newman	0	CHEK2
Girvan-Newman	0	CSF1R
Girvan-Newman	0	RB1
Girvan-Newman	0	FGF3
Girvan-Newman	0	ZFHX3
Girvan-Newman	0	SPEN
Girvan-Newman	0	NKX3-1
Girvan-Newman	0	TEK
Girvan-Newman	0	IRS2
Girvan-Newman	0	PLK2
Girvan-Newman	0	ARID1A
Girvan-Newman	0	CDK12
Girvan-Newman	0	INHBA
Girvan-Newman	0	MGA
Girvan-Newman	0	TNFAIP3
Girvan-Newman	0	RAD50
Girvan-Newman	0	CDKN2A
Girvan-Newman	0	TBX3
Girvan-Newman	0	ERCC2
Girvan-Newman	0	RET
Girvan-Newman	0	LATS2
Girvan-Newman	0	FOXA1
Girvan-Newman	0	IDH1
Girvan-Newman	0	EPHA3
Girvan-Newman	0	B2M
Girvan-Newman	0	KIT
Girvan-Newman	0	NOTCH1
Girvan-Newman	0	PTPRT
Girvan-Newman	0	AXIN1
Girvan-Newman	0	PARK2
Girvan-Newman	0	BABAM1
Girvan-Newman	0	APC
Girvan-Newman	0	INPPL1
Girvan-Newman	0	CUL3
Girvan-Newman	0	PMS1
Girvan-Newman	0	IRS1
Girvan-Newman	0	JAK3
Girvan-Newman	0	PARP1
Girvan-Newman	0	NTRK1
Girvan-Newman	0	IL10
Girvan-Newman	0	TET1
Girvan-Newman	0	BCL6
Girvan-Newman	0	MYCN
Girvan-Newman	0	FOXP1
Girvan-Newman	0	BLM
Girvan-Newman	0	ERCC5
Girvan-Newman	0	PGR
Girvan-Newman	0	EZH1
Girvan-Newman	0	TGFBR1
Girvan-Newman	0	BRAF
Girvan-Newman	0	AXIN2
Girvan-Newman	0	PIM1
Girvan-Newman	0	BRD4
Girvan-Newman	0	DROSHA
Girvan-Newman	0	ANKRD11
Girvan-Newman	0	FGFR3
Girvan-Newman	0	SETD2
Girvan-Newman	0	MALT1
Girvan-Newman	0	TCF3
Girvan-Newman	0	MST1R
Girvan-Newman	0	SOX9
Girvan-Newman	0	FANCA
Girvan-Newman	0	FGF4
Girvan-Newman	0	ERCC3
Girvan-Newman	0	GATA3
Girvan-Newman	0	EP300
Girvan-Newman	0	ARAF
Girvan-Newman	0	TSC1
Girvan-Newman	0	FGF19
Girvan-Newman	0	ATRX
Girvan-Newman	0	PIK3CA
Girvan-Newman	0	CBL
Girvan-Newman	0	RICTOR
Girvan-Newman	0	ROS1
Girvan-Newman	0	XRCC2
Girvan-Newman	0	CARD11
Girvan-Newman	0	POLE
Girvan-Newman	0	KMT2B
Girvan-Newman	0	KMT2A
Girvan-Newman	0	BRCA2
Girvan-Newman	0	NOTCH2
Girvan-Newman	0	SF3B1
Girvan-Newman	0	SLX4
Girvan-Newman	0	BARD1
Girvan-Newman	0	ATR
Girvan-Newman	0	FBXW7
Girvan-Newman	0	MED12
Girvan-Newman	0	HLA-A
Girvan-Newman	0	GRIN2A
Girvan-Newman	0	FGFR4
Girvan-Newman	0	MRE11A
Girvan-Newman	0	PIK3C2G
Girvan-Newman	0	FH
Girvan-Newman	0	CTNNB1
Girvan-Newman	0	EPAS1
Girvan-Newman	0	BRIP1
Girvan-Newman	0	MLL
Girvan-Newman	0	DIS3
Girvan-Newman	0	PRDM1
Girvan-Newman	0	MAP3K1
Girvan-Newman	0	PRKD1
Girvan-Newman	0	ESR1
Girvan-Newman	0	CSDE1
Girvan-Newman	0	PREX2
Girvan-Newman	0	ASXL2
Girvan-Newman	0	GLI1
Girvan-Newman	0	FLT1
Girvan-Newman	0	STAG2
Girvan-Newman	0	PDGFRB
Girvan-Newman	0	FLT3
Girvan-Newman	0	KMT2C
Girvan-Newman	0	MTOR
Girvan-Newman	0	EPHB1
Girvan-Newman	0	DNMT1
Girvan-Newman	0	FLT4
Girvan-Newman	0	NCOR1
Girvan-Newman	0	PAK7
Girvan-Newman	0	EPHA5
Girvan-Newman	0	NOTCH4
Girvan-Newman	0	KDR
Girvan-Newman	0	AR
Girvan-Newman	0	BRCA1
Girvan-Newman	0	NF1
Girvan-Newman	0	ASXL1
Girvan-Newman	0	CIC
Girvan-Newman	0	DDR2
Girvan-Newman	0	PAK1
Girvan-Newman	0	FAM175A
Girvan-Newman	0	PTCH1
Girvan-Newman	0	JAK2
Girvan-Newman	0	ERBB4
Girvan-Newman	0	MSH2
Girvan-Newman	0	PBRM1
Girvan-Newman	0	POLD1
Girvan-Newman	0	LATS1
Girvan-Newman	0	MET
Girvan-Newman	0	KMT2D
Girvan-Newman	0	TGFBR2
Girvan-Newman	0	GSK3B
Girvan-Newman	0	PIK3CG
Girvan-Newman	0	ALK
Girvan-Newman	0	TSHR
Girvan-Newman	0	NUF2
Girvan-Newman	0	EIF1AX
Girvan-Newman	0	SMO
Girvan-Newman	0	NCOA3
Girvan-Newman	0	YAP1
Girvan-Newman	0	ARID1B
Girvan-Newman	0	MDC1
Girvan-Newman	0	MAP2K4
Girvan-Newman	0	ETV6
Girvan-Newman	0	NTRK3
Girvan-Newman	0	HGF
Girvan-Newman	0	DNMT3B
Girvan-Newman	0	TP63
Girvan-Newman	0	KDM6A
Girvan-Newman	0	PTPRS
Girvan-Newman	0	IKZF1
Girvan-Newman	0	BAP1
Girvan-Newman	0	TET2
Girvan-Newman	0	RASA1
Girvan-Newman	0	MLL3
Girvan-Newman	0	CCND2
Girvan-Newman	0	NSD1
Girvan-Newman	0	PPP2R1A
Girvan-Newman	0	KDM5C
Girvan-Newman	0	EPHA7
Girvan-Newman	0	INPP4B
Girvan-Newman	0	NRAS
Girvan-Newman	0	KDM5A
Girvan-Newman	0	PIK3C3
Girvan-Newman	0	ARID5B
Girvan-Newman	0	BTK
Girvan-Newman	0	AMER1
Girvan-Newman	0	SOX17
Girvan-Newman	0	PRDM14
Girvan-Newman	0	PHOX2B
Girvan-Newman	0	RECQL4
Girvan-Newman	1	PIK3R1
Girvan-Newman	1	IL7R
Girvan-Newman	1	MSH6
Girvan-Newman	2	PPM1D
Girvan-Newman	2	NF2
Girvan-Newman	3	RUNX1
Girvan-Newman	3	KLF4
Girvan-Newman	3	PLCG2
Girvan-Newman	3	IGF2
Girvan-Newman	3	FAT1
Girvan-Newman	3	NBN
Girvan-Newman	3	HIST1H1C
Girvan-Newman	3	MSH3
Girvan-Newman	3	FOXO1
Girvan-Newman	3	EGFR
Girvan-Newman	3	MLH1
Girvan-Newman	3	HNF1A
Girvan-Newman	3	SH2B3
Girvan-Newman	4	POT1
Girvan-Newman	4	WT1
Girvan-Newman	4	ATM
Girvan-Newman	4	ERRFI1
Girvan-Newman	4	FUBP1
Girvan-Newman	5	U2AF1
Girvan-Newman	5	SDHB
Girvan-Newman	5	BCOR
Girvan-Newman	6	SMARCA4
Girvan-Newman	6	FGFR2
Girvan-Newman	6	CD79B
Girvan-Newman	6	UPF1
Girvan-Newman	6	SPRED1
Girvan-Newman	6	CXCR4
Girvan-Newman	6	MEN1
Girvan-Newman	7	PIK3R2
Girvan-Newman	7	DICER1
Girvan-Newman	7	KEAP1
Girvan-Newman	7	SCG5
Girvan-Newman	8	XIAP
Girvan-Newman	8	RBM10
Girvan-Newman	8	DAXX
Girvan-Newman	8	GATA1
Girvan-Newman	9	CTCF
Girvan-Newman	9	SMYD3
Girvan-Newman	10	STK11
Girvan-Newman	10	ERBB3
Girvan-Newman	11	NFE2L2
Girvan-Newman	11	PALB2
