Metodo	Cluster_ID	Gene
Infomap	0	CDKN2A
Infomap	0	MLH1
Infomap	0	BRCA1
Infomap	0	NCOR1
Infomap	0	U2AF1
Infomap	0	PDGFRB
Infomap	0	PAK1
Infomap	0	RPTOR
Infomap	0	PTPRD
Infomap	0	INPP4B
Infomap	0	EPAS1
Infomap	0	PTPRS
Infomap	0	ATR
Infomap	0	NTRK3
Infomap	0	MAP3K1
Infomap	0	FGFR3
Infomap	0	SLX4
Infomap	0	PRKD1
Infomap	0	TET1
Infomap	0	ESR1
Infomap	0	IGF2
Infomap	0	EPHB1
Infomap	0	INHBA
Infomap	0	GLI1
Infomap	0	NOTCH2
Infomap	0	MLL2
Infomap	0	CCND2
Infomap	0	ERCC3
Infomap	0	FAT1
Infomap	0	RB1
Infomap	0	CDK12
Infomap	0	BLM
Infomap	0	PRDM1
Infomap	0	MST1R
Infomap	0	MYCN
Infomap	0	PDGFRA
Infomap	0	KMT2B
Infomap	0	BRIP1
Infomap	0	B2M
Infomap	0	BAP1
Infomap	0	IL10
Infomap	0	PARK2
Infomap	0	SOX17
Infomap	0	MDC1
Infomap	0	RET
Infomap	0	FLCN
Infomap	0	EPHA5
Infomap	0	HGF
Infomap	0	PTPRT
Infomap	0	BABAM1
Infomap	0	ALK
Infomap	0	BCOR
Infomap	0	EIF1AX
Infomap	0	NBN
Infomap	0	NRAS
Infomap	0	EPHA7
Infomap	0	SMAD4
Infomap	0	GATA3
Infomap	0	PLK2
Infomap	0	RASA1
Infomap	0	FOXO1
Infomap	0	CUL3
Infomap	0	PIK3C2G
Infomap	0	NUF2
Infomap	0	NF2
Infomap	0	NOTCH4
Infomap	0	PIK3CG
Infomap	0	AR
Infomap	0	KMT2D
Infomap	0	INPPL1
Infomap	0	FLT1
Infomap	0	FAM175A
Infomap	0	PPM1D
Infomap	0	NKX3-1
Infomap	0	GSK3B
Infomap	0	AXIN2
Infomap	0	EPHA3
Infomap	0	FOXA1
Infomap	0	XRCC2
Infomap	0	YAP1
Infomap	0	FGF19
Infomap	0	CBL
Infomap	0	BRD4
Infomap	0	POLE
Infomap	0	AMER1
Infomap	0	MAP2K4
Infomap	0	NF1
Infomap	0	PARP1
Infomap	0	ATRX
Infomap	0	TET2
Infomap	0	KLF4
Infomap	0	MET
Infomap	0	ERBB4
Infomap	0	TNFAIP3
Infomap	0	KMT2C
Infomap	0	CIC
Infomap	0	AXIN1
Infomap	0	FGF3
Infomap	0	SH2B3
Infomap	0	HIST1H1C
Infomap	0	ASXL1
Infomap	0	FLT4
Infomap	0	BCL6
Infomap	0	CSDE1
Infomap	0	TERT
Infomap	0	ANKRD11
Infomap	0	DNMT3A
Infomap	0	CYLD
Infomap	0	IRS1
Infomap	0	ETV1
Infomap	0	CTNNB1
Infomap	0	MED12
Infomap	0	ARID1A
Infomap	0	ETV6
Infomap	0	TGFBR1
Infomap	0	TP53
Infomap	0	KDM6A
Infomap	0	NEGR1
Infomap	0	FGFR4
Infomap	0	MTOR
Infomap	0	DIS3
Infomap	0	CSF1R
Infomap	0	FLT3
Infomap	0	MSH3
Infomap	0	RECQL4
Infomap	0	MSH2
Infomap	0	SOX9
Infomap	0	ARAF
Infomap	0	BTK
Infomap	0	JAK3
Infomap	0	PTEN
Infomap	0	SDHB
Infomap	0	MALT1
Infomap	0	XPO1
Infomap	0	IRS2
Infomap	0	RUNX1
Infomap	0	SF3B1
Infomap	0	NOTCH1
Infomap	0	PPP2R1A
Infomap	0	DROSHA
Infomap	0	TGFBR2
Infomap	0	NCOA3
Infomap	0	PGR
Infomap	0	IKZF1
Infomap	0	PAK7
Infomap	0	FH
Infomap	0	MGA
Infomap	0	NOTCH3
Infomap	0	NSD1
Infomap	0	PMS1
Infomap	0	KDR
Infomap	1	ERBB3
Infomap	1	TBX3
Infomap	1	HLA-A
Infomap	1	HNF1A
Infomap	1	CXCR4
Infomap	1	DOT1L
Infomap	1	MEN1
Infomap	1	AXL
Infomap	1	DICER1
Infomap	1	KEAP1
Infomap	1	CREBBP
Infomap	1	LATS2
Infomap	1	PIK3R2
Infomap	1	DDR2
Infomap	1	SMARCA4
Infomap	1	GRIN2A
Infomap	1	SCG5
Infomap	1	KIT
Infomap	1	BRCA2
Infomap	1	JAK2
Infomap	1	TSC1
Infomap	1	ARID5B
Infomap	1	CD79B
Infomap	1	FGF4
