Metodo	Cluster_ID	Gene
Leiden	0	AXIN2
Leiden	0	BRCA1
Leiden	0	NEGR1
Leiden	0	NUF2
Leiden	0	EPHB1
Leiden	0	PDGFRB
Leiden	0	RECQL4
Leiden	0	FLT4
Leiden	0	RB1
Leiden	0	INPP4B
Leiden	0	NF1
Leiden	0	PRKD1
Leiden	0	ERCC3
Leiden	0	ERBB4
Leiden	0	HGF
Leiden	0	PAK7
Leiden	0	KDM6A
Leiden	0	RASA1
Leiden	0	CCND2
Leiden	0	FGF19
Leiden	0	SF3B1
Leiden	0	FGFR3
Leiden	0	KMT2B
Leiden	0	CSDE1
Leiden	0	NOTCH2
Leiden	0	PTPRD
Leiden	0	FGF3
Leiden	0	MED12
Leiden	0	TNFAIP3
Leiden	0	MDC1
Leiden	0	NCOR1
Leiden	0	ESR1
Leiden	0	XPO1
Leiden	0	PGR
Leiden	0	FLT1
Leiden	0	EPAS1
Leiden	0	DNMT3A
Leiden	0	MLL2
Leiden	0	B2M
Leiden	0	PARK2
Leiden	0	TP53
Leiden	0	BABAM1
Leiden	0	DIS3
Leiden	0	SLX4
Leiden	0	MTOR
Leiden	0	NSD1
Leiden	0	INPPL1
Leiden	0	MAP2K4
Leiden	0	AMER1
Leiden	0	BRD4
Leiden	0	FAM175A
Leiden	0	KMT2C
Leiden	0	CYLD
Leiden	0	ATR
Leiden	1	KLF4
Leiden	1	SH2B3
Leiden	1	MSH3
Leiden	1	ASXL1
Leiden	1	GATA3
Leiden	1	FOXO1
Leiden	1	BCOR
Leiden	1	PMS1
Leiden	1	FAT1
Leiden	1	IGF2
Leiden	1	PTEN
Leiden	1	MLH1
Leiden	1	MGA
Leiden	1	PARP1
Leiden	1	NBN
Leiden	1	U2AF1
Leiden	1	POLE
Leiden	1	PPM1D
Leiden	1	MSH2
Leiden	1	SMO
Leiden	1	RUNX1
Leiden	1	BAP1
Leiden	1	AXIN1
Leiden	1	CTNNB1
Leiden	1	BARD1
Leiden	1	RPTOR
Leiden	1	DROSHA
Leiden	1	SOX17
Leiden	1	GLI1
Leiden	1	NOTCH3
Leiden	1	SDHB
Leiden	1	TERT
Leiden	1	HIST1H1C
Leiden	1	FLT3
Leiden	1	PLCG2
Leiden	1	NF2
Leiden	1	PRDM1
Leiden	2	TSC1
Leiden	2	ALK
Leiden	2	JAK3
Leiden	2	HLA-A
Leiden	2	BTK
Leiden	2	RAD50
Leiden	2	PIK3C3
Leiden	2	CDK12
Leiden	2	INHBA
Leiden	2	ROS1
Leiden	2	PAK1
Leiden	2	PHOX2B
Leiden	2	CTCF
Leiden	2	ARID2
Leiden	2	CIC
Leiden	2	TBX3
Leiden	2	SMYD3
Leiden	2	BCL6
Leiden	2	BRAF
Leiden	2	LATS2
Leiden	2	NOTCH1
Leiden	2	KDM5C
Leiden	2	EP300
Leiden	2	EPHA5
Leiden	2	EPHA7
Leiden	2	IL7R
Leiden	2	FGF4
Leiden	2	NKX3-1
Leiden	2	BRIP1
Leiden	2	ARAF
Leiden	2	SPEN
Leiden	2	DNMT3B
Leiden	2	GRIN2A
Leiden	3	AXL
Leiden	3	SPRED1
Leiden	3	UPF1
Leiden	3	EGFR
Leiden	3	DICER1
Leiden	3	CDKN2A
Leiden	3	BRCA2
Leiden	3	KEAP1
Leiden	3	CHEK2
Leiden	3	TSC2
Leiden	3	PIK3R2
Leiden	3	DDR2
Leiden	3	KDR
Leiden	3	SMARCA4
Leiden	3	STAG2
Leiden	3	FGFR2
Leiden	3	STK11
Leiden	3	POLD1
Leiden	3	SCG5
Leiden	3	HNF1A
Leiden	3	PRDM14
Leiden	3	JAK2
Leiden	3	CXCR4
Leiden	3	DOT1L
Leiden	3	MEN1
Leiden	3	APC
Leiden	3	PTCH1
Leiden	3	ERBB3
Leiden	3	CD79B
Leiden	3	CREBBP
