Metodo	Cluster_ID	Gene
Louvain	0	MYCN
Louvain	0	PTPRT
Louvain	0	ETV1
Louvain	0	FH
Louvain	0	CTCF
Louvain	0	BTK
Louvain	0	PHOX2B
Louvain	0	FLT3
Louvain	0	EPHA5
Louvain	0	PRDM1
Louvain	0	INHBA
Louvain	0	ROS1
Louvain	0	JAK3
Louvain	0	ARID2
Louvain	0	PLCG2
Louvain	0	MLH1
Louvain	0	IL7R
Louvain	0	MAP3K1
Louvain	0	TGFBR1
Louvain	0	FOXA1
Louvain	0	TEK
Louvain	0	MLL3
Louvain	0	BARD1
Louvain	0	GATA3
Louvain	0	SMO
Louvain	0	KDM5C
Louvain	0	EP300
Louvain	0	HLA-A
Louvain	0	FAT1
Louvain	0	TSHR
Louvain	0	FGFR4
Louvain	0	SOX9
Louvain	0	SH2B3
Louvain	0	PREX2
Louvain	0	RUNX1
Louvain	0	NBN
Louvain	0	RPTOR
Louvain	0	MSH3
Louvain	0	ALK
Louvain	0	CBL
Louvain	0	NTRK2
Louvain	0	BRIP1
Louvain	0	BCL6
Louvain	0	IGF2
Louvain	0	ERCC2
Louvain	0	FGF4
Louvain	0	TSC1
Louvain	0	RAD50
Louvain	0	MET
Louvain	0	DROSHA
Louvain	0	XRCC2
Louvain	0	EIF1AX
Louvain	0	PDGFRA
Louvain	0	GRIN2A
Louvain	0	ARAF
Louvain	0	SPEN
Louvain	0	SMYD3
Louvain	0	HIST1H1C
Louvain	0	CDK12
Louvain	1	B2M
Louvain	1	MAP2K4
Louvain	1	CSDE1
Louvain	1	TNFAIP3
Louvain	1	AR
Louvain	1	PRKD1
Louvain	1	NKX3-1
Louvain	1	BRCA1
Louvain	1	AXIN2
Louvain	1	MDC1
Louvain	1	MED12
Louvain	1	SF3B1
Louvain	1	RB1
Louvain	1	ERCC3
Louvain	1	RECQL4
Louvain	1	FGFR3
Louvain	1	TGFBR2
Louvain	1	NUF2
Louvain	1	YAP1
Louvain	1	PDGFRB
Louvain	1	CYLD
Louvain	1	INPPL1
Louvain	1	ESR1
Louvain	1	FLT4
Louvain	1	IRS1
Louvain	1	CCND2
Louvain	1	IKZF1
Louvain	1	BABAM1
Louvain	1	FGF3
Louvain	1	AMER1
Louvain	1	NCOR1
Louvain	1	PAK7
Louvain	1	BRD4
Louvain	1	TP53
Louvain	1	NF1
Louvain	1	ANKRD11
Louvain	1	ERCC5
Louvain	1	KMT2C
Louvain	1	HGF
Louvain	1	KMT2B
Louvain	1	MLL2
Louvain	1	FLT1
Louvain	1	FAM175A
Louvain	1	SLX4
Louvain	1	ATR
Louvain	1	DIS3
Louvain	1	PARK2
Louvain	1	EPHB1
Louvain	1	NSD1
Louvain	1	PTPRD
Louvain	1	INPP4B
Louvain	1	XPO1
Louvain	1	EPHA7
Louvain	1	NOTCH2
Louvain	1	FGF19
Louvain	1	BLM
Louvain	1	KDM6A
Louvain	1	EPAS1
Louvain	1	ERBB4
Louvain	1	EPHA3
Louvain	1	NEGR1
Louvain	1	MTOR
Louvain	1	PGR
Louvain	1	DNMT3A
Louvain	2	STK11
Louvain	2	SPRED1
Louvain	2	FGFR2
Louvain	2	DDR2
Louvain	2	KEAP1
Louvain	2	APC
Louvain	2	PIK3R2
Louvain	2	ERBB3
Louvain	2	DICER1
Louvain	2	PTCH1
Louvain	2	CD79B
Louvain	2	ARID5B
Louvain	2	EGFR
Louvain	2	POLD1
Louvain	2	STAG2
Louvain	2	LATS2
Louvain	2	SMARCA4
Louvain	2	HNF1A
Louvain	2	MEN1
Louvain	2	TSC2
Louvain	2	AXL
Louvain	2	UPF1
Louvain	2	GATA1
Louvain	2	CREBBP
Louvain	2	KIT
Louvain	2	DOT1L
Louvain	2	JAK2
Louvain	2	CXCR4
Louvain	2	BRCA2
Louvain	2	PRDM14
Louvain	2	SCG5
Louvain	2	TBX3
Louvain	3	CDKN2A
Louvain	3	ATM
Louvain	3	MSH6
Louvain	3	ERRFI1
Louvain	3	FOXO1
Louvain	3	REL
Louvain	3	PMS1
Louvain	3	BAP1
Louvain	3	PIK3CG
Louvain	3	DNMT3B
Louvain	3	NF2
Louvain	3	POLE
Louvain	3	FANCA
Louvain	3	MALT1
Louvain	3	NTRK3
Louvain	3	LATS1
Louvain	3	ARID1B
