Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Breast cancer	11/147	1.689849233140391e-13	2.230600987745316e-11	RB1;NOTCH2;FLT4;FGF19;PGR;BRCA1;AXIN2;TP53;ESR1;FGF3;MTOR
0	KEGG_2021_Human	MAPK signaling pathway	12/294	1.6094698309880954e-11	1.062250088452143e-09	PDGFRB;MAP2K4;FLT1;ERBB4;FLT4;HGF;RASA1;FGF19;NF1;TP53;FGFR3;FGF3
0	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	11/253	6.325411491768111e-11	6.62903124337298e-08	PDGFRB;FLT1;CCND2;ERBB4;FLT4;HGF;FGF19;AXIN2;EPHB1;FGFR3;FGF3
0	KEGG_2021_Human	Pathways in cancer	14/531	8.932453079187127e-11	3.930279354842336e-09	RB1;PDGFRB;NOTCH2;EPAS1;FLT4;HGF;AXIN2;ESR1;FGF3;MTOR;CCND2;FGF19;TP53;FGFR3
0	KEGG_2021_Human	PI3K-Akt signaling pathway	12/354	1.3815529493978846e-10	4.5591247330130195e-09	PDGFRB;FLT1;CCND2;ERBB4;FLT4;HGF;FGF19;BRCA1;TP53;FGFR3;FGF3;MTOR
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	13/451	1.5692207752570948e-10	6.761046810570767e-08	RB1;PDGFRB;AMER1;HGF;ESR1;FGF3;MTOR;NCOR1;ERBB4;FGF19;NF1;TP53;FGFR3
0	Reactome_Pathways_2024	Disease	24/2131	2.343517092052259e-10	6.761046810570767e-08	RB1;PDGFRB;AMER1;NOTCH2;MAP2K4;HGF;DNMT3A;BRCA1;ESR1;FGF3;MTOR;MED12;CCND2;XPO1;NCOR1;ERCC3;ERBB4;FGF19;NF1;B2M;TP53;FGFR3;BRD4;ATR
0	GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	9/159	3.9559132389489403e-10	2.0728985372092445e-07	PDGFRB;FLT1;ERBB4;FLT4;PRKD1;EPHB1;FGFR3;MTOR;ATR
0	Reactome_Pathways_2024	PI3K AKT Signaling in Cancer	8/110	5.453958547779573e-10	1.0489780273562712e-07	PDGFRB;ERBB4;HGF;FGF19;ESR1;FGFR3;FGF3;MTOR
0	Reactome_Pathways_2024	Signaling by Receptor Tyrosine Kinases	13/536	1.2913437410421267e-09	1.862763346453268e-07	PDGFRB;FLT1;FLT4;HGF;ESR1;FGF3;MTOR;NCOR1;ERBB4;RASA1;FGF19;PGR;FGFR3
0	Reactome_Pathways_2024	Constitutive Signaling by Aberrant PI3K in Cancer	7/83	2.4778277028457797e-09	2.85941316908403e-07	PDGFRB;ERBB4;HGF;FGF19;ESR1;FGFR3;FGF3
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	7/94	5.971842234492621e-09	2.086163553916089e-06	RB1;PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	11/404	8.756934203103983e-09	2.2943167612132434e-06	PDGFRB;FLT1;ERBB4;FLT4;HGF;RASA1;FGF19;PRKD1;EPHB1;FGFR3;FGF3
0	KEGG_2021_Human	Ras signaling pathway	9/232	1.1000441851247276e-08	2.904116648729281e-07	PDGFRB;FLT1;FLT4;HGF;RASA1;FGF19;NF1;FGFR3;FGF3
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	6/60	1.3022719376177498e-08	9.311244353966912e-07	PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	6/60	1.3022719376177498e-08	9.311244353966912e-07	PDGFRB;FLT1;ERBB4;FLT4;EPHB1;FGFR3
