Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	6	592	0	0	1.0		1.0
KRAS	PMS2	6	592	0	0	1.0		1.0
KRAS	PMS1	9	589	0	0	1.0		1.0
KRAS	PMAIP1	1	597	0	0	1.0		1.0
KRAS	PLK2	5	593	0	0	1.0		1.0
KRAS	PLCG2	13	585	0	0	1.0		1.0
KRAS	PIM1	5	593	0	0	1.0		1.0
KRAS	PIK3R2	5	593	0	0	1.0		1.0
KRAS	PIK3R1	9	589	0	0	1.0		1.0
KRAS	PIK3CG	36	562	0	0	1.0		1.0
KRAS	PIK3CD	6	592	0	0	1.0		1.0
KRAS	PIK3CB	5	593	0	0	1.0		1.0
KRAS	PIK3CA	31	567	0	0	1.0		1.0
KRAS	PIK3C3	12	586	0	0	1.0		1.0
KRAS	PIK3C2G	23	575	0	0	1.0		1.0
KRAS	PHOX2B	6	592	0	0	1.0		1.0
KRAS	PGR	15	583	0	0	1.0		1.0
KRAS	PDPK1	1	597	0	0	1.0		1.0
KRAS	PDGFRB	15	583	0	0	1.0		1.0
KRAS	PDGFRA	30	568	0	0	1.0		1.0
KRAS	PDCD1LG2	2	596	0	0	1.0		1.0
KRAS	PDCD1	12	586	0	0	1.0		1.0
KRAS	PBRM1	22	576	0	0	1.0		1.0
KRAS	PAX5	6	592	0	0	1.0		1.0
KRAS	PARP1	11	587	0	0	1.0		1.0
KRAS	PARK2	13	585	0	0	1.0		1.0
KRAS	PNRC1	3	595	0	0	1.0		1.0
KRAS	POLD1	14	584	0	0	1.0		1.0
KRAS	POLE	31	567	0	0	1.0		1.0
KRAS	POT1	4	594	0	0	1.0		1.0
KRAS	RAD51D	1	597	0	0	1.0		1.0
KRAS	RAD51C	3	595	0	0	1.0		1.0
KRAS	RAD51B	2	596	0	0	1.0		1.0
KRAS	RAD51	1	597	0	0	1.0		1.0
KRAS	RAD50	8	590	0	0	1.0		1.0
KRAS	RAD21	5	593	0	0	1.0		1.0
KRAS	RAC2	2	596	0	0	1.0		1.0
KRAS	RAC1	3	595	0	0	1.0		1.0
KRAS	PTPRT	52	546	0	0	1.0		1.0
KRAS	PTPRS	11	587	0	0	1.0		1.0
KRAS	PTPRD	63	535	0	0	1.0		1.0
KRAS	PTPN11	6	592	0	0	1.0		1.0
KRAS	PALB2	14	584	0	0	1.0		1.0
KRAS	PTP4A1	2	596	0	0	1.0		1.0
KRAS	PTCH1	8	590	0	0	1.0		1.0
KRAS	PRKD1	12	586	0	0	1.0		1.0
KRAS	PRKCI	2	596	0	0	1.0		1.0
KRAS	PRKAR1A	1	597	0	0	1.0		1.0
KRAS	PREX2	31	567	0	0	1.0		1.0
KRAS	PRDM14	15	583	0	0	1.0		1.0
KRAS	PRDM1	8	590	0	0	1.0		1.0
KRAS	PPP6C	3	595	0	0	1.0		1.0
KRAS	PPP4R2	3	595	0	0	1.0		1.0
KRAS	PPP2R1A	12	586	0	0	1.0		1.0
KRAS	PPM1D	9	589	0	0	1.0		1.0
KRAS	PPARG	5	593	0	0	1.0		1.0
KRAS	PTEN	12	586	0	0	1.0		1.0
KRAS	RAD52	2	596	0	0	1.0		1.0
KRAS	PAK7	24	574	0	0	1.0		1.0
KRAS	NUP93	3	595	0	0	1.0		1.0
KRAS	MST1	2	596	0	0	1.0		1.0
KRAS	MSI1	4	594	0	0	1.0		1.0
KRAS	MSH6	11	587	0	0	1.0		1.0
KRAS	MSH3	8	590	0	0	1.0		1.0
KRAS	MSH2	8	590	0	0	1.0		1.0
KRAS	MRE11A	11	587	0	0	1.0		1.0
KRAS	MPL	6	592	0	0	1.0		1.0
KRAS	MLLT1	1	597	0	0	1.0		1.0
KRAS	MLL4	2	596	0	0	1.0		1.0
KRAS	MLL3	6	592	0	0	1.0		1.0
KRAS	MLL2	10	588	0	0	1.0		1.0
KRAS	MLL	4	594	0	0	1.0		1.0
KRAS	MLH1	4	594	0	0	1.0		1.0
KRAS	MITF	3	595	0	0	1.0		1.0
KRAS	MGA	40	558	0	0	1.0		1.0
KRAS	MET	17	581	0	0	1.0		1.0
KRAS	MEN1	6	592	0	0	1.0		1.0
KRAS	MEF2B	1	597	0	0	1.0		1.0
KRAS	MED12	26	572	0	0	1.0		1.0
KRAS	MDM4	6	592	0	0	1.0		1.0
KRAS	MDM2	1	597	0	0	1.0		1.0
KRAS	MDC1	21	577	0	0	1.0		1.0
KRAS	MCL1	6	592	0	0	1.0		1.0
KRAS	MAX	12	586	0	0	1.0		1.0
KRAS	MAPKAP1	5	593	0	0	1.0		1.0
KRAS	MST1R	8	590	0	0	1.0		1.0
KRAS	MTOR	20	578	0	0	1.0		1.0
KRAS	MUTYH	3	595	0	0	1.0		1.0
KRAS	MYCL	2	596	0	0	1.0		1.0
KRAS	NUF2	8	590	0	0	1.0		1.0
KRAS	NTRK3	39	559	0	0	1.0		1.0
KRAS	NTRK2	13	585	0	0	1.0		1.0
KRAS	NTRK1	20	578	0	0	1.0		1.0
KRAS	NTHL1	1	597	0	0	1.0		1.0
KRAS	NSD1	14	584	0	0	1.0		1.0
KRAS	NRAS	5	593	0	0	1.0		1.0
KRAS	NPM1	2	596	0	0	1.0		1.0
KRAS	NOTCH4	23	575	0	0	1.0		1.0
KRAS	NOTCH3	29	569	0	0	1.0		1.0
KRAS	NOTCH2	19	579	0	0	1.0		1.0
KRAS	NOTCH1	21	577	0	0	1.0		1.0
KRAS	PAK1	8	590	0	0	1.0		1.0
KRAS	NKX3-1	4	594	0	0	1.0		1.0
KRAS	NFKBIA	2	596	0	0	1.0		1.0
KRAS	NFE2L2	20	578	0	0	1.0		1.0
KRAS	NF2	12	586	0	0	1.0		1.0
KRAS	NF1	38	560	0	0	1.0		1.0
KRAS	NEGR1	10	588	0	0	1.0		1.0
KRAS	NCOR1	13	585	0	0	1.0		1.0
KRAS	NCOA3	6	592	0	0	1.0		1.0
KRAS	NBN	10	588	0	0	1.0		1.0
KRAS	NADK	2	596	0	0	1.0		1.0
KRAS	MYOD1	7	591	0	0	1.0		1.0
KRAS	MYD88	2	596	0	0	1.0		1.0
KRAS	MYCN	8	590	0	0	1.0		1.0
KRAS	NKX2-1	16	582	0	0	1.0		1.0
KRAS	MAPK3	1	597	0	0	1.0		1.0
KRAS	RAD54L	5	593	0	0	1.0		1.0
KRAS	RARA	4	594	0	0	1.0		1.0
KRAS	TGFBR1	10	588	0	0	1.0		1.0
KRAS	TET2	14	584	0	0	1.0		1.0
KRAS	TET1	14	584	0	0	1.0		1.0
KRAS	TERT	16	582	0	0	1.0		1.0
KRAS	TEK	7	591	0	0	1.0		1.0
KRAS	TCF7L2	4	594	0	0	1.0		1.0
KRAS	TCF3	10	588	0	0	1.0		1.0
KRAS	TBX3	32	566	0	0	1.0		1.0
KRAS	TAP2	1	597	0	0	1.0		1.0
KRAS	TAP1	4	594	0	0	1.0		1.0
KRAS	SYK	3	595	0	0	1.0		1.0
KRAS	SUZ12	2	596	0	0	1.0		1.0
KRAS	SUFU	5	593	0	0	1.0		1.0
KRAS	STK40	3	595	0	0	1.0		1.0
KRAS	STK19	1	597	0	0	1.0		1.0
KRAS	STK11	162	436	0	0	1.0		1.0
KRAS	STAT5B	3	595	0	0	1.0		1.0
KRAS	STAT5A	5	593	0	0	1.0		1.0
KRAS	STAT3	3	595	0	0	1.0		1.0
KRAS	STAG2	20	578	0	0	1.0		1.0
KRAS	SRSF2	3	595	0	0	1.0		1.0
KRAS	SRC	1	597	0	0	1.0		1.0
KRAS	SPRTN	1	597	0	0	1.0		1.0
KRAS	SPRED1	5	593	0	0	1.0		1.0
KRAS	SPOP	3	595	0	0	1.0		1.0
KRAS	TGFBR2	18	580	0	0	1.0		1.0
KRAS	TMEM127	1	597	0	0	1.0		1.0
KRAS	TMPRSS2	5	593	0	0	1.0		1.0
KRAS	TNFAIP3	7	591	0	0	1.0		1.0
KRAS	ZFHX3	30	568	0	0	1.0		1.0
KRAS	YES1	3	595	0	0	1.0		1.0
KRAS	YAP1	5	593	0	0	1.0		1.0
KRAS	XRCC2	4	594	0	0	1.0		1.0
KRAS	XPO1	9	589	0	0	1.0		1.0
KRAS	XIAP	6	592	0	0	1.0		1.0
KRAS	WWTR1	3	595	0	0	1.0		1.0
KRAS	WT1	14	584	0	0	1.0		1.0
KRAS	WHSC1L1	6	592	0	0	1.0		1.0
KRAS	WHSC1	8	590	0	0	1.0		1.0
KRAS	VTCN1	2	596	0	0	1.0		1.0
KRAS	VHL	3	595	0	0	1.0		1.0
KRAS	SPEN	12	586	0	0	1.0		1.0
KRAS	VEGFA	2	596	0	0	1.0		1.0
KRAS	U2AF1	20	578	0	0	1.0		1.0
KRAS	TSHR	15	583	0	0	1.0		1.0
KRAS	TSC2	14	584	0	0	1.0		1.0
KRAS	TSC1	11	587	0	0	1.0		1.0
KRAS	TRIP13	2	596	0	0	1.0		1.0
KRAS	TRAF7	10	588	0	0	1.0		1.0
KRAS	TRAF2	2	596	0	0	1.0		1.0
KRAS	TP63	16	582	0	0	1.0		1.0
KRAS	TP53BP1	9	589	0	0	1.0		1.0
KRAS	TP53	267	331	0	0	1.0		1.0
KRAS	TOP1	2	596	0	0	1.0		1.0
KRAS	TNFRSF14	3	595	0	0	1.0		1.0
KRAS	UPF1	5	593	0	0	1.0		1.0
KRAS	RAF1	2	596	0	0	1.0		1.0
KRAS	SOX9	10	588	0	0	1.0		1.0
KRAS	SOX17	20	578	0	0	1.0		1.0
KRAS	RYBP	1	597	0	0	1.0		1.0
KRAS	RXRA	4	594	0	0	1.0		1.0
KRAS	RUNX1	5	593	0	0	1.0		1.0
KRAS	RTEL1-TNFRSF6B	3	595	0	0	1.0		1.0
KRAS	RTEL1	3	595	0	0	1.0		1.0
KRAS	RRAS2	1	597	0	0	1.0		1.0
KRAS	RRAGC	1	597	0	0	1.0		1.0
KRAS	RPTOR	14	584	0	0	1.0		1.0
KRAS	RPS6KB2	2	596	0	0	1.0		1.0
KRAS	RPS6KA4	3	595	0	0	1.0		1.0
KRAS	ROS1	17	581	0	0	1.0		1.0
KRAS	RNF43	5	593	0	0	1.0		1.0
KRAS	RIT1	1	597	0	0	1.0		1.0
KRAS	RICTOR	14	584	0	0	1.0		1.0
KRAS	RHOA	1	597	0	0	1.0		1.0
KRAS	RHEB	1	597	0	0	1.0		1.0
KRAS	RFWD2	5	593	0	0	1.0		1.0
KRAS	RET	23	575	0	0	1.0		1.0
KRAS	REST	1	597	0	0	1.0		1.0
KRAS	REL	7	591	0	0	1.0		1.0
KRAS	RECQL4	12	586	0	0	1.0		1.0
KRAS	RECQL	1	597	0	0	1.0		1.0
KRAS	RBM10	83	515	0	0	1.0		1.0
KRAS	RB1	18	580	0	0	1.0		1.0
KRAS	RASA1	11	587	0	0	1.0		1.0
KRAS	SCG5	3	595	0	0	1.0		1.0
KRAS	SDHA	6	592	0	0	1.0		1.0
KRAS	SDHAF2	3	595	0	0	1.0		1.0
KRAS	SDHB	5	593	0	0	1.0		1.0
KRAS	SOCS1	3	595	0	0	1.0		1.0
KRAS	SMYD3	5	593	0	0	1.0		1.0
KRAS	SMO	16	582	0	0	1.0		1.0
KRAS	SMARCD1	3	595	0	0	1.0		1.0
KRAS	SMARCB1	3	595	0	0	1.0		1.0
KRAS	SMARCA4	79	519	0	0	1.0		1.0
KRAS	SMARCA2	3	595	0	0	1.0		1.0
KRAS	SMAD4	18	580	0	0	1.0		1.0
KRAS	SMAD3	7	591	0	0	1.0		1.0
KRAS	SMAD2	5	593	0	0	1.0		1.0
KRAS	SLX4	13	585	0	0	1.0		1.0
KRAS	SLFN11	1	597	0	0	1.0		1.0
KRAS	SOX2	2	596	0	0	1.0		1.0
KRAS	SHQ1	4	594	0	0	1.0		1.0
KRAS	SH2D1A	1	597	0	0	1.0		1.0
KRAS	SH2B3	5	593	0	0	1.0		1.0
KRAS	SF3B1	18	580	0	0	1.0		1.0
KRAS	SETDB1	3	595	0	0	1.0		1.0
KRAS	SETD8	3	595	0	0	1.0		1.0
KRAS	SETD2	27	571	0	0	1.0		1.0
KRAS	SESN3	1	597	0	0	1.0		1.0
KRAS	SESN2	2	596	0	0	1.0		1.0
KRAS	SERPINB4	2	596	0	0	1.0		1.0
KRAS	SERPINB3	1	597	0	0	1.0		1.0
KRAS	SDHD	3	595	0	0	1.0		1.0
KRAS	SDHC	1	597	0	0	1.0		1.0
KRAS	SHOC2	1	597	0	0	1.0		1.0
KRAS	MAPK1	2	596	0	0	1.0		1.0
KRAS	MAP3K13	4	594	0	0	1.0		1.0
