Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	7.583588882922514e-11	3.420198586198054e-08	0	0	74.60902255639098	1738.572977971691	RET;PTPRT;ALK;EPHA5;PTPRD;PDGFRA;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	3.948407879058492e-08	8.9036597672769e-06	0	0	69.83848314606742	1190.5623447439766	RET;ALK;EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	1.0419708879570381e-07	1.5664295682287473e-05	0	0	56.966743119266056	915.8532835972002	RET;ALK;EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	5/148	3.834690387542601e-07	4.323613411954282e-05	0	0	43.3479020979021	640.4222069821344	RET;ALK;EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	6/404	2.7469984181169097e-06	0.00024777925731414525	0	0	19.679396984924622	251.994712372566	RET;PTPRT;ALK;EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	5/253	5.368573194873078e-06	0.0004035377518146264	0	0	24.86265120967742	301.70698911949114	RET;ALK;EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	6/511	1.0573244761532607e-05	0.0006812190553501723	0	0	15.424950495049504	176.7264933411498	RET;ZFHX3;ARID1A;GLI1;TP53;SMARCA4
KEGG_2021_Human	Pathways in cancer	6/531	1.3154089963062668e-05	0.0010542472755801	0	0	14.82209523809524	166.58223526551006	RET;ALK;PDGFRA;KEAP1;GLI1;TP53
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	2.198015227094698e-05	0.0040883083223961	0	0	420.5052631578947	4510.074820809474	ZFHX3;TP53
KEGG_2021_Human	Hepatocellular carcinoma	4/168	2.5713348184880937e-05	0.0010542472755801	0	0	28.428981348637016	300.4516983743296	KEAP1;ARID1A;TP53;SMARCA4
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	5.219335616340933e-05	0.0011641686404198	0	0	49.53233830845771	488.4163633934834	RET;PDGFRA;TP53
KEGG_2021_Human	Non-small cell lung cancer	3/72	5.678871416682245e-05	0.0011641686404198	0	0	48.091787439613526	470.1536313027804	RET;ALK;TP53
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	3/88	0.00010336776935523456	0.0049583069705467	0	0	39.0078431372549	357.98345493624794	RET;ALK;EPHA3
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	3/91	0.00011420354694936974	0.0049583069705467	0	0	37.67234848484848	341.971805811432	EPHA5;PDGFRA;EPHA3
GO_Biological_Process_2021	digestive tract morphogenesis (GO:0048546)	2/16	0.0001248889732037253	0.0049583069705467	0	0	150.11278195488725	1349.2265083047014	PDGFRA;GLI1
GO_Biological_Process_2021	nucleosome organization (GO:0034728)	3/94	0.00012575499061511243	0.0049583069705467	0	0	36.42490842490842	327.13847921682	ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	7/1183	0.00013882073372285746	0.0049583069705467	0	0	7.994472789115647	71.00952264586408	RET;ZFHX3;ATRX;ARID1A;GLI1;TP53;SMARCA4
GO_Biological_Process_2021	chromatin disassembly (GO:0031498)	2/18	0.0001590322318968525	0.0049583069705467	0	0	131.33552631578948	1148.7135280506443	ARID1A;SMARCA4
GO_Biological_Process_2021	nucleosome disassembly (GO:0006337)	2/18	0.0001590322318968525	0.0049583069705467	0	0	131.33552631578948	1148.7135280506443	ARID1A;SMARCA4
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	3/103	0.00016491043139290747	0.0049583069705467	0	0	33.13166666666667	288.5803972555039	ATRX;ARID1A;SMARCA4
GO_Biological_Process_2021	protein-DNA complex disassembly (GO:0032986)	2/20	0.000197241423521882	0.005559742625523	0	0	116.7309941520468	995.841692324286	ARID1A;SMARCA4
Reactome_2022	Synaptic Adhesion-Like Molecules R-HSA-8849932	2/21	0.0002178658725532744	0.0163842564867433	0	0	110.58171745152356	932.3842311521834	PTPRD;GRIN2A
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	9/2244	0.00023066043066541283	0.0060205032292347	0	0	5.954362416107383	49.865188692666045	RET;ZFHX3;MGA;ATRX;ARID1A;GLI1;CIC;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	3/117	0.0002402861599251137	0.0060205032292347	0	0	29.042397660818715	242.03004888261336	RET;PTPRD;EPHA3
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	7/1312	0.00026426220139908634	0.0163842564867433	0	0	7.154789272030651	58.94522338511475	ZFHX3;GRIN2A;MGA;U2AF1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	3/125	0.00029193070823426527	0.0069295131270344	0	0	27.12704918032787	220.78689280656235	PDGFRA;KEAP1;TP53
GO_Biological_Process_2021	chromatin organization (GO:0006325)	3/142	0.0004243239046285572	0.0095685040493739	0	0	23.78896882494005	184.72166332416327	ATRX;ARID1A;SMARCA4
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	7/1449	0.00048575922040887376	0.0225878037490126	0	0	6.42753120665742	49.040761455161096	ZFHX3;GRIN2A;MGA;U2AF1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	brain development (GO:0007420)	3/150	0.0004980321677705861	0.0106958336983111	0	0	22.485260770975056	170.9969429396908	ZFHX3;GRIN2A;CIC
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	2/33	0.0005436359670051372	0.010847453419081	0	0	67.73514431239389	509.18070720221294	ATRX;TP53
GO_Biological_Process_2021	regulation of cell differentiation (GO:0045595)	3/156	0.0005583896231202959	0.010847453419081	0	0	21.59694989106754	161.77095084300038	ALK;ZFHX3;EPHA3
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	2/34	0.0005772480755165086	0.010847453419081	0	0	65.61513157894737	489.3076816935412	TP53;SMARCA4
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	2/35	0.0006118457898325318	0.0227606633817701	0	0	63.62360446570973	470.7529762572879	ARID1A;SMARCA4
KEGG_2021_Human	Thyroid cancer	2/37	0.0006839904074098636	0.0112174426815217	0	0	59.981954887218045	437.12249491930856	RET;TP53
