Metodo	Cluster_ID	Gene
Leiden	0	RB1
Leiden	0	HGF
Leiden	0	ERCC3
Leiden	0	MTOR
Leiden	0	NF1
Leiden	0	AMER1
Leiden	0	KDM6A
Leiden	0	PAK7
Leiden	0	NSD1
Leiden	0	BRD4
Leiden	0	FAM175A
Leiden	0	RECQL4
Leiden	0	SF3B1
Leiden	0	MAP2K4
Leiden	0	PGR
Leiden	0	FLT4
Leiden	0	TP53
Leiden	0	CSDE1
Leiden	0	FLT1
Leiden	0	EPHB1
Leiden	0	ATR
Leiden	0	BABAM1
Leiden	0	MLL2
Leiden	0	MAP3K1
Leiden	0	PTPRD
Leiden	0	CYLD
Leiden	0	IDH1
Leiden	0	KMT2C
Leiden	0	XPO1
Leiden	0	EPAS1
Leiden	0	ESR1
Leiden	0	NEGR1
Leiden	0	DNMT3A
Leiden	0	B2M
Leiden	0	MDC1
Leiden	0	INPPL1
Leiden	0	PARK2
Leiden	0	BRCA1
Leiden	0	SLX4
Leiden	0	PRKD1
Leiden	0	FGFR3
Leiden	0	NCOR1
Leiden	0	IRS1
Leiden	0	FGF19
Leiden	0	FGF3
Leiden	0	NUF2
Leiden	0	NOTCH2
Leiden	0	DIS3
Leiden	0	ERBB4
Leiden	0	PDGFRB
Leiden	0	TNFAIP3
Leiden	1	MED12
Leiden	1	SOX9
Leiden	1	SPEN
Leiden	1	MLL3
Leiden	1	GATA3
Leiden	1	EP300
Leiden	1	BAP1
Leiden	1	KDM5C
Leiden	1	AR
Leiden	1	KLF4
Leiden	1	KMT2B
Leiden	1	FAT1
Leiden	1	AXIN2
Leiden	1	PTPRT
Leiden	1	PHOX2B
Leiden	1	HIST1H1C
Leiden	1	CDK12
Leiden	1	PLCG2
Leiden	1	SMO
Leiden	1	PRDM1
Leiden	1	XRCC2
Leiden	1	PTEN
Leiden	1	TERT
Leiden	1	PMS1
Leiden	1	INHBA
Leiden	1	MET
Leiden	1	MSH2
Leiden	1	RPTOR
Leiden	1	FGFR4
Leiden	1	ALK
Leiden	1	NOTCH3
Leiden	1	MSH3
Leiden	1	JAK3
Leiden	1	MLH1
Leiden	1	TP63
Leiden	1	NBN
Leiden	1	FH
Leiden	1	BARD1
Leiden	1	BRAF
Leiden	1	MYCN
Leiden	1	DROSHA
Leiden	1	ROS1
Leiden	1	CCND2
Leiden	1	SH2B3
Leiden	2	HLA-A
Leiden	2	SCG5
Leiden	2	GATA1
