Metodo	Cluster_ID	Gene
Louvain	0	RB1
Louvain	0	HGF
Louvain	0	ERCC3
Louvain	0	MTOR
Louvain	0	NF1
Louvain	0	AMER1
Louvain	0	PAK7
Louvain	0	NSD1
Louvain	0	BRD4
Louvain	0	FAM175A
Louvain	0	SF3B1
Louvain	0	RECQL4
Louvain	0	MAP2K4
Louvain	0	PGR
Louvain	0	FLT4
Louvain	0	TP53
Louvain	0	AXIN2
Louvain	0	CSDE1
Louvain	0	EPHB1
Louvain	0	ATR
Louvain	0	BABAM1
Louvain	0	MLL2
Louvain	0	MAP3K1
Louvain	0	CYLD
Louvain	0	PTPRD
Louvain	0	KMT2C
Louvain	0	EPAS1
Louvain	0	XPO1
Louvain	0	ESR1
Louvain	0	NEGR1
Louvain	0	DNMT3A
Louvain	0	B2M
Louvain	0	MDC1
Louvain	0	INPPL1
Louvain	0	PARK2
Louvain	0	BRCA1
Louvain	0	SLX4
Louvain	0	PRKD1
Louvain	0	FGFR3
Louvain	0	NCOR1
Louvain	0	FGF19
Louvain	0	INPP4B
Louvain	0	NUF2
Louvain	0	FGF3
Louvain	0	NOTCH2
Louvain	0	DIS3
Louvain	0	ERBB4
Louvain	0	CCND2
Louvain	0	PDGFRB
Louvain	0	TNFAIP3
Louvain	1	CSF1R
Louvain	1	TET1
Louvain	1	MED12
Louvain	1	SMAD4
Louvain	1	NOTCH4
Louvain	1	MET
Louvain	1	FLCN
Louvain	1	SOX9
Louvain	1	FGFR4
Louvain	1	PIK3C2G
Louvain	1	TGFBR2
Louvain	1	PPP2R1A
Louvain	1	RET
Louvain	1	IL10
Louvain	1	PTPRT
Louvain	1	MST1R
Louvain	1	FH
Louvain	1	IRS1
Louvain	1	FOXA1
Louvain	1	NCOA3
Louvain	1	IRS2
Louvain	1	XRCC2
Louvain	1	MYCN
Louvain	1	CARD11
Louvain	1	PLK2
Louvain	1	FBXW7
Louvain	1	MLL3
Louvain	1	KMT2D
Louvain	2	PIK3R1
Louvain	2	RICTOR
Louvain	2	GSK3B
Louvain	2	FANCA
Louvain	2	PPM1D
Louvain	2	LATS1
Louvain	2	KDM6A
Louvain	2	NTRK3
Louvain	2	PIK3CG
Louvain	2	MGA
Louvain	2	AR
Louvain	2	FUBP1
Louvain	2	ANKRD11
Louvain	2	NF2
Louvain	2	YAP1
Louvain	2	ARID1A
Louvain	2	ATRX
Louvain	2	PIK3CA
Louvain	2	ARID1B
Louvain	2	ERRFI1
Louvain	2	SOX17
Louvain	2	SETD2
Louvain	2	WT1
Louvain	2	BLM
Louvain	2	POLE
Louvain	2	PTPRS
Louvain	2	ERCC5
Louvain	2	CUL3
Louvain	2	PTEN
Louvain	2	TET2
Louvain	2	PMS1
Louvain	2	ZFHX3
Louvain	2	FOXP1
Louvain	2	AXIN1
Louvain	2	TSHR
Louvain	2	MALT1
Louvain	2	DNMT3B
Louvain	2	NRAS
Louvain	2	EZH1
Louvain	2	SDHB
Louvain	2	ETV6
Louvain	2	PIM1
Louvain	2	REL
Louvain	2	EPHA3
Louvain	2	TCF3
Louvain	2	NTRK2
Louvain	2	U2AF1
Louvain	2	MLL
Louvain	2	ATM
Louvain	2	MSH6
Louvain	2	ERCC2
Louvain	3	SCG5
Louvain	3	GATA1
Louvain	3	CREBBP
Louvain	3	SMARCA4
Louvain	3	KEAP1
Louvain	3	JAK2
Louvain	3	FGFR2
Louvain	3	DDR2
Louvain	3	PTCH1
Louvain	3	CDKN2A
Louvain	3	EGFR
Louvain	3	MEN1
Louvain	3	TSC2
Louvain	3	BTK
Louvain	3	LATS2
Louvain	3	APC
Louvain	3	AXL
Louvain	3	STAG2
Louvain	3	BRCA2
Louvain	3	KDR
Louvain	3	CXCR4
Louvain	3	ERBB3
Louvain	3	PRDM14
Louvain	3	TBX3
Louvain	3	SPRED1
Louvain	3	UPF1
Louvain	3	PIK3R2
Louvain	3	PIK3C3
Louvain	3	DOT1L
Louvain	3	STK11
Louvain	3	PDCD1
Louvain	3	DICER1
Louvain	4	BRIP1
Louvain	4	NTRK1
Louvain	4	RBM10
Louvain	4	DAXX
Louvain	4	CHEK2
Louvain	4	KIT
Louvain	4	PALB2
Louvain	4	NFE2L2
Louvain	4	MSH2
Louvain	4	ARID5B
Louvain	4	NOTCH3
Louvain	4	BAP1
Louvain	4	DNMT1
Louvain	4	EPHA5
Louvain	4	KMT2A
Louvain	4	XIAP
Louvain	4	FLT1
Louvain	4	KDM5A
Louvain	4	POLD1
Louvain	4	PRDM1
Louvain	4	PBRM1
Louvain	4	BCL6
Louvain	4	ETV1
Louvain	4	ASXL2
Louvain	4	RAD50
Louvain	5	PDGFRA
Louvain	5	PREX2
Louvain	5	CTNNB1
Louvain	5	HNF1A
Louvain	5	PAK1
Louvain	5	CIC
Louvain	5	MRE11A
Louvain	5	KMT2B
Louvain	5	KLF4
Louvain	5	FAT1
Louvain	5	HIST1H1C
Louvain	5	PLCG2
Louvain	5	SMO
Louvain	5	PARP1
Louvain	5	FOXO1
Louvain	5	ASXL1
Louvain	5	TERT
Louvain	5	RASA1
Louvain	5	IDH1
Louvain	5	INHBA
Louvain	5	RPTOR
Louvain	5	IKZF1
Louvain	5	TEK
Louvain	5	GLI1
Louvain	5	MSH3
Louvain	5	CBL
Louvain	5	MLH1
Louvain	5	TP63
Louvain	5	NBN
Louvain	5	BARD1
Louvain	5	BRAF
Louvain	5	DROSHA
Louvain	5	TGFBR1
Louvain	5	SH2B3
Louvain	6	ARID2
Louvain	6	HLA-A
Louvain	6	BCOR
Louvain	6	SPEN
Louvain	6	CTCF
Louvain	6	ALK
Louvain	6	FGF4
Louvain	6	EPHA7
Louvain	6	GATA3
Louvain	6	EP300
Louvain	6	NKX3-1
Louvain	6	KDM5C
Louvain	6	IL7R
Louvain	6	SMYD3
Louvain	6	JAK3
Louvain	6	PHOX2B
Louvain	6	FLT3
Louvain	6	CDK12
Louvain	6	GRIN2A
Louvain	6	NOTCH1
Louvain	6	TSC1
Louvain	6	ROS1
