Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ARID2	2	0.017448153641290882	3.9516085158977194	0.10517894020477252
ABL1	KRAS	5	1.0	-10.0	1.0
ABL1	PTPRD	2	0.0893291697074096	2.5332864659488337	0.19737016698225626
ABL1	RBM10	2	0.14587095944898126	2.0617761975866897	0.25864078406345836
ABL1	SLX4	2	0.004381394266365962	5.1104239896936505	0.07221229458292858
ABL1	TP53	4	0.11906533141893921	2.3745584299237734	0.22957415522227292
ACVR1	KRAS	2	1.0	-10.0	1.0
ACVR1	TP53	2	0.19191972229514895	10.0	0.30218870328559283
AGO2	CEBPA	2	0.00034765362605365	7.592457037268081	0.04068452356388449
AGO2	ERCC3	2	0.0009667514461461624	6.584962500721156	0.054300712068583515
AGO2	FLT4	2	0.009182611148707283	4.669851398307669	0.08556200465694692
AGO2	INHBA	2	0.005161980713864639	5.144658242831882	0.07356410737493042
AGO2	KRAS	4	1.0	-10.0	1.0
AGO2	PTPRT	2	0.03979231294541491	3.4432818786439676	0.1380928116583691
AGO2	SMARCA4	2	0.08775947549598617	2.7350660612507247	0.19643741070051282
AGO2	TP53	3	0.2256721869077717	1.953829818567074	0.3336639084538075
AKT1	ARID1A	2	0.007438522796884571	10.0	0.08208806570626276
AKT1	KRAS	2	1.0	-10.0	1.0
AKT1	TP53	2	0.19191972229514895	10.0	0.30218870328559283
AKT2	EGFR	2	0.0005309063329541145	10.0	0.04431593140353095
AKT2	KRAS	2	1.0	-10.0	1.0
AKT2	TP53	2	0.19191972229514895	10.0	0.30218870328559283
AKT3	AR	2	0.022659205183149005	3.495695162624069	0.1113506321755728
AKT3	ASXL1	2	0.0393537376443769	3.0	0.1379218973431643
AKT3	ATM	2	0.43778134635206506	0.5496870259736257	0.5367331480163018
AKT3	ATRX	2	0.16446278848411947	1.6674246609131291	0.2747309219118923
AKT3	BARD1	2	0.0393537376443769	3.0	0.1379218973431643
AKT3	BCOR	2	0.10151355358538615	2.134878054343112	0.21059594651300337
AKT3	BRCA1	2	0.04409334776911135	2.897885782347309	0.1442574959675336
AKT3	BRCA2	2	0.06504086119478349	2.5464883529065205	0.1703662248537405
AKT3	CARD11	2	0.07073204179332115	2.4698859762744636	0.17742052219443244
AKT3	CREBBP	2	0.07073204179332115	2.4698859762744636	0.17742052219443244
AKT3	DIS3	2	0.03483100700079658	3.109489147580338	0.1312441078838793
AKT3	EPHA3	2	0.14261693457784447	1.808683982530124	0.25532552183879814
AKT3	EPHB1	2	0.08876618985473311	2.2604184576267823	0.1969208195608052
AKT3	FAT1	3	0.08563762917255707	1.8046043110415693	0.19399691644149075
AKT3	GATA1	2	0.012791995887676537	4.017921907997263	0.09522838275722303
AKT3	GATA3	2	0.022659205183149005	3.495695162624069	0.1113506321755728
AKT3	INPP4B	2	0.04904068026201025	2.8021932169418253	0.15068225377028713
AKT3	KEAP1	3	0.6601559494143316	-0.12467392034741187	0.7491573368542548
AKT3	KMT2B	2	0.05952302843944453	2.627087976393833	0.16385647720382737
AKT3	KRAS	12	1.0	-10.0	1.0
AKT3	NF1	2	0.17939941561412942	1.5796092662269494	0.28991408653963907
AKT3	PAK1	2	0.010064088445355258	4.2428565238961635	0.08943205077449505
AKT3	PDGFRA	2	0.10808288138039544	2.0756642699320724	0.2182474673615451
AKT3	PIK3C2G	2	0.0765885184173482	2.3968901525685844	0.1845458423416556
AKT3	PIK3CA	2	0.12157851397108996	1.9634741239748859	0.23223973868449718
AKT3	POLD1	2	0.030534547254536228	3.2275357246124075	0.12399154316299492
AKT3	POLE	2	0.12849164462945173	1.9102033296493544	0.24004811446161173
AKT3	PRDM14	2	0.03483100700079658	3.109489147580338	0.1312441078838793
AKT3	PTPRD	2	0.3682387332209642	0.7768058586979972	0.47268577246005866
AKT3	SH2B3	2	0.0022578760433785545	5.837943241891027	0.06196582268469527
AKT3	STK11	3	0.6796300046601642	-0.17567967616811953	0.7657623412087714
AKT3	TP53	8	0.0946885008122524	1.384293975847736	0.2032253825573315
AKT3	U2AF1	2	0.04904068026201025	2.8021932169418253	0.15068225377028713
ALK	APC	4	0.06392615156106433	1.6166713604484944	0.16939866441005144
ALK	ARID1A	2	0.7010967841858258	-0.26421259703107497	0.7875872285900585
ALK	ARID2	4	0.02661994116397556	2.0857847032911025	0.11859588316937962
ALK	ATM	5	0.2192792935320836	0.7635461932695232	0.3282362525847628
ALK	ATRX	3	0.22630771944123257	0.9945248699338489	0.33391364089776127
ALK	AXIN2	2	0.1323024185382815	1.8665783322966756	0.24356679590765337
ALK	BARD1	2	0.16496776437756494	1.6389013078319599	0.2747309219118923
ALK	BCOR	3	0.12182229850174735	1.4784325805673533	0.23223973868449718
ALK	BRCA1	3	0.03852414284888729	2.282757497606685	0.1377335505781158
ALK	BTK	2	0.11663528468653675	1.9947442745485047	0.22722141360326933
ALK	CARD11	2	0.26903890787837487	1.1083571780904184	0.37505797791295736
ALK	CDK12	3	0.0027068441535207113	4.116343961237468	0.06246883850744036
ALK	CDKN2A	3	0.2517843428639799	0.9041399845924838	0.35815950310355477
ALK	CREBBP	2	0.26903890787837487	1.1083571780904184	0.37505797791295736
ALK	CSF1R	2	0.1484372909208342	1.7484612330040354	0.259862545422142
ALK	DDR2	2	0.07324659186592014	2.4620523187964327	0.18167507378901387
ALK	DROSHA	2	0.16496776437756494	1.6389013078319599	0.2747309219118923
ALK	EP300	5	0.00021381351610487117	3.795859283219775	0.037625989011646196
ALK	EPHA5	6	0.017265939415895225	1.8143481254785703	0.10506371321869798
ALK	EPHA7	2	0.30438554388013167	0.9654904695733906	0.40826972387130805
ALK	EPHB1	2	0.3219983654222643	0.898671044626035	0.4263516581158423
ALK	ERCC2	2	0.06028738680064827	2.65731334494584	0.16457413546002392
ALK	ESR1	2	0.03723420542612772	3.1479578813871014	0.1346435466973692
ALK	FAT1	4	0.22079156006129835	0.8560816366866367	0.3297252106977865
ALK	FBXW7	2	0.16496776437756494	1.6389013078319599	0.2747309219118923
ALK	FGF3	2	0.03723420542612772	3.1479578813871014	0.1346435466973692
ALK	FGF4	2	0.02736924506252572	3.4724877714627436	0.11919176456243516
ALK	FLT3	4	0.007042866252702178	2.759195541549672	0.08208806570626276
ALK	FLT4	2	0.30438554388013167	0.9654904695733906	0.40826972387130805
ALK	GATA3	3	0.014556713719571145	2.9333628069697095	0.10032780900759469
ALK	GLI1	2	0.3219983654222643	0.898671044626035	0.4263516581158423
ALK	GRIN2A	6	0.011307741876973141	1.9698571267773186	0.09242833915485982
ALK	H3F3C	2	0.02736924506252572	3.4724877714627436	0.11919176456243516
ALK	HGF	2	0.42499256649723466	0.5480113645482647	0.5230608021849118
ALK	INPP4B	2	0.1989527283830465	1.4409521980296367	0.3075375250982792
ALK	IRS1	2	0.1989527283830465	1.4409521980296367	0.3075375250982792
ALK	JAK3	3	0.022632481576068276	2.6386004643232295	0.1113506321755728
ALK	JUN	2	0.005968020945345738	5.480265122054463	0.07730130577915492
ALK	KDM5C	4	0.012510365480189177	2.4711242440465195	0.09450119468412173
ALK	KEAP1	6	0.7694638006174399	-0.3602165796117361	0.8530672277644002
ALK	KMT2A	2	0.1818269139147219	1.5367160558670963	0.29263572501955376
ALK	KMT2B	3	0.058865565969453845	1.9946862001035321	0.16348523635693973
ALK	KMT2D	2	0.47378613899886335	0.3978029618624898	0.5724677714883734
ALK	KRAS	27	1.0	-10.0	1.0
ALK	LATS2	2	0.06028738680064827	2.65731334494584	0.16457413546002392
ALK	MAP3K1	2	0.11663528468653675	1.9947442745485047	0.22722141360326933
ALK	MCL1	2	0.018778138439569027	3.8901223822276263	0.10717626972631515
ALK	MET	2	0.1818269139147219	1.5367160558670963	0.29263572501955376
ALK	MTOR	2	0.2162878268309967	1.3508300103288076	0.3240812364134356
ALK	MYCN	2	0.048246386281064015	2.882316979738826	0.15008322026355833
ALK	NCOR1	2	0.11663528468653675	1.9947442745485047	0.22722141360326933
ALK	NFE2L2	2	0.23377918914894572	1.2657035926097784	0.34127105338478597
ALK	NOTCH3	2	0.33952746588754806	0.8345763907926285	0.44476025936882385
ALK	NOTCH4	2	0.26903890787837487	1.1083571780904184	0.37505797791295736
ALK	NTRK1	4	0.0104577366762365	2.5612464317473487	0.0896321324469765
ALK	NTRK3	2	0.5497620733328641	0.17459644116621004	0.6439427130638303
ALK	PAK7	2	0.30438554388013167	0.9654904695733906	0.40826972387130805
ALK	PARK2	2	0.08702074694108362	2.289506617194985	0.19536596530291842
ALK	PBRM1	2	0.2513779003522386	1.1850318938325206	0.35783542897132975
ALK	PDGFRB	3	0.02742574805168951	2.5104345220714004	0.11919176456243516
ALK	PGR	3	0.02742574805168951	2.5104345220714004	0.11919176456243516
ALK	PIK3CA	2	0.4082660594810625	0.6013569389718249	0.5075877156560169
ALK	PIK3CG	4	0.06990601714959362	1.5666358529145654	0.17671903394085428
