Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	SMARCA4	0.5714	0.5238	0.6364
0	KEAP1	0.4286	0.2857	0.5833
0	STK11	0.4286	0.4762	0.6364
0	APC	0.2857	0.2857	0.4667
0	FGFR2	0.1429	0.0	0.4118
0	PTPRD	0.1429	0.0	0.3333
0	SOX17	0.1429	0.0	0.3889
0	STAG2	0.1429	0.0	0.4118
1	PIK3CG	0.5	0.8	0.6667
1	ARID1A	0.3333	0.3333	0.5
1	NTRK3	0.3333	0.3333	0.5
1	PTPRT	0.3333	0.3333	0.5
1	INPP4B	0.1667	0.0	0.3529
1	KDM5A	0.1667	0.0	0.3529
1	PGR	0.1667	0.0	0.3529
2	ERBB4	0.4	0.4	0.4545
2	KMT2D	0.4	0.4	0.4545
2	RET	0.4	0.6	0.5556
2	TERT	0.4	0.6	0.5556
2	IRS1	0.2	0.0	0.3333
2	NOTCH4	0.2	0.0	0.3333
3	FAT1	1.0	1.0	1.0
3	IL7R	0.5	0.0	0.6667
3	RPTOR	0.5	0.0	0.6667
4	ZFHX3	1.0	1.0	1.0
4	SETD2	0.5	0.0	0.6667
4	TSHR	0.5	0.0	0.6667
5	TP53	1.0	1.0	1.0
5	MTOR	0.5	0.0	0.6667
5	NF2	0.5	0.0	0.6667
