Metodo	Cluster_ID	Gene
Girvan-Newman	0	APC
Girvan-Newman	0	STAG2
Girvan-Newman	0	SOX17
Girvan-Newman	0	STK11
Girvan-Newman	0	SMARCA4
Girvan-Newman	0	KEAP1
Girvan-Newman	0	PTPRD
Girvan-Newman	0	FGFR2
Girvan-Newman	1	TP53
Girvan-Newman	1	NF2
Girvan-Newman	1	INPP4B
Girvan-Newman	1	ARID1A
Girvan-Newman	1	MTOR
Girvan-Newman	2	PTPRT
Girvan-Newman	2	NTRK3
Girvan-Newman	2	PIK3CG
Girvan-Newman	2	KDM5A
Girvan-Newman	2	PGR
Girvan-Newman	3	ATM
Girvan-Newman	3	TGFBR2
Girvan-Newman	4	ERBB4
Girvan-Newman	4	NOTCH4
Girvan-Newman	4	IRS1
Girvan-Newman	4	RET
Girvan-Newman	4	TERT
Girvan-Newman	4	KMT2D
Girvan-Newman	5	RPTOR
Girvan-Newman	5	IL7R
Girvan-Newman	5	FAT1
Girvan-Newman	6	MDC1
Girvan-Newman	6	SF3B1
Girvan-Newman	7	WT1
Girvan-Newman	7	POT1
Girvan-Newman	8	TSHR
Girvan-Newman	8	SETD2
Girvan-Newman	8	ZFHX3
