Metodo	Cluster_ID	Gene
Infomap	0	APC
Infomap	0	STAG2
Infomap	0	TERT
Infomap	0	NOTCH4
Infomap	0	IRS1
Infomap	0	SOX17
Infomap	0	STK11
Infomap	0	SMARCA4
Infomap	0	ERBB4
Infomap	0	KEAP1
Infomap	0	RET
Infomap	0	PTPRD
Infomap	0	FGFR2
Infomap	0	KMT2D
Infomap	1	TP53
Infomap	1	NF2
Infomap	1	PTPRT
Infomap	1	ARID1A
Infomap	1	MTOR
Infomap	1	KDM5A
Infomap	1	INPP4B
Infomap	1	NTRK3
Infomap	1	PIK3CG
Infomap	1	PGR
Infomap	2	RPTOR
Infomap	2	IL7R
Infomap	2	FAT1
Infomap	3	TSHR
Infomap	3	SETD2
Infomap	3	ZFHX3
Infomap	4	ATM
Infomap	4	TGFBR2
Infomap	5	MDC1
Infomap	5	SF3B1
Infomap	6	WT1
Infomap	6	POT1
