Metodo	Cluster_ID	Gene
Leiden	0	APC
Leiden	0	STAG2
Leiden	0	SOX17
Leiden	0	STK11
Leiden	0	SMARCA4
Leiden	0	KEAP1
Leiden	0	PTPRD
Leiden	0	FGFR2
Leiden	1	PTPRT
Leiden	1	ARID1A
Leiden	1	KDM5A
Leiden	1	INPP4B
Leiden	1	NTRK3
Leiden	1	PIK3CG
Leiden	1	PGR
Leiden	2	NOTCH4
Leiden	2	IRS1
Leiden	2	RET
Leiden	2	ERBB4
Leiden	2	TERT
Leiden	2	KMT2D
Leiden	3	RPTOR
Leiden	3	IL7R
Leiden	3	FAT1
Leiden	4	TSHR
Leiden	4	SETD2
Leiden	4	ZFHX3
Leiden	5	MTOR
Leiden	5	NF2
Leiden	5	TP53
Leiden	6	ATM
Leiden	6	TGFBR2
Leiden	7	MDC1
Leiden	7	SF3B1
Leiden	8	WT1
Leiden	8	POT1
