Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	CYLD	2	0.0006578947368421054	10.0	0.05156075027995522
ABL1	KRAS	2	1.0	-10.0	1.0
ABL1	MED12	2	0.003289473684210526	10.0	0.05156075027995522
ABL1	TP53	2	0.31381578947368427	10.0	0.5515792830290012
AKT3	KRAS	3	1.0	-10.0	1.0
AKT3	TP53	2	0.5942469204927211	0.6571122864769915	0.8959215059507327
ALK	FLT3	2	0.04131008042920706	3.5193741590935796	0.14671466709135908
ALK	KRAS	7	1.0	-10.0	1.0
ALK	MED12	2	0.0597464250363377	3.0874628412503395	0.1813157894736842
ALK	NTRK1	2	0.013325867861142218	5.137503523749935	0.07286922981211895
ALK	PGR	2	0.0597464250363377	3.0874628412503395	0.1813157894736842
ALK	PIK3CG	2	0.08064094892441906	2.7484612330040354	0.22224645523569894
ALK	STK11	2	0.7059740006816301	-0.19854567938208015	1.0
ALK	TP53	6	0.10586635731550834	2.357552004618084	0.25415303202224826
AMER1	B2M	2	0.009588465845464729	5.475733430966398	0.06810776255180616
AMER1	EPHA3	2	0.01863056749629737	4.459431618637297	0.09508489633295471
AMER1	ERBB4	2	0.059746425036337696	3.0874628412503395	0.1813157894736842
AMER1	ESR1	2	0.0032894736842105266	10.0	0.05156075027995522
AMER1	FAT1	2	0.117178583393428	2.357552004618084	0.28033348596552743
AMER1	HGF	2	0.009588465845464729	5.475733430966398	0.06810776255180616
AMER1	IL7R	2	0.01863056749629737	4.459431618637297	0.09508489633295471
AMER1	KMT2B	2	0.009588465845464729	5.475733430966398	0.06810776255180616
AMER1	KRAS	6	1.0	-10.0	1.0
AMER1	MED12	2	0.043943843944511424	3.426264754702098	0.14841817881259003
AMER1	MTOR	2	0.043943843944511424	3.426264754702098	0.14841817881259003
AMER1	TP53	5	0.17113734453258866	2.0647702553902376	0.35341312999853197
APC	CSF1R	2	0.03016252322489552	3.8579809951275723	0.1141866950656759
APC	KEAP1	3	0.1629540762311777	1.7162070339994087	0.35306716516755166
APC	KRAS	6	1.0	-10.0	1.0
APC	MED12	2	0.043943843944511424	3.426264754702098	0.14841817881259003
APC	PTPRD	3	0.010124598642273124	3.807354922057604	0.06975848464526183
APC	STK11	5	0.010786030195897968	3.700439718141092	0.07286922981211895
APC	TP53	2	0.9447905165468056	-1.4525122046975067	1.0
AR	KRAS	2	1.0	-10.0	1.0
AR	TP53	2	0.31381578947368427	10.0	0.5515792830290012
ARAF	BTK	2	0.0006578947368421054	10.0	0.05156075027995522
ARAF	KRAS	2	1.0	-10.0	1.0
ARAF	PDGFRA	2	0.003289473684210526	10.0	0.05156075027995522
ARAF	TP53	2	0.31381578947368427	10.0	0.5515792830290012
ARHGAP35	KRAS	3	1.0	-10.0	1.0
ARHGAP35	TP53	2	0.5942469204927211	0.6571122864769915	0.8959215059507327
ARID1A	ATM	2	0.274145663460003	1.308122295362332	0.5141308880304135
ARID1A	EPHA3	2	0.0634279160495611	3.2051144299046124	0.18517726338198134
ARID1A	EPHA7	2	0.0634279160495611	3.2051144299046124	0.18517726338198134
ARID1A	FAT1	2	0.3210759007362959	1.096861539252589	0.5614753695616951
ARID1A	GRIN2A	2	0.09897758107183448	2.602664502454615	0.24530774589386314
ARID1A	HIST1H3D	2	0.012061403508771931	10.0	0.07286922981211895
ARID1A	IKZF1	2	0.09897758107183448	2.602664502454615	0.24530774589386314
ARID1A	INPP4B	3	0.00115481522956327	10.0	0.05156075027995522
ARID1A	IRS1	2	0.09897758107183448	2.602664502454615	0.24530774589386314
ARID1A	KRAS	11	1.0	-10.0	1.0
