Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cell cycle	5/124	2.4133960696249403e-08	2.847807362157429e-06	0	0	83.47058823529412	1464.0445549405906	SMAD4;CDKN2A;ABL1;EP300;ATM
KEGG_2021_Human	Chronic myeloid leukemia	4/76	2.5453570818922986e-07	1.001173785544304e-05	0	0	100.57070707070709	1527.0479864758183	SMAD4;CDKN2A;AKT3;ABL1
KEGG_2021_Human	Pancreatic cancer	4/76	2.5453570818922986e-07	1.001173785544304e-05	0	0	100.57070707070709	1527.0479864758183	SMAD4;CDKN2A;AKT3;BRCA2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	4.1300907796756076e-07	1.218376780004304e-05	0	0	46.19392523364486	679.0412895540591	SMAD4;CDKN2A;AKT3;EP300;ATM
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	8/1183	6.481239584495658e-07	0.000294976183888423	0	0	18.29544072948328	260.6950988453395	KMT2D;SMAD4;DOT1L;ABL1;EP300;ATM;ARID1A;BRCA2
Reactome_2022	Generic Transcription Pathway R-HSA-212436	8/1190	6.779889667133799e-07	0.0001577292898011896	0	0	18.18032390621223	258.2357718791499	KMT2D;SMAD4;CDKN2A;AKT3;ABL1;EP300;ATM;ARID1A
KEGG_2021_Human	Pathways in cancer	6/531	1.3897935040136008e-06	3.279912669472098e-05	0	0	24.711111111111112	333.26282628210464	SMAD4;CDKN2A;AKT3;ABL1;EP300;BRCA2
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	8/1312	1.425283250879584e-06	0.0001577292898011896	0	0	16.37248028045574	220.39224906245667	KMT2D;SMAD4;CDKN2A;AKT3;ABL1;EP300;ATM;ARID1A
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	5/296	1.8254850930850363e-06	0.000294976183888423	0	0	33.83848797250859	447.1304374691259	CDKN2A;ABL1;EP300;ATM;BAP1
GO_Biological_Process_2021	DNA repair (GO:0006281)	5/298	1.886841261546416e-06	0.000294976183888423	0	0	33.60409556313993	442.92235762517896	DOT1L;ABL1;ATM;BRCA2;BAP1
KEGG_2021_Human	FoxO signaling pathway	4/131	2.268860179573584e-06	4.4620916864947154e-05	0	0	56.85898353614889	738.9525968207681	SMAD4;AKT3;EP300;ATM
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	3/36	2.400758251290526e-06	0.0001577292898011896	0	0	151.15151515151516	1955.8591803382783	CDKN2A;AKT3;ATM
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	3/37	2.6114163150401846e-06	0.0001577292898011896	0	0	146.6985294117647	1885.9002309817276	CDKN2A;AKT3;ATM
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	8/1449	3.0216339042373485e-06	0.0001577292898011896	0	0	14.70724695152176	186.92488549415432	KMT2D;SMAD4;CDKN2A;AKT3;ABL1;EP300;ATM;ARID1A
Reactome_2022	Cell Cycle R-HSA-1640170	6/654	4.646511115868658e-06	0.00017387204998430407	0	0	19.894032921810695	244.28666685744847	CDKN2A;AKT3;ABL1;EP300;ATM;BRCA2
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	4/157	4.663235057050301e-06	0.00017387204998430407	0	0	47.13487819370173	578.6183911073638	CDKN2A;AKT3;EP300;ATM
KEGG_2021_Human	Hepatocellular carcinoma	4/168	6.099850489517388e-06	0.0001028260511090074	0	0	43.9490022172949	527.7064941304836	SMAD4;CDKN2A;AKT3;ARID1A
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	9/2206	6.391847469700156e-06	0.0004943034621278906	0	0	12.144742831133364	145.25704133054046	KMT2D;SMAD4;CDKN2A;DOT1L;ABL1;EP300;ATM;BCOR;ARID1A
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	3/51	6.95515636241328e-06	0.0004943034621278906	0	0	103.83854166666669	1233.1893505194407	ABL1;EP300;ATM
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	9/2244	7.371957349548207e-06	0.0004943034621278906	0	0	11.912751677852349	140.7828420399942	KMT2D;SMAD4;CDKN2A;ABL1;EP300;BCOR;ARID1A;BRCA2;BAP1
GO_Biological_Process_2021	signal transduction in response to DNA damage (GO:0042770)	3/52	7.377663613849113e-06	0.0004943034621278906	0	0	101.71428571428572	1201.9631613872264	DOT1L;ABL1;ATM
Reactome_2022	Disease R-HSA-1643685	8/1736	1.1695378106420862e-05	0.00037836411231965993	0	0	12.07473544973545	137.12452137962111	RNF43;SMAD4;CDKN2A;AKT3;ABL1;EP300;ATM;BRCA2
Reactome_2022	Transcriptional Regulation By RUNX1 R-HSA-8878171	4/204	1.3136136771695966e-05	0.00037836411231965993	0	0	35.97272727272728	404.3386199892963	KMT2D;ABL1;EP300;ARID1A
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	3/65	1.4496709284278158e-05	0.0007640366553903275	0	0	80.33467741935483	895.0559486303971	ABL1;EP300;ATM
Reactome_2022	FOXO-mediated Transcription R-HSA-9614085	3/65	1.4496709284278158e-05	0.00037836411231965993	0	0	80.33467741935483	895.0559486303971	SMAD4;AKT3;EP300
GO_Biological_Process_2021	DNA damage induced protein phosphorylation (GO:0006975)	2/8	1.4661684218577713e-05	0.0007640366553903275	0	0	512.2820512820513	5701.83907495754	ABL1;ATM
Reactome_2022	RUNX3 Regulates p14-ARF R-HSA-8951936	2/10	2.354311916028365e-05	0.0005236352574817569	0	0	384.1730769230769	4094.008377584964	CDKN2A;EP300
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	4/238	2.40751842520348e-05	0.0005236352574817569	0	0	30.693084693084693	326.4003590261632	KMT2D;DOT1L;EP300;ARID1A
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	6/908	3.028440498761358e-05	0.001420338593919	0	0	14.10421286031042	146.75260937015528	KMT2D;SMAD4;DOT1L;ABL1;EP300;ATM
GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	3.450012056424365e-05	0.0014709596858754	0	0	307.3076923076923	3157.447555274819	CDKN2A;ATM
Reactome_2022	Transcriptional Regulation By RUNX3 R-HSA-8878159	3/95	4.532160895808675e-05	0.0009099184567738956	0	0	54.057065217391305	540.6639881984726	SMAD4;CDKN2A;EP300
Reactome_2022	KEAP1-NFE2L2 Pathway R-HSA-9755511	3/100	5.2826809188518965e-05	0.000984842657014532	0	0	51.25773195876289	504.8113501315131	CDKN2A;AKT3;EP300
KEGG_2021_Human	MicroRNAs in cancer	4/310	6.751935415291353e-05	0.0009959104737554743	0	0	23.38562091503268	224.57436905078097	CDKN2A;ABL1;EP300;ATM
Reactome_2022	DNA Repair R-HSA-73894	4/310	6.751935415291353e-05	0.0011748367622606	0	0	23.38562091503268	224.57436905078097	ABL1;EP300;ATM;BRCA2
Reactome_2022	HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567	3/114	7.806495859098441e-05	0.0012241820873535	0	0	44.76126126126126	423.35063373777496	ABL1;ATM;BRCA2
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	3/118	8.649643198415456e-05	0.0032150564634267	0	0	43.19565217391305	404.1129237198605	ABL1;EP300;ATM
Reactome_2022	Homology Directed Repair R-HSA-5693538	3/119	8.869344775165415e-05	0.0012241820873535	0	0	42.82112068965517	399.5349532499956	ABL1;ATM;BRCA2
Reactome_2022	Transcriptional Regulation By RUNX2 R-HSA-8878166	3/119	8.869344775165415e-05	0.0012241820873535	0	0	42.82112068965517	399.5349532499956	SMAD4;AKT3;ABL1
GO_Biological_Process_2021	regulation of histone H3-K4 methylation (GO:0051569)	2/19	8.911670367707504e-05	0.0032150564634267	0	0	180.7058823529412	1685.1842294846974	SMAD4;BCOR
Reactome_2022	Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	2/19	8.911670367707504e-05	0.0012241820873535	0	0	180.7058823529412	1685.1842294846974	EP300;ATM
GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	2/21	0.00010934695002572602	0.0036631228258618	0	0	161.66801619433198	1474.571502686574	SMAD4;EP300
Reactome_2022	Transcriptional Regulation By TP53 R-HSA-3700989	4/354	0.00011286881365981696	0.0014729380182606	0	0	20.4	185.42140083648377	CDKN2A;AKT3;EP300;ATM
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	2/24	0.00014352676264691865	0.0042071282300878	0	0	139.6013986013986	1235.3312463141472	SMAD4;EP300
Reactome_2022	Impaired BRCA2 Binding To PALB2 R-HSA-9709603	2/24	0.00014352676264691865	0.0017838326214688	0	0	139.6013986013986	1235.3312463141472	ATM;BRCA2
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	2/24	0.00014352676264691865	0.0042071282300878	0	0	139.6013986013986	1235.3312463141472	SMAD4;EP300
Reactome_2022	Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	2/25	0.0001559398729733465	0.0018500139475474	0	0	133.5250836120401	1170.4862312462878	ATM;BRCA2
Reactome_2022	Mitotic G1 Phase And G1/S Transition R-HSA-453279	3/147	0.0001658961137611889	0.0018775918515565	0	0	34.44618055555556	299.82468067293223	CDKN2A;AKT3;ABL1
Reactome_2022	DNA Double-Strand Break Repair R-HSA-5693532	3/149	0.00017265212428105875	0.0018775918515565	0	0	33.9708904109589	294.3316699998944	ABL1;ATM;BRCA2
Reactome_2022	Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	2/27	0.0001822918418919162	0.0019031268293516	0	0	122.83076923076923	1057.5608400035376	ATM;BRCA2
KEGG_2021_Human	Cellular senescence	3/156	0.00019770315814565995	0.0025468561917379	0	0	32.40522875816993	276.3758955918875	CDKN2A;AKT3;ATM
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	2/29	0.00021067369304735427	0.0056533282567649	0	0	113.72079772079772	962.6693082346336	KMT2D;EP300
Reactome_2022	Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758	2/29	0.00021067369304735427	0.0021148397648215	0	0	113.72079772079772	962.6693082346336	AKT3;EP300
KEGG_2021_Human	Hepatitis B	3/162	0.00022096478665743755	0.0025468561917379	0	0	31.17295597484277	262.39858153602063	SMAD4;AKT3;EP300
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	4/424	0.00022581340194968775	0.0021828628855136	0	0	16.939393939393938	142.21978997411892	RNF43;SMAD4;AKT3;EP300
GO_Biological_Process_2021	double-strand break repair (GO:0006302)	3/164	0.00022909582774098005	0.0056533282567649	0	0	30.782608695652176	258.00043859018825	ATM;BRCA2;BAP1
KEGG_2021_Human	Wnt signaling pathway	3/166	0.0002374187975348932	0.0025468561917379	0	0	30.401840490797547	253.72418105754252	RNF43;SMAD4;EP300
GO_Biological_Process_2021	regulation of nucleic acid-templated transcription (GO:1903506)	4/430	0.00023828045493204467	0.0056533282567649	0	0	16.695689287238583	139.2764784387775	KMT2D;ABL1;EP300;BRCA2
GO_Biological_Process_2021	regulation of cellular senescence (GO:2000772)	2/31	0.0002410800962373125	0.0056533282567649	0	0	105.86737400530504	881.9155958865495	CDKN2A;AKT3
