Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	ARID1A	0.4667	0.4905	0.5357
0	KMT2D	0.4	0.4095	0.6
0	BRCA2	0.3333	0.219	0.5769
0	KMT2C	0.3333	0.3905	0.5172
0	SMARCA4	0.2	0.1476	0.3846
0	AXIN1	0.1333	0.0	0.4286
0	CCND2	0.1333	0.0571	0.4286
0	INSR	0.1333	0.0	0.4054
0	BRCA1	0.0667	0.0	0.3488
0	FAT1	0.0667	0.0	0.3846
0	FLT1	0.0667	0.0	0.283
0	MAP2K4	0.0667	0.0	0.3571
0	POLE	0.0667	0.0	0.3571
0	PTPRD	0.0667	0.0	0.3488
0	RPTOR	0.0667	0.0	0.3571
0	SMAD2	0.0667	0.0	0.3571
1	SMAD4	0.8333	0.9545	0.8571
1	PREX2	0.25	0.3182	0.5714
1	AKT3	0.0833	0.0	0.48
1	ANKRD11	0.0833	0.0	0.375
1	CASP8	0.0833	0.0	0.48
1	CTCF	0.0833	0.0	0.48
1	FANCA	0.0833	0.0	0.48
1	GATA1	0.0833	0.0	0.48
1	HIST1H1C	0.0833	0.0	0.48
1	KMT2A	0.0833	0.0	0.48
1	PGR	0.0833	0.0	0.48
1	SETD2	0.0833	0.0	0.48
1	TET1	0.0833	0.0	0.375
2	RNF43	0.6154	0.7564	0.65
2	RBM10	0.3077	0.3077	0.4483
2	BCOR	0.2308	0.2885	0.5417
2	GNAS	0.2308	0.1731	0.52
2	PIK3CA	0.1538	0.0	0.4643
2	TGFBR2	0.1538	0.1538	0.4333
2	AR	0.0769	0.0	0.3171
2	CSF1R	0.0769	0.0	0.3611
2	FLT4	0.0769	0.0	0.4062
2	JAK3	0.0769	0.0	0.4062
2	PTEN	0.0769	0.0	0.4062
2	PTPRS	0.0769	0.0	0.3095
2	RET	0.0769	0.0	0.4062
2	SRC	0.0769	0.0	0.3171
3	CDKN2A	1.0	1.0	1.0
3	ABL1	0.1429	0.0	0.5385
3	BAP1	0.1429	0.0	0.5385
3	KDM6A	0.1429	0.0	0.5385
3	PTPN11	0.1429	0.0	0.5385
3	REL	0.1429	0.0	0.5385
3	TBX3	0.1429	0.0	0.5385
3	TP53	0.1429	0.0	0.5385
5	ATM	0.4667	0.5429	0.5556
5	EP300	0.4	0.5667	0.5769
5	DOT1L	0.2	0.0857	0.4412
5	NOTCH3	0.2	0.1571	0.4286
5	PTPRT	0.2	0.2476	0.4286
5	ZFHX3	0.2	0.1333	0.4286
5	LATS2	0.1333	0.0	0.4545
5	RB1	0.1333	0.1333	0.3191
5	TSC2	0.1333	0.0	0.4054
5	ARID1B	0.0667	0.0	0.3659
5	AXIN2	0.0667	0.0	0.3659
5	INPPL1	0.0667	0.0	0.3061
5	MGA	0.0667	0.0	0.2459
5	NTRK3	0.0667	0.0	0.3659
5	PALB2	0.0667	0.0	0.3659
5	POLD1	0.0667	0.0	0.3061
