Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hepatocellular carcinoma	6/168	1.509677853952745e-09	7.67745025631058e-08	0	0	81.57613168724279	1656.9229572107167	RB1;SMAD4;CDKN2A;AKT3;ARID1A;SMARCA4
KEGG_2021_Human	Chronic myeloid leukemia	5/76	2.0203816463975206e-09	7.67745025631058e-08	0	0	140.2394366197183	2807.5906335292902	RB1;SMAD4;CDKN2A;AKT3;ABL1
KEGG_2021_Human	Pancreatic cancer	5/76	2.0203816463975206e-09	7.67745025631058e-08	0	0	140.2394366197183	2807.5906335292902	RB1;SMAD4;CDKN2A;AKT3;BRCA2
KEGG_2021_Human	Cell cycle	5/124	2.4133960696249403e-08	6.87817879843108e-07	0	0	83.47058823529412	1464.0445549405906	RB1;SMAD4;CDKN2A;ABL1;ATM
Reactome_2022	Generic Transcription Pathway R-HSA-212436	9/1190	3.276683301924993e-08	7.044869099138735e-06	0	0	23.88314987298899	411.5985990710928	RB1;SMAD4;CDKN2A;KMT2C;AKT3;ABL1;ATM;ARID1A;SMARCA4
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	9/1312	7.639004209043947e-08	8.211929524722243e-06	0	0	21.506523407521104	352.4362917769843	RB1;SMAD4;CDKN2A;KMT2C;AKT3;ABL1;ATM;ARID1A;SMARCA4
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	9/1449	1.8001761692810374e-07	1.29012625465141e-05	0	0	19.31770833333333	300.00808875236766	RB1;SMAD4;CDKN2A;KMT2C;AKT3;ABL1;ATM;ARID1A;SMARCA4
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	5/217	3.946540391875943e-07	0.00014328406193330997	0	0	46.63443396226416	687.6366814580762	RB1;SMAD4;CDKN2A;BAP1;SMARCA4
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	4.1300907796756076e-07	9.416606977660383e-06	0	0	46.19392523364486	679.0412895540591	RB1;SMAD4;CDKN2A;AKT3;ATM
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	6/464	6.326007149373508e-07	0.00014328406193330997	0	0	28.4235807860262	405.7018882577868	RB1;SMAD4;CDKN2A;BCOR;BAP1;SMARCA4
KEGG_2021_Human	Pathways in cancer	6/531	1.3897935040136008e-06	2.640607657625841e-05	0	0	24.711111111111112	333.26282628210464	RB1;SMAD4;CDKN2A;AKT3;ABL1;BRCA2
Reactome_2022	RUNX2 Regulates Bone Development R-HSA-8941326	3/31	1.5147998091614643e-06	6.647112987553082e-05	0	0	178.1875	2387.7529961210003	RB1;SMAD4;ABL1
Reactome_2022	Transcriptional Regulation By RUNX2 R-HSA-8878166	4/119	1.5458402296635074e-06	6.647112987553082e-05	0	0	62.8300395256917	840.662344869399	RB1;SMAD4;AKT3;ABL1
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	6/547	1.651719435602572e-06	0.0001466579058303739	0	0	23.96056685150955	319.00364866918954	RB1;SMAD4;CDKN2A;BCOR;BAP1;SMARCA4
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	5/296	1.8254850930850363e-06	0.0001466579058303739	0	0	33.83848797250859	447.1304374691259	RB1;CDKN2A;ABL1;ATM;BAP1
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	4/126	1.9424888189453497e-06	0.0001466579058303739	0	0	59.20417287630402	778.6260779872034	RB1;SMAD4;CDKN2A;SMARCA4
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	4/126	1.9424888189453497e-06	0.0001466579058303739	0	0	59.20417287630402	778.6260779872034	RB1;SMAD4;CDKN2A;SMARCA4
