Metodo	Cluster_ID	Gene
Infomap	0	NTRK3
Infomap	0	FAT1
Infomap	0	CSF1R
Infomap	0	BRCA2
Infomap	0	INSR
Infomap	0	PALB2
Infomap	0	ARID1B
Infomap	0	AXIN2
Infomap	0	KMT2D
Infomap	0	ATM
Infomap	0	BCOR
Infomap	1	SMAD4
Infomap	1	HIST1H1C
Infomap	1	SETD2
Infomap	1	CTCF
Infomap	1	FANCA
Infomap	1	PGR
Infomap	1	CASP8
Infomap	1	KMT2A
Infomap	1	GATA1
Infomap	1	AKT3
Infomap	2	LATS2
Infomap	2	EP300
Infomap	2	KDM6A
Infomap	2	MGA
Infomap	2	RB1
Infomap	2	PTPRT
Infomap	2	TSC2
Infomap	3	PTEN
Infomap	3	RNF43
Infomap	3	RET
Infomap	3	TGFBR2
Infomap	3	JAK3
Infomap	3	PTPRS
Infomap	3	FLT4
Infomap	4	TBX3
Infomap	4	ANKRD11
Infomap	4	REL
Infomap	4	PTPN11
Infomap	4	ABL1
Infomap	4	TET1
Infomap	4	CDKN2A
Infomap	4	BAP1
Infomap	4	PREX2
Infomap	5	AXIN1
Infomap	5	MAP2K4
Infomap	5	SMAD2
Infomap	5	POLE
Infomap	5	RPTOR
Infomap	5	ARID1A
Infomap	6	AR
Infomap	6	RBM10
Infomap	6	SRC
Infomap	6	PIK3CA
Infomap	6	GNAS
Infomap	7	DOT1L
Infomap	7	NOTCH3
Infomap	7	POLD1
Infomap	7	ZFHX3
Infomap	7	INPPL1
Infomap	8	FLT1
Infomap	8	PTPRD
Infomap	8	CCND2
Infomap	8	KMT2C
Infomap	8	SMARCA4
Infomap	8	BRCA1
Infomap	9	ERF
Infomap	9	JAK2
