Metodo	Cluster_ID	Gene
Leiden	0	PIK3CA
Leiden	0	GNAS
Leiden	0	RPTOR
Leiden	0	CSF1R
Leiden	0	PTPRS
Leiden	0	RET
Leiden	0	POLE
Leiden	0	INSR
Leiden	0	MAP2K4
Leiden	0	SRC
Leiden	0	BCOR
Leiden	0	JAK3
Leiden	0	PTEN
Leiden	0	BRCA2
Leiden	0	SMAD2
Leiden	0	TGFBR2
Leiden	0	RBM10
Leiden	0	AXIN1
Leiden	0	AR
Leiden	0	RNF43
Leiden	0	FLT4
Leiden	0	KMT2D
Leiden	0	FAT1
Leiden	0	ARID1A
Leiden	1	LATS2
Leiden	1	AXIN2
Leiden	1	ATM
Leiden	1	NTRK3
Leiden	1	DOT1L
Leiden	1	PALB2
Leiden	1	ZFHX3
Leiden	1	TSC2
Leiden	1	INPPL1
Leiden	1	MGA
Leiden	1	NOTCH3
Leiden	1	RB1
Leiden	1	POLD1
Leiden	1	ARID1B
Leiden	1	EP300
Leiden	1	PTPRT
Leiden	2	SMAD4
Leiden	2	HIST1H1C
Leiden	2	CASP8
Leiden	2	FANCA
Leiden	2	GATA1
Leiden	2	PREX2
Leiden	2	AKT3
Leiden	2	TET1
Leiden	2	ANKRD11
Leiden	2	SETD2
Leiden	2	PGR
Leiden	2	KMT2A
Leiden	2	CTCF
Leiden	3	TBX3
Leiden	3	CDKN2A
Leiden	3	REL
Leiden	3	PTPN11
Leiden	3	TP53
Leiden	3	KDM6A
Leiden	3	BAP1
Leiden	3	ABL1
Leiden	4	CCND2
Leiden	4	BRCA1
Leiden	4	FLT1
Leiden	4	KMT2C
Leiden	4	SMARCA4
Leiden	4	PTPRD
Leiden	5	ERF
Leiden	5	JAK2
