Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	3	804	0	0	1.0		1.0
KRAS	ACVR1	3	804	0	0	1.0		1.0
KRAS	AGO2	2	805	0	0	1.0		1.0
KRAS	AKT1	3	804	0	0	1.0		1.0
KRAS	AKT2	4	803	0	0	1.0		1.0
KRAS	AKT3	5	802	0	0	1.0		1.0
KRAS	ALK	7	800	0	0	1.0		1.0
KRAS	ALOX12B	2	805	0	0	1.0		1.0
KRAS	AMER1	7	800	0	0	1.0		1.0
KRAS	ANKRD11	7	800	0	0	1.0		1.0
KRAS	APC	11	796	0	0	1.0		1.0
KRAS	APLNR	2	805	0	0	1.0		1.0
KRAS	AR	6	801	0	0	1.0		1.0
KRAS	ARAF	2	805	0	0	1.0		1.0
KRAS	ARHGAP35	3	804	0	0	1.0		1.0
KRAS	ARID1A	70	737	0	0	1.0		1.0
KRAS	ARID1B	13	794	0	0	1.0		1.0
KRAS	ARID2	18	789	0	0	1.0		1.0
KRAS	ARID5B	2	805	0	0	1.0		1.0
KRAS	ASXL1	3	804	0	0	1.0		1.0
KRAS	ASXL2	6	801	0	0	1.0		1.0
KRAS	ATM	40	767	0	0	1.0		1.0
KRAS	ATR	6	801	0	0	1.0		1.0
KRAS	ATRX	1	806	0	0	1.0		1.0
KRAS	ATXN7	2	805	0	0	1.0		1.0
KRAS	AURKA	4	803	0	0	1.0		1.0
KRAS	AXIN1	9	798	0	0	1.0		1.0
KRAS	AXIN2	10	797	0	0	1.0		1.0
KRAS	AXL	6	801	0	0	1.0		1.0
KRAS	B2M	2	805	0	0	1.0		1.0
KRAS	BABAM1	1	806	0	0	1.0		1.0
KRAS	BAP1	5	802	0	0	1.0		1.0
KRAS	BARD1	2	805	0	0	1.0		1.0
KRAS	BBC3	2	805	0	0	1.0		1.0
KRAS	BCL10	1	806	0	0	1.0		1.0
KRAS	BCL2L1	1	806	0	0	1.0		1.0
KRAS	BCL2L11	1	806	0	0	1.0		1.0
KRAS	BCL6	2	805	0	0	1.0		1.0
KRAS	BCOR	14	793	0	0	1.0		1.0
KRAS	BLM	3	804	0	0	1.0		1.0
KRAS	BMPR1A	2	805	0	0	1.0		1.0
KRAS	BRAF	4	803	0	0	1.0		1.0
