Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cellular senescence	3/156	4.654876407219635e-07	4.003193710208886e-05	0	0	59532.0	867987.2930912738	CCNE1;CHEK2;KRAS
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	1.295082519843857e-06	5.568854835328584e-05	0	0	59343.0	804509.2615314248	CCNE1;CHEK2;KRAS
Reactome_2022	p53-Dependent G1 DNA Damage Response R-HSA-69563	2/65	3.113442821719841e-05	0.0009927932125509428	0	0	632.8253968253969	6566.953388277037	CCNE1;CHEK2
Reactome_2022	G1/S DNA Damage Checkpoints R-HSA-69615	2/67	3.309310708503143e-05	0.0009927932125509428	0	0	613.2923076923076	6326.837237900451	CCNE1;CHEK2
KEGG_2021_Human	p53 signaling pathway	2/73	3.932672906729789e-05	0.0011273662332625	0	0	561.2957746478874	5693.563266822602	CCNE1;CHEK2
KEGG_2021_Human	Prostate cancer	2/97	6.961924731643517e-05	0.0014968138173033	0	0	418.9894736842105	4010.763952196083	CCNE1;KRAS
KEGG_2021_Human	Cell cycle	2/124	0.00011392596638677496	0.0019595266218525	0	0	325.8196721311475	2958.4301565012893	CCNE1;CHEK2
KEGG_2021_Human	Gastric cancer	2/149	0.00016458175008521891	0.0023590050845548	0	0	270.06802721088434	2352.8605106318937	CCNE1;KRAS
KEGG_2021_Human	Hepatitis B	2/162	0.0001945745324387528	0.0023904871128189	0	0	247.9625	2118.764000418472	CCNE1;KRAS
KEGG_2021_Human	Viral carcinogenesis	2/203	0.0003054899059331948	0.0032840164887818	0	0	196.97512437810943	1594.2366495640113	CCNE1;KRAS
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	2/209	0.0003237962454418987	0.0194831023594194	0	0	191.20772946859904	1536.429845973125	CCNE1;CHEK2
Reactome_2022	Cell Cycle Checkpoints R-HSA-69620	2/271	0.0005438662191210759	0.0092624171876173	0	0	146.67657992565057	1102.539581162937	CCNE1;CHEK2
KEGG_2021_Human	MicroRNAs in cancer	2/310	0.000711065962322313	0.0067946303066354	0	0	127.85064935064936	926.7568010556682	CCNE1;KRAS
Reactome_2022	Synthesis Of PI R-HSA-1483226	1/5	0.0007498314718703743	0.0092624171876173	0	0	2499.125	17982.858997820545	CHEK2
KEGG_2021_Human	Human papillomavirus infection	2/331	0.0008102606248602367	0.006968241373798	0	0	119.56231003039514	851.0630074839177	CCNE1;KRAS
