Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	ERBB4	0.5763	0.2309	0.7024
0	ZFHX3	0.4746	0.1676	0.6484
0	EPHA3	0.4746	0.1094	0.6277
0	BRCA1	0.3559	0.0501	0.602
0	RASA1	0.3051	0.0388	0.5315
0	TET1	0.3051	0.0348	0.5842
0	AMER1	0.3051	0.0442	0.5619
0	DIS3	0.2881	0.022	0.5619
0	PGR	0.2881	0.0306	0.5566
0	BRD4	0.2542	0.0101	0.5673
0	NCOR1	0.2542	0.0252	0.5364
0	PARP1	0.2542	0.0227	0.5268
0	ERCC5	0.2542	0.0127	0.5673
0	CDK12	0.2373	0.0104	0.5514
0	PIK3CG	0.2373	0.0752	0.5315
0	MLH1	0.2373	0.0199	0.5619
0	TERT	0.2373	0.0129	0.5315
0	PPP2R1A	0.2203	0.0125	0.5364
0	MSH6	0.2034	0.0131	0.5268
0	DICER1	0.2034	0.0077	0.5086
0	AR	0.2034	0.0094	0.5043
0	RPTOR	0.1695	0.015	0.5086
0	FOXL2	0.1695	0.0046	0.5175
0	TP63	0.1695	0.0055	0.5086
0	ESR1	0.1525	0.0093	0.5268
0	FBXW7	0.1356	0.0077	0.513
0	RFWD2	0.1356	0.0036	0.5221
0	RNF43	0.1186	0.0031	0.4758
0	INHA	0.1186	0.0045	0.5268
0	AKT3	0.1186	0.0027	0.4609
0	CIC	0.1186	0.0025	0.4683
0	EZH2	0.1017	0.0035	0.5175
0	SHQ1	0.1017	0.0016	0.5175
0	JUN	0.1017	0.0037	0.5043
0	BLM	0.1017	0.0038	0.5
0	PALB2	0.1017	0.0036	0.4797
0	SOS1	0.1017	0.0029	0.4917
0	FYN	0.0847	0.0016	0.5086
0	SF3B1	0.0847	0.002	0.4538
0	GNAS	0.0847	0.0007	0.4646
0	MSH2	0.0847	0.0017	0.4403
0	MSH3	0.0847	0.0034	0.4758
0	NF2	0.0847	0.0011	0.4155
0	MAP2K2	0.0847	0.0056	0.4683
0	FGFR3	0.0847	0.0004	0.5086
0	STAT5B	0.0678	0.0018	0.4574
0	CD79A	0.0678	0.0016	0.4646
0	FOXO1	0.0678	0.0002	0.4683
0	KLF4	0.0678	0.0024	0.472
0	ALB	0.0508	0.0004	0.4184
0	INSR	0.0508	0.0	0.4574
0	ERF	0.0508	0.0	0.4436
0	IGF1	0.0508	0.0	0.4436
0	CYSLTR2	0.0508	0.0	0.4338
0	SESN3	0.0339	0.0	0.4214
