Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	2/90	0.0002968728596410649	0.0246404473502083	0	0	113.10227272727272	918.640025209676	STK11;CHEK2
KEGG_2021_Human	Pathways in cancer	3/531	0.0003505841855305227	0.0135247114730743	0	0	36.86742424242424	293.3138978997738	KEAP1;KRAS;GLI1
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway (GO:0097193)	2/102	0.000381209751704544	0.0265946867311354	0	0	99.47	783.043835264899	STK11;CHEK2
KEGG_2021_Human	Longevity regulating pathway	2/102	0.000381209751704544	0.0135247114730743	0	0	99.47	783.043835264899	STK11;KRAS
KEGG_2021_Human	FoxO signaling pathway	2/131	0.0006277332252970674	0.0135247114730743	0	0	76.99612403100775	567.7228576803623	STK11;KRAS
KEGG_2021_Human	Autophagy	2/137	0.0006862332622619815	0.0135247114730743	0	0	73.55185185185185	535.7732363146357	STK11;KRAS
Reactome_2022	DNA Double-Strand Break Repair R-HSA-5693532	2/149	0.0008108933574650148	0.0248904283234516	0	0	67.50680272108843	480.47116302366464	CHEK2;POLE
KEGG_2021_Human	mTOR signaling pathway	2/154	0.0008658399568620583	0.0135247114730743	0	0	65.26973684210526	460.2698138852921	STK11;KRAS
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	2/156	0.0008883122339049933	0.0265946867311354	0	0	64.41558441558442	452.5959586961092	STK11;CHEK2
KEGG_2021_Human	Cellular senescence	2/156	0.0008883122339049933	0.0135247114730743	0	0	64.41558441558442	452.5959586961092	CHEK2;KRAS
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	2/157	0.0008996540357874079	0.0248904283234516	0	0	63.99677419354839	448.8413932918448	STK11;CHEK2
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	2/159	0.0009225488218765396	0.0265946867311354	0	0	63.17515923566879	441.4914039737281	STK11;CHEK2
GO_Biological_Process_2021	negative regulation of canonical Wnt signaling pathway (GO:0090090)	2/165	0.0009929205529342526	0.0265946867311354	0	0	60.831288343558285	420.63983668985327	STK11;GLI1
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	3/764	0.0010183890757481	0.0265946867311354	0	0	25.27332457293036	174.12140967127098	STK11;KRAS;GLI1
KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0010290541338208	0.0135247114730743	0	0	59.72289156626506	410.8406520770237	KEAP1;KRAS
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	2/191	0.001326976313266	0.0265946867311354	0	0	52.39417989417989	347.1037070362797	STK11;GLI1
Reactome_2022	Synthesis Of PI R-HSA-1483226	1/5	0.0014992198216206	0.0284317563494147	0	0	999.5	6499.559019889724	CHEK2
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	2/209	0.0015857675752462	0.0265946867311354	0	0	47.79468599033817	308.11736718674643	CHEK2;POLE
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.0017391981209362	0.0200007783907666	0	0	45.56912442396313	289.56130553022484	CHEK2;KRAS
GO_Biological_Process_2021	regulation of autophagy (GO:0010506)	2/231	0.0019323702019421	0.0265946867311354	0	0	43.15502183406114	269.6760743351303	STK11;KEAP1
Reactome_2022	GLI Proteins Bind Promoters Of Hh Responsive Genes To Promote Transcription R-HSA-5635851	1/7	0.0020983872819732	0.0284317563494147	0	0	666.2666666666667	4108.590825691207	GLI1
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	2/253	0.0023120197483946	0.0265946867311354	0	0	39.32868525896414	238.7107168270355	STK11;GLI1
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	3/1025	0.0023884165348019	0.0265946867311354	0	0	18.563600782778867	112.07077225630944	STK11;CHEK2;KEAP1
GO_Biological_Process_2021	DNA damage induced protein phosphorylation (GO:0006975)	1/8	0.0023978589692277	0.0265946867311354	0	0	571.0571428571428	3445.2899826083253	CHEK2
Reactome_2022	AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680	1/8	0.0023978589692277	0.0284317563494147	0	0	571.0571428571428	3445.2899826083253	STK11
Reactome_2022	DNA Replication Initiation R-HSA-68952	1/8	0.0023978589692277	0.0284317563494147	0	0	571.0571428571428	3445.2899826083253	POLE
GO_Biological_Process_2021	cellular response to UV-B (GO:0071493)	1/8	0.0023978589692277	0.0265946867311354	0	0	571.0571428571428	3445.2899826083253	STK11
GO_Biological_Process_2021	anoikis (GO:0043276)	1/9	0.0026972559359141	0.0265946867311354	0	0	499.65	2955.689739283532	STK11
GO_Biological_Process_2021	DNA repair (GO:0006281)	2/298	0.0031902372103843	0.0265946867311354	0	0	33.273648648648646	191.2456195358984	CHEK2;POLE
Reactome_2022	DNA Repair R-HSA-73894	2/310	0.003447238059301	0.0357650948652482	0	0	31.95779220779221	181.20649593388407	CHEK2;POLE
GO_Biological_Process_2021	replicative senescence (GO:0090399)	1/12	0.0035949984464796	0.0265946867311354	0	0	363.3272727272727	2044.8828145385055	CHEK2
GO_Biological_Process_2021	cytoplasmic sequestering of protein (GO:0051220)	1/13	0.0038940964853966	0.0265946867311354	0	0	333.03333333333336	1847.7667100463036	KEAP1
GO_Biological_Process_2021	response to UV-B (GO:0010224)	1/13	0.0038940964853966	0.0265946867311354	0	0	333.03333333333336	1847.7667100463036	STK11
GO_Biological_Process_2021	mitotic DNA integrity checkpoint signaling (GO:0044774)	1/13	0.0038940964853966	0.0265946867311354	0	0	333.03333333333336	1847.7667100463036	CHEK2
Reactome_2022	Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	1/13	0.0038940964853966	0.0359122231431028	0	0	333.03333333333336	1847.7667100463036	CHEK2
GO_Biological_Process_2021	negative regulation of TORC1 signaling (GO:1904262)	1/14	0.0041931197986946	0.0265946867311354	0	0	307.4	1682.8029678019434	STK11
GO_Biological_Process_2021	positive regulation of cardiac muscle cell proliferation (GO:0060045)	1/14	0.0041931197986946	0.0265946867311354	0	0	307.4	1682.8029678019434	GLI1
GO_Biological_Process_2021	cytoplasmic sequestering of transcription factor (GO:0042994)	1/14	0.0041931197986946	0.0265946867311354	0	0	307.4	1682.8029678019434	KEAP1
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	2/350	0.0043723279736053	0.0265946867311354	0	0	28.227011494252874	153.34210224283365	STK11;CHEK2
Reactome_2022	Transcriptional Regulation By TP53 R-HSA-3700989	2/354	0.0044705806428141	0.0361498371660167	0	0	27.900568181818183	150.94868577017542	STK11;CHEK2
KEGG_2021_Human	PI3K-Akt signaling pathway	2/354	0.0044705806428141	0.0456992687932113	0	0	27.900568181818183	150.94868577017542	STK11;KRAS
GO_Biological_Process_2021	mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	1/15	0.0044920683932145	0.0265946867311354	0	0	285.42857142857144	1542.8675927558304	CHEK2
GO_Biological_Process_2021	digestive tract morphogenesis (GO:0048546)	1/16	0.0047909422750142	0.0265946867311354	0	0	266.38666666666666	1422.7786907214238	GLI1
Reactome_2022	FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657	1/16	0.0047909422750142	0.0361498371660167	0	0	266.38666666666666	1422.7786907214238	STK11
GO_Biological_Process_2021	positive regulation of cardiac muscle tissue growth (GO:0055023)	1/17	0.0050897414535705	0.0265946867311354	0	0	249.725	1318.6799159042428	GLI1
GO_Biological_Process_2021	vasculature development (GO:0001944)	1/17	0.0050897414535705	0.0265946867311354	0	0	249.725	1318.6799159042428	STK11
GO_Biological_Process_2021	DNA biosynthetic process (GO:0071897)	1/17	0.0050897414535705	0.0265946867311354	0	0	249.725	1318.6799159042428	POLE
GO_Biological_Process_2021	positive regulation of DNA replication (GO:0045740)	1/17	0.0050897414535705	0.0265946867311354	0	0	249.725	1318.6799159042428	GLI1
GO_Biological_Process_2021	DNA strand elongation involved in DNA replication (GO:0006271)	1/18	0.0053884659389882	0.0265946867311354	0	0	235.0235294117647	1227.644124299904	POLE
GO_Biological_Process_2021	regulation of catabolic process (GO:0009894)	1/18	0.0053884659389882	0.0265946867311354	0	0	235.0235294117647	1227.644124299904	CHEK2
GO_Biological_Process_2021	positive regulation of cell cycle phase transition (GO:1901989)	1/18	0.0053884659389882	0.0265946867311354	0	0	235.0235294117647	1227.644124299904	GLI1
GO_Biological_Process_2021	phosphorylation (GO:0016310)	2/400	0.0056745907193549	0.0271316368769158	0	0	24.618090452261303	127.31877763874884	STK11;CHEK2
Reactome_2022	Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	1/19	0.0056871157389833	0.0393358838613013	0	0	221.95555555555555	1147.4107993095174	CHEK2
GO_Biological_Process_2021	regulation of cardiac muscle cell proliferation (GO:0060043)	1/21	0.0062841913325394	0.0282788609964274	0	0	199.74	1012.6254955871668	GLI1
GO_Biological_Process_2021	positive regulation of smoothened signaling pathway (GO:0045880)	1/21	0.0062841913325394	0.0282788609964274	0	0	199.74	1012.6254955871668	GLI1
Reactome_2022	PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801	1/21	0.0062841913325394	0.0401221446615979	0	0	199.74	1012.6254955871668	POLE
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	2/437	0.0067407554688947	0.0289059069933739	0	0	22.4816091954023	112.39867728269508	STK11;CHEK2
GO_Biological_Process_2021	nucleotide-excision repair, DNA gap filling (GO:0006297)	1/24	0.0071792448741713	0.0289059069933739	0	0	173.66086956521738	857.2874884567655	POLE
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	1/24	0.0071792448741713	0.0289059069933739	0	0	173.66086956521738	857.2874884567655	STK11
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1/24	0.0071792448741713	0.0289059069933739	0	0	173.66086956521738	857.2874884567655	STK11
Reactome_2022	Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373	1/25	0.007477446810139	0.0406319562104222	0	0	166.41666666666666	814.7533474976135	POLE
Reactome_2022	Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397	1/25	0.007477446810139	0.0406319562104222	0	0	166.41666666666666	814.7533474976135	POLE
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	2/474	0.0078925518649344	0.0308816228573587	0	0	20.680084745762716	100.12957396870486	KRAS;GLI1
GO_Biological_Process_2021	positive regulation of cellular component movement (GO:0051272)	1/27	0.0080736268908127	0.0308816228573587	0	0	153.6	740.2218192098322	STK11
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	2/496	0.0086174371943085	0.0321577534324198	0	0	19.73684210526316	93.8283068636178	STK11;CHEK2
Reactome_2022	Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972	1/29	0.0086695086687213	0.0406319562104222	0	0	142.61428571428573	677.1245223853919	STK11
Reactome_2022	Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314	1/30	0.008967337727522	0.0406319562104222	0	0	137.68965517241378	649.0919521468393	POLE
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	2/511	0.0091286107342145	0.0329034067541997	0	0	19.140471512770137	89.89019568837031	CHEK2;GLI1
Reactome_2022	Activation Of Pre-Replicative Complex R-HSA-68962	1/32	0.0095627722512654	0.0406319562104222	0	0	128.79354838709676	598.8742368950442	POLE
Reactome_2022	Termination Of Translesion DNA Synthesis R-HSA-5656169	1/32	0.0095627722512654	0.0406319562104222	0	0	128.79354838709676	598.8742368950442	POLE
GO_Biological_Process_2021	DNA damage checkpoint signaling (GO:0000077)	1/32	0.0095627722512654	0.0329034067541997	0	0	128.79354838709676	598.8742368950442	CHEK2
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	1/33	0.0098603777426936	0.0329034067541997	0	0	124.7625	576.3067827453115	STK11
KEGG_2021_Human	Base excision repair	1/33	0.0098603777426936	0.0590348913905613	0	0	124.7625	576.3067827453115	POLE
GO_Biological_Process_2021	regulation of TORC1 signaling (GO:1903432)	1/35	0.0104553652553503	0.0329034067541997	0	0	117.41176470588236	535.4727918518732	STK11
GO_Biological_Process_2021	smoothened signaling pathway (GO:0007224)	1/35	0.0104553652553503	0.0329034067541997	0	0	117.41176470588236	535.4727918518732	GLI1
GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	1/35	0.0104553652553503	0.0329034067541997	0	0	117.41176470588236	535.4727918518732	POLE
GO_Biological_Process_2021	positive regulation of cell cycle G1/S phase transition (GO:1902808)	1/35	0.0104553652553503	0.0329034067541997	0	0	117.41176470588236	535.4727918518732	GLI1
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	1/36	0.010752747305294	0.0406319562104222	0	0	114.05142857142856	516.9488201244333	CHEK2
KEGG_2021_Human	DNA replication	1/36	0.010752747305294	0.0590348913905613	0	0	114.05142857142856	516.9488201244333	POLE
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/36	0.010752747305294	0.0329034067541997	0	0	114.05142857142856	516.9488201244333	STK11
GO_Biological_Process_2021	regulation of cell cycle G1/S phase transition (GO:1902806)	1/36	0.010752747305294	0.0329034067541997	0	0	114.05142857142856	516.9488201244333	GLI1
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0110500548998867	0.0590348913905613	0	0	110.87777777777778	499.5398567734965	KRAS
KEGG_2021_Human	Thyroid cancer	1/37	0.0110500548998867	0.0590348913905613	0	0	110.87777777777778	499.5398567734965	KRAS
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	1/37	0.0110500548998867	0.0406319562104222	0	0	110.87777777777778	499.5398567734965	CHEK2
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	1/38	0.0113472880561394	0.0329925992272253	0	0	107.87567567567568	483.15104128778233	POLE
GO_Biological_Process_2021	negative regulation of TOR signaling (GO:0032007)	1/38	0.0113472880561394	0.0329925992272253	0	0	107.87567567567568	483.15104128778233	STK11
Reactome_2022	Resolution Of Abasic Sites (AP Sites) R-HSA-73933	1/38	0.0113472880561394	0.0406319562104222	0	0	107.87567567567568	483.15104128778233	POLE
GO_Biological_Process_2021	DNA integrity checkpoint signaling (GO:0031570)	1/39	0.0116444467860795	0.0329925992272253	0	0	105.03157894736842	467.6978364624713	CHEK2
GO_Biological_Process_2021	positive regulation of intracellular transport (GO:0032388)	1/39	0.0116444467860795	0.0329925992272253	0	0	105.03157894736842	467.6978364624713	STK11
Reactome_2022	Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313	1/39	0.0116444467860795	0.0406319562104222	0	0	105.03157894736842	467.6978364624713	POLE
GO_Biological_Process_2021	digestive tract development (GO:0048565)	1/40	0.0119415311049953	0.0332191683466234	0	0	102.33333333333331	453.1046714729428	GLI1
Reactome_2022	Dual Incision In GG-NER R-HSA-5696400	1/41	0.0122385410272356	0.0406319562104222	0	0	99.77	439.3037926149688	POLE
KEGG_2021_Human	Bladder cancer	1/41	0.0122385410272356	0.0590348913905613	0	0	99.77	439.3037926149688	KRAS
