Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	6/140	5.018318796123505e-10	2.278316733440072e-07	0	0	98.76119402985074	2114.749345437392	PTPRT;ALK;PTPRD;ERBB4;FLT4;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	6/404	2.8081013788884e-07	6.374390130076669e-05	0	0	32.80904522613066	494.9437081750908	PTPRT;ALK;ERBB4;HGF;FLT4;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	4/94	6.002290393201637e-07	9.083466128378478e-05	0	0	80.38383838383838	1151.5752130205044	ALK;ERBB4;FLT4;EPHA3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	5/253	8.430359949087082e-07	9.568458542213838e-05	0	0	39.792338709677416	556.5458432453863	ALK;ERBB4;HGF;FLT4;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	4/114	1.301887535434557e-06	0.0001182113882174578	0	0	65.70247933884298	890.3799867766476	ALK;ERBB4;FLT4;EPHA3
KEGG_2021_Human	MAPK signaling pathway	5/294	1.7657153567913048e-06	0.0001094743521210609	0	0	34.07612456747405	451.4048767383264	ERBB4;HGF;FLT4;NF1;TP53
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	4/148	3.688381093806607e-06	0.0002790875027646999	0	0	50.10353535353536	626.811406914133	ALK;ERBB4;FLT4;EPHA3
GO_Biological_Process_2021	regulation of cell differentiation (GO:0045595)	4/156	4.546433063240403e-06	0.0002948686586730204	0	0	47.44736842105263	583.6580299206646	ALK;ZFHX3;NF1;EPHA3
KEGG_2021_Human	Hepatocellular carcinoma	4/168	6.099850489517388e-06	0.00018909536517503904	0	0	43.9490022172949	527.7064941304836	HGF;KEAP1;TP53;SMARCA4
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	3/56	9.237160024630298e-06	0.0005242088313977694	0	0	94.01886792452832	1089.8926733525557	ERBB4;FLT4;EPHA3
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	1.1000996562012004e-05	0.0019691783846001	0	0	614.7692307692307	7019.142872634003	ZFHX3;TP53
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	3/69	1.7357479428272154e-05	0.000875588406715062	0	0	75.45075757575758	827.0525023432621	ERBB4;FLT4;EPHA3
KEGG_2021_Human	Non-small cell lung cancer	3/72	1.9731332115943736e-05	0.0004077808637295039	0	0	72.15942028985508	781.7248443110266	ALK;HGF;TP53
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	5/511	2.593326413741018e-05	0.0011773701918384	0	0	19.24802371541502	203.25882407697875	ZFHX3;ERBB4;KMT2B;TP53;SMARCA4
KEGG_2021_Human	Pathways in cancer	5/531	3.1179524285258085e-05	0.0004832826264215003	0	0	18.497148288973385	191.921766965029	ALK;HGF;FLT4;KEAP1;TP53
GO_Biological_Process_2021	negative regulation of fibroblast proliferation (GO:0048147)	2/18	7.977048122143578e-05	0.0032923453158665	0	0	192.0096153846154	1811.8712842401887	NF1;TP53
GO_Biological_Process_2021	circulatory system development (GO:0072359)	3/126	0.00010510163594627498	0.003976345226634	0	0	40.36991869918699	369.8119794250224	ERBB4;FLT4;NF1
KEGG_2021_Human	PI3K-Akt signaling pathway	4/354	0.00011286881365981696	0.0013995732893817	0	0	20.4	185.42140083648377	ERBB4;HGF;FLT4;TP53
GO_Biological_Process_2021	positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	3/134	0.0001261456631972178	0.0040934049865143	0	0	37.88931297709924	340.1730277405238	ERBB4;HGF;TP53
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	6/1183	0.00013318590046059752	0.0040934049865143	0	0	10.653072783913906	95.0655144066869	ZFHX3;ERBB4;HGF;KMT2B;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	4/371	0.00013524465814474692	0.0040934049865143	0	0	19.43819668070349	173.16371993172706	ERBB4;HGF;FLT4;TP53
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	5/742	0.0001526914237461234	0.0043326191487962	0	0	13.058344640434193	114.74486934275768	ALK;HGF;FLT4;NF1;TP53
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	4/408	0.00019488192944037885	0.0052044938803489	0	0	17.624662466246626	150.56954776844543	PTPRT;ERBB4;HGF;NF1
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	3/159	0.00020912370612730143	0.0052745645878774	0	0	31.77724358974359	269.235384216227	ALK;ERBB4;FLT4
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	4/424	0.00022581340194968775	0.020210299474497	0	0	16.939393939393938	142.21978997411892	AMER1;ALK;ERBB4;NF1
