Cluster_ID	Gene
0	SF3B1
0	ERCC5
0	IGF1
0	STAT5B
0	PPP2R1A
0	JUN
0	DIS3
0	ZFHX3
0	KLF4
0	BLM
0	FYN
0	CYSLTR2
0	RNF43
0	NCOR1
0	ERBB4
0	RASA1
0	CDK4
0	MAP2K2
0	INHA
0	PALB2
0	PARP1
0	FOXL2
0	RFWD2
0	EPHA3
0	ALB
0	SOS1
0	MSH6
0	RPTOR
0	BRCA1
0	FBXW7
0	PGR
0	BRD4
0	PIK3CG
0	NF2
0	FOXO1
0	ESR1
0	SESN3
0	CDK12
0	AMER1
0	MSH3
0	ERF
0	AR
0	MLH1
0	FGFR3
0	TET1
0	INSR
0	CD79A
0	TERT
0	PMS2
0	GNAS
0	TP63
0	DICER1
0	GNA11
0	MSH2
0	CIC
0	AKT3
0	SHQ1
0	EZH2
0	RXRA
0	EZH1
1	CDK6
1	ARID1A
1	INHBA
1	IL7R
1	ETV1
1	ERBB2
1	PREX2
1	HNF1A
1	SDHD
1	TEK
1	SDHB
1	PTEN
1	STAG2
1	PIK3C3
1	CDK8
1	RTEL1
1	U2AF1
1	CENPA
1	FAM58A
1	LYN
1	DOT1L
1	REST
1	CDKN2A
1	TRAF7
1	SMARCA2
1	POLE
1	MED12
1	MRE11A
1	BIRC3
1	PNRC1
1	RBM10
1	SH2B3
1	BRCA2
1	UPF1
1	NTRK1
1	CCND2
1	SMAD3
1	EIF1AX
1	SMAD2
1	XRCC2
1	CXCR4
1	STK40
1	STAT3
1	GATA3
1	MAPKAP1
1	SRSF2
1	AURKA
1	GATA1
1	ARAF
1	PDGFRA
1	KDM5A
1	PBRM1
1	FAT1
1	HIST1H3D
1	EED
1	PIM1
1	CSF1R
1	DAXX
1	INPP4A
1	BTK
1	WT1
1	RUNX1
1	ARID1B
1	BMPR1A
1	MAPK3
1	ZRSR2
1	IRF4
1	SOX2
1	MALT1
1	XIAP
1	HIST1H3I
1	KDR
1	TCF3
1	HIST1H3F
1	SERPINB4
1	PPM1D
2	RARA
2	KMT2D
2	CDH1
2	GATA2
2	ERG
2	MAP2K4
2	CTNNB1
2	KMT2C
2	PRKD1
2	FLCN
2	RAD51C
2	TSC2
2	STK19
2	RRAS2
2	NOTCH3
2	H3F3C
2	LMO1
2	RAD51B
2	DUSP4
2	MDM2
2	CALR
2	DNAJB1
2	PIK3CA
2	RTEL1-TNFRSF6B
2	SPOP
2	CARD11
2	ARID2
2	PIK3CB
2	POLD1
2	ROS1
2	SLFN11
2	HIST1H3B
2	ACVR1
2	B2M
2	FAM175A
2	BAP1
2	SPRED1
2	ALK
2	HLA-A
2	RAF1
2	IRS1
2	STAT5A
2	FH
2	NFE2L2
2	FGF4
2	GREM1
2	GRIN2A
2	SMYD3
2	MDM4
2	TP53BP1
2	PHOX2B
2	TCF7L2
2	EPAS1
3	EPHA7
3	HGF
3	SMARCB1
3	NOTCH4
3	SMAD4
3	MYC
3	WWTR1
3	PRDM1
3	RIT1
3	PIK3R1
3	TGFBR1
3	TMPRSS2
3	KIT
3	MYCN
3	FLT3
3	XPO1
3	CSF3R
3	FGF19
3	ERRFI1
3	NOTCH2
3	FGFR4
3	RAD50
3	PIK3R2
3	E2F3
3	ERCC2
3	MITF
3	PDGFRB
3	CYLD
3	BCOR
3	PIK3C2G
3	RAC1
3	HIST1H3G
3	RAD54L
3	MAP2K1
3	JAK2
3	DNMT3A
3	SESN2
3	CDKN1A
3	NCOA3
3	FGFR1
3	HRAS
3	JAK1
3	MLL2
3	CREBBP
3	APC
3	BARD1
3	PTPRT
3	FGF3
3	SMO
3	MLL3
3	NTRK2
3	KDM5C
3	WHSC1
3	IRS2
3	ATM
3	KLF5
3	IKBKE
3	MDC1
3	MTOR
3	MAX
3	HIST1H3H
3	PTPRS
3	SUFU
3	TNFAIP3
3	NRAS
3	PAK7
3	ERBB3
3	FUBP1
4	HIST1H2BD
4	KDM6A
4	SETDB1
4	AKT1
4	TSHR
4	SYK
4	INPP4B
4	PTPRD
4	NTRK3
4	FOXA1
4	NOTCH1
4	ALOX12B
