Metodo	Cluster_ID	Gene
Girvan-Newman	0	GNAQ
Girvan-Newman	0	HIST1H3I
Girvan-Newman	0	DNMT3A
Girvan-Newman	0	CSF3R
Girvan-Newman	0	MLL2
Girvan-Newman	0	IL7R
Girvan-Newman	0	TP53
Girvan-Newman	0	CYP19A1
Girvan-Newman	0	SMAD3
Girvan-Newman	0	ETV1
Girvan-Newman	0	NOTCH3
Girvan-Newman	0	SYK
Girvan-Newman	0	TSC2
Girvan-Newman	0	AKT3
Girvan-Newman	0	SESN3
Girvan-Newman	0	SOX2
Girvan-Newman	0	ERBB2
Girvan-Newman	0	REL
Girvan-Newman	0	BCOR
Girvan-Newman	0	SMAD4
Girvan-Newman	0	CYLD
Girvan-Newman	0	CRLF2
Girvan-Newman	0	JAK1
Girvan-Newman	0	NTRK2
Girvan-Newman	0	FLCN
Girvan-Newman	0	ZRSR2
Girvan-Newman	0	RNF43
Girvan-Newman	0	BCL2
Girvan-Newman	0	RAD51B
Girvan-Newman	0	RAD54L
Girvan-Newman	0	SESN2
Girvan-Newman	0	ARID2
Girvan-Newman	0	ZNRF3
Girvan-Newman	0	HRAS
Girvan-Newman	0	SHQ1
Girvan-Newman	0	TRAF7
Girvan-Newman	0	PDGFRA
Girvan-Newman	0	DOT1L
Girvan-Newman	0	PIK3CB
Girvan-Newman	0	MYC
Girvan-Newman	0	XIAP
Girvan-Newman	0	CHEK2
Girvan-Newman	0	MAPK3
Girvan-Newman	0	PIK3R2
Girvan-Newman	0	RB1
Girvan-Newman	0	SPEN
Girvan-Newman	0	SRC
Girvan-Newman	0	PPARG
Girvan-Newman	0	TEK
Girvan-Newman	0	IRS2
Girvan-Newman	0	PLK2
Girvan-Newman	0	MGA
Girvan-Newman	0	KRAS
Girvan-Newman	0	CDKN2A
Girvan-Newman	0	SMARCA4
Girvan-Newman	0	RBM10
Girvan-Newman	0	TAP1
Girvan-Newman	0	ERCC2
Girvan-Newman	0	RET
Girvan-Newman	0	GATA1
Girvan-Newman	0	FOXA1
Girvan-Newman	0	HIST1H3G
Girvan-Newman	0	CCNE1
Girvan-Newman	0	B2M
Girvan-Newman	0	PTPRT
Girvan-Newman	0	PARK2
Girvan-Newman	0	FAT1
Girvan-Newman	0	BABAM1
Girvan-Newman	0	INPPL1
Girvan-Newman	0	RARA
Girvan-Newman	0	YES1
Girvan-Newman	0	CUL3
Girvan-Newman	0	PARP1
Girvan-Newman	0	NTRK1
Girvan-Newman	0	FOXL2
Girvan-Newman	0	IL10
Girvan-Newman	0	MYCN
Girvan-Newman	0	BCL6
Girvan-Newman	0	FOXP1
Girvan-Newman	0	CASP8
Girvan-Newman	0	CEBPA
Girvan-Newman	0	EZH1
Girvan-Newman	0	EIF4E
Girvan-Newman	0	TGFBR1
Girvan-Newman	0	AXIN2
Girvan-Newman	0	PIM1
Girvan-Newman	0	BRD4
Girvan-Newman	0	AKT1
Girvan-Newman	0	SDHA
Girvan-Newman	0	HLA-B
Girvan-Newman	0	MALT1
Girvan-Newman	0	HIST1H1C
Girvan-Newman	0	EIF4A2
Girvan-Newman	0	TCF3
Girvan-Newman	0	IGF1R
Girvan-Newman	0	LMO1
Girvan-Newman	0	FANCA
Girvan-Newman	0	FGF4
Girvan-Newman	0	GATA3
Girvan-Newman	0	ABL1
Girvan-Newman	0	TSC1
Girvan-Newman	0	UPF1
Girvan-Newman	0	SOS1
Girvan-Newman	0	IGF2
Girvan-Newman	0	CDK8
Girvan-Newman	0	RECQL
Girvan-Newman	0	TAP2
Girvan-Newman	0	PIK3CA
Girvan-Newman	0	SLFN11
Girvan-Newman	0	ROS1
Girvan-Newman	0	POLE
Girvan-Newman	0	ALOX12B
Girvan-Newman	0	ERCC4
Girvan-Newman	0	MAP3K13
Girvan-Newman	0	KMT2A
Girvan-Newman	0	EZH2
Girvan-Newman	0	CALR
Girvan-Newman	0	SLX4
Girvan-Newman	0	SMARCB1
Girvan-Newman	0	BARD1
Girvan-Newman	0	FBXW7
Girvan-Newman	0	ATR
Girvan-Newman	0	HLA-A
Girvan-Newman	0	FGFR4
Girvan-Newman	0	GRIN2A
Girvan-Newman	0	PIK3C2G
Girvan-Newman	0	EPAS1
Girvan-Newman	0	BRIP1
Girvan-Newman	0	DIS3
Girvan-Newman	0	ESR1
Girvan-Newman	0	PRKD1
Girvan-Newman	0	CSDE1
Girvan-Newman	0	FLT1
Girvan-Newman	0	ASXL2
Girvan-Newman	0	STAG2
Girvan-Newman	0	MAPKAP1
Girvan-Newman	0	MTOR
Girvan-Newman	0	DNMT1
Girvan-Newman	0	INHA
