Metodo	Cluster_ID	Gene
Infomap	0	MLL
Infomap	0	SOS1
Infomap	0	PPM1D
Infomap	0	TGFBR2
Infomap	0	PALB2
Infomap	0	EIF1AX
Infomap	0	BARD1
Infomap	0	GAB1
Infomap	0	CXCR4
Infomap	0	PARK2
Infomap	0	AKT2
Infomap	0	DUSP4
Infomap	0	NUP93
Infomap	0	ERBB4
Infomap	0	ETV1
Infomap	0	PAX5
Infomap	0	IL10
Infomap	0	PIK3R3
Infomap	0	ALB
Infomap	0	ZRSR2
Infomap	0	AXIN2
Infomap	0	KMT2D
Infomap	0	GATA1
Infomap	0	RUNX1
Infomap	0	PDGFRB
Infomap	0	ARID2
Infomap	0	ERCC3
Infomap	0	PREX2
Infomap	0	RIT1
Infomap	0	TGFBR1
Infomap	0	CEBPA
Infomap	0	TET1
Infomap	0	PMS1
Infomap	0	TCF7L2
Infomap	0	EPHA3
Infomap	0	TP63
Infomap	0	HRAS
Infomap	0	HNF1A
Infomap	0	ALOX12B
Infomap	0	PTPRT
Infomap	0	FLT4
Infomap	0	CTNNB1
Infomap	0	MDM2
Infomap	0	APC
Infomap	0	SETD2
Infomap	0	FGFR1
Infomap	0	FAM58A
Infomap	0	PAK7
Infomap	0	MYCN
Infomap	0	BRAF
Infomap	0	HLA-C
Infomap	0	FBXW7
Infomap	0	NPM1
Infomap	0	NUF2
Infomap	0	VTCN1
Infomap	0	INPPL1
Infomap	0	RECQL4
Infomap	0	DOT1L
Infomap	0	EZH2
Infomap	0	MSH2
Infomap	0	REL
Infomap	0	PIK3CB
Infomap	0	TET2
Infomap	0	IRS2
Infomap	0	PTEN
Infomap	0	GRIN2A
Infomap	0	TP53
Infomap	0	FOXA1
Infomap	0	PMS2
Infomap	0	SRSF2
Infomap	0	FAT1
Infomap	0	CDH1
Infomap	0	RAF1
Infomap	0	TCF3
Infomap	0	RPS6KA4
Infomap	0	SUZ12
Infomap	0	RICTOR
Infomap	0	GATA2
Infomap	0	ANKRD11
