Metodo	Cluster_ID	Gene
Leiden	0	RB1
Leiden	0	HGF
Leiden	0	RECQL
Leiden	0	PREX2
Leiden	0	INHA
Leiden	0	PAK7
Leiden	0	EP300
Leiden	0	FOXL2
Leiden	0	RXRA
Leiden	0	EZH2
Leiden	0	PGR
Leiden	0	DDR2
Leiden	0	IFNGR1
Leiden	0	TP53
Leiden	0	CDKN2A
Leiden	0	SMARCB1
Leiden	0	ATR
Leiden	0	ACVR1
Leiden	0	RNF43
Leiden	0	RAD52
Leiden	0	HIST1H3C
Leiden	0	PTPRS
Leiden	0	PTPRD
Leiden	0	PMS1
Leiden	0	XPO1
Leiden	0	MITF
Leiden	0	SOX2
Leiden	0	MSH2
Leiden	0	IKZF1
Leiden	0	INPPL1
Leiden	0	BRCA1
Leiden	0	SLX4
Leiden	0	TOP1
Leiden	0	FH
Leiden	0	NTRK2
Leiden	0	MLL
Leiden	0	STAT3
Leiden	0	PDGFRB
Leiden	0	MED12
Leiden	0	MUTYH
Leiden	0	FANCA
Leiden	0	CD79A
Leiden	0	FAM175A
Leiden	0	EED
Leiden	0	MST1R
Leiden	0	EPHB1
Leiden	0	LYN
Leiden	0	ERCC5
Leiden	0	AURKA
Leiden	0	PTEN
Leiden	0	TERT
Leiden	0	RASA1
Leiden	0	STK19
Leiden	0	MYC
Leiden	0	RRAS2
Leiden	0	NEGR1
Leiden	0	NFE2L2
Leiden	0	MAP2K2
Leiden	0	TEK
Leiden	0	PARK2
Leiden	0	REST
Leiden	0	TP63
Leiden	0	NUF2
Leiden	0	TAP2
Leiden	0	PIK3R3
Leiden	0	MDM2
Leiden	0	KDM6A
Leiden	0	AXIN2
Leiden	0	SRC
Leiden	0	PLCG2
Leiden	0	IDH1
Leiden	0	WHSC1L1
Leiden	0	ELF3
Leiden	0	SMARCA2
Leiden	0	MAPK1
Leiden	0	HIST1H3B
Leiden	0	CXCR4
Leiden	0	ALOX12B
Leiden	0	PRKCI
Leiden	0	PIK3C3
Leiden	0	NOTCH2
Leiden	0	DROSHA
Leiden	0	TNFAIP3
Leiden	0	CBFB
Leiden	0	CTLA4
Leiden	0	HIST1H3I
Leiden	0	GAB1
Leiden	0	SESN1
Leiden	0	GATA3
Leiden	0	PIK3C2G
Leiden	0	RECQL4
Leiden	0	AR
Leiden	0	FUBP1
Leiden	0	INPP4A
Leiden	0	PHOX2B
Leiden	0	CSDE1
Leiden	0	PBRM1
