Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	35/531	3.3793803544489726e-30	6.4546164769975375e-28	NOTCH3;GSK3B;CEBPA;FLT4;XIAP;EGFR;IGF1R;NRAS;CCND2;CASP8;RXRA;SUFU;EP300;MAPK1;HRAS;JAK3;NTRK1;TCF7L2;SMAD4;SMAD3;IFNGR1;HGF;IGF2;MITF;TRAF2;IGF1;RHOA;APC;CDK4;FGF19;BCL2;MDM2;CTNNB1;PPARG;BIRC3
0	KEGG_2021_Human	Prostate cancer	13/97	1.570493859993898e-15	1.499821636294173e-13	GSK3B;TCF7L2;TMPRSS2;IGF1;EGFR;IGF1R;NRAS;BCL2;MDM2;EP300;MAPK1;CTNNB1;HRAS
0	GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	23/546	1.889376206321828e-15	3.346085261395957e-12	NTRK1;TCF7L2;HGF;PLK2;FLT4;IGF2;TRAF2;ALOX12B;IGF1;PIK3CG;RHOA;EGFR;IGF1R;TRAF7;CASP8;AXL;FGF19;BCL2;EP300;RICTOR;HRAS;CARD11;BIRC3
0	KEGG_2021_Human	Hepatocellular carcinoma	15/168	4.5372229093263336e-15	2.888698585604433e-13	GSK3B;TCF7L2;SMAD4;SMAD3;HGF;IGF2;EGFR;IGF1R;NRAS;APC;CDK4;MAPK1;CTNNB1;ARID2;HRAS
0	KEGG_2021_Human	PI3K-Akt signaling pathway	19/354	9.411805760354588e-15	3.9160730051139143e-13	NTRK1;GSK3B;HGF;FLT4;IGF2;IGF1;PIK3CG;EGFR;IGF1R;NRAS;CCND2;RXRA;CDK4;FGF19;BCL2;MDM2;MAPK1;HRAS;JAK3
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	14/143	1.0791917688098166e-14	3.9160730051139143e-13	GSK3B;SMAD4;SMAD3;SETDB1;IGF1;KLF4;IGF1R;NRAS;APC;MAPK1;CTNNB1;TCF3;HRAS;JAK3
0	KEGG_2021_Human	Colorectal cancer	12/86	1.2301800016064652e-14	3.9160730051139143e-13	GSK3B;TCF7L2;NRAS;SMAD4;SMAD3;APC;BCL2;MAPK1;CTNNB1;HRAS;RHOA;EGFR
0	KEGG_2021_Human	Breast cancer	14/147	1.5919486323856433e-14	4.3437455540808266e-13	NOTCH3;GSK3B;TCF7L2;FLT4;IGF1;EGFR;IGF1R;NRAS;APC;CDK4;FGF19;MAPK1;CTNNB1;HRAS
0	KEGG_2021_Human	Gastric cancer	14/149	1.9251876979554148e-14	4.596385628868553e-13	GSK3B;TCF7L2;SMAD4;SMAD3;HGF;EGFR;NRAS;RXRA;APC;FGF19;BCL2;MAPK1;CTNNB1;HRAS
0	KEGG_2021_Human	Melanoma	11/72	5.814660266611676e-14	1.234000123247589e-12	NRAS;CDK4;HGF;FGF19;MDM2;MAPK1;MITF;IGF1;HRAS;EGFR;IGF1R
0	KEGG_2021_Human	FoxO signaling pathway	13/131	8.538118362108972e-14	1.6307806071628136e-12	SMAD4;SMAD3;PLK2;IGF1;EGFR;IGF1R;NRAS;CCND2;BCL6;MDM2;EP300;MAPK1;HRAS
0	GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	24/742	1.4028269420078377e-13	7.776785084812375e-11	FOXA1;NTRK1;GSK3B;HGF;PLK2;FLT4;XIAP;TRAF2;IGF1;GATA1;EGFR;IGF1R;CCND2;CASP8;BCL6;APC;AXL;WT1;ALB;BCL2;NF1;CTNNB1;JAK3;BIRC3
