Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	AKT3	3	0.06446044835553345	1.8015318619385634	0.1293540378242773
ABL1	ALK	8	0.011486358903988128	1.524721128205841	0.05181031454235763
ABL1	AMER1	10	0.00048601389945059764	2.0386895879764473	0.009067359741995617
ABL1	ANKRD11	2	0.5161727492437238	0.2331557628136211	0.5493962731856838
ABL1	APC	2	0.7812766726747199	-0.5209848819657681	0.7980888292813514
ABL1	AR	8	0.0003852876755037328	2.3799971511428923	0.00802625830208661
ABL1	ARAF	3	0.06742812359219877	1.7725555713050878	0.1327726541314083
ABL1	ARID1A	10	0.00997555108516709	1.3847498298557734	0.048055632598201566
ABL1	ARID1B	7	0.004951116151824823	1.8934318205683773	0.033005791464888516
ABL1	ARID2	11	0.00012312274869649283	2.183824551554768	0.004065056187822045
ABL1	ASXL1	3	0.1549874800671465	1.2063562714120537	0.22176376492159142
ABL1	ASXL2	4	0.03455513366746634	1.8112460743599608	0.09119146261571275
ABL1	ATM	14	0.000581873951269809	1.6735876136873904	0.010019554709850793
ABL1	ATR	9	0.00035954981529076873	2.23166874602515	0.007710859865115747
ABL1	ATRX	8	0.018071930413711027	1.3963965015660302	0.06540822680282168
ABL1	AXIN1	3	0.06155560822905281	1.8310852311699402	0.1257997271775414
ABL1	AXIN2	4	0.012308530203246005	2.300123724569014	0.05367946400103516
ABL1	AXL	3	0.03396217711947231	2.2023372585444543	0.09053413295810304
ABL1	B2M	3	0.013497179009680362	2.7546853449374824	0.056428135145151354
ABL1	BCL6	4	0.0029709001820111855	2.9377898621379055	0.025209814139890506
ABL1	BCOR	2	0.7070237358175997	-0.29692350508500337	0.7276618537651083
ABL1	BRAF	9	0.009944603579630505	1.4658593114497007	0.04791850042741163
ABL1	BRCA1	9	8.04066346160339e-05	2.545344913303043	0.0032725142115271697
ABL1	BRCA2	5	0.07544457010296782	1.2338048861498163	0.1416959130143592
ABL1	BRD4	2	0.2500703977795949	1.1078243634408418	0.30932607499826376
ABL1	BRIP1	2	0.3283756070832663	0.8084795913643945	0.37966413510511243
ABL1	BTK	4	0.04455683976926161	1.6850543573745953	0.10482513897038866
ABL1	CARD11	6	0.01745987710103095	1.658963082164933	0.06419011133018435
ABL1	CASP8	3	0.022448839491165853	2.452696964259889	0.07293640162031949
ABL1	CBL	3	0.050580687742244085	1.95556892588954	0.11268132918014463
ABL1	CCND1	2	0.03461552174382868	2.9442539224209905	0.0912635888606706
ABL1	CD79A	2	0.030886161085476812	3.0441926397071395	0.08592897624573213
ABL1	CD79B	2	0.06023976623282926	2.4564064654196347	0.12461524491433235
ABL1	CDC73	3	0.050580687742244085	1.95556892588954	0.11268132918014463
ABL1	CDK12	2	0.35412642129623384	0.7206867750084739	0.4030554928166293
ABL1	CDKN2A	9	0.052590757336467765	1.0046868242558127	0.11506079094039512
ABL1	CDKN2C	2	0.04256433634858073	2.7628752513580106	0.10207584418993848
ABL1	CHEK1	2	0.055614335582247466	2.527199513767253	0.118747971472115
ABL1	CIC	4	0.04455683976926161	1.6850543573745953	0.10482513897038866
ABL1	CREBBP	6	0.032206187732540754	1.4399773956017692	0.08808743538940413
ABL1	CSDE1	2	0.15419434714920216	1.593915784999309	0.22115079149225045
ABL1	CSF1R	6	0.0020320386183850666	2.359823145583866	0.02040138857831275
ABL1	CSF3R	3	0.06155560822905281	1.8310852311699402	0.1257997271775414
ABL1	CTCF	3	0.050580687742244085	1.95556892588954	0.11268132918014463
ABL1	CTLA4	2	0.06499296450010651	2.38888843609705	0.12987558440853203
ABL1	CUL3	2	0.4168924200882346	0.5213319153959195	0.4599217309116991
ABL1	CYLD	4	0.006307789876006666	2.603341030036011	0.037610630863481306
ABL1	DAXX	2	0.10138092235868748	1.9875090558168031	0.1692346285800674
ABL1	DDR2	4	0.07836130995872741	1.3925747023230692	0.1448770109461009
ABL1	DICER1	7	0.0016961430619539153	2.1930152629349164	0.018463389572888407
ABL1	DIS3	4	0.05204154077771759	1.6064524833218872	0.11441590917716198
ABL1	DNMT1	3	0.04304660237479736	2.056323606729616	0.10278275261543203
ABL1	DNMT3A	5	0.01227709480770511	1.991416153779305	0.053607552084912885
ABL1	DNMT3B	6	0.00022007599881172872	3.028325268324854	0.00585363836583661
ABL1	DOT1L	5	0.060687043281695885	1.3325476776697445	0.12510911359989946
ABL1	DROSHA	3	0.17640712947822504	1.1111955442792836	0.24122537185920417
ABL1	E2F3	2	0.06023976623282926	2.4564064654196347	0.12461524491433235
ABL1	EGFR	8	0.9629464414468368	-0.8402468036149789	0.9697803174405958
ABL1	EIF4A2	2	0.1183664705776298	1.8442754907147436	0.18630398210871077
ABL1	ELF3	2	0.17282562984184127	1.4830736583262631	0.2379805778370047
ABL1	EP300	7	0.004314533455598124	1.9328104734863596	0.030760555821508235
ABL1	EPHA3	10	0.0035490533434454755	1.6216848087761044	0.0277286248922298
ABL1	EPHA5	11	0.0019526674912705715	1.6634252077007932	0.019934144812669828
ABL1	EPHA7	11	1.2924126027627635e-05	2.574614622181595	0.0010685902383752123
ABL1	EPHB1	11	2.963361105886709e-05	2.4332019547383563	0.001762077039158608
ABL1	ERBB2	2	0.6794474712417804	-0.21834090868860473	0.701735073790321
ABL1	ERBB3	2	0.21752475599575774	1.2528180097906574	0.27991670733160207
ABL1	ERBB4	9	0.0033868167923269033	1.72957412437072	0.026961136740667996
ABL1	ERCC3	2	0.1360076714200855	1.7137768901779438	0.2036633781095742
ABL1	ERCC4	3	0.03836537463768131	2.1275250342995857	0.09651738867679317
ABL1	ERF	2	0.046770487350973194	2.68000970935413	0.10769672379373067
ABL1	ERG	3	0.019181070481295262	2.546616189071673	0.06718854795074305
ABL1	ESR1	3	0.06155560822905281	1.8310852311699402	0.1257997271775414
ABL1	ETAA1	2	0.005980569865480681	4.53324180254184	0.03653899921783296
ABL1	ETV6	2	0.17282562984184127	1.4830736583262631	0.2379805778370047
ABL1	EZH2	2	0.06986820296122427	2.3243541521421776	0.1358023825549557
ABL1	FAM46C	2	0.03461552174382868	2.9442539224209905	0.0912635888606706
ABL1	FAM58A	2	0.03461552174382868	2.9442539224209905	0.0912635888606706
ABL1	FANCA	6	0.001433480954331831	2.4672222317926513	0.016773403751593922
ABL1	FAT1	11	0.009680733769571946	1.324756269740376	0.04728162801054087
ABL1	FBXW7	2	0.36051536593320804	0.6995188815885719	0.4087808889557453
ABL1	FGF3	2	0.16036009945841911	1.556035315257654	0.22644731501206875
ABL1	FGFR1	3	0.040671470300933814	2.0914951318714086	0.09979596702767976
ABL1	FGFR2	2	0.13006141990019118	1.7560023742165454	0.19801081585278363
ABL1	FGFR3	4	0.0029709001820111855	2.9377898621379055	0.025209814139890506
ABL1	FH	4	0.010746186115021558	2.3623377426355323	0.049905054462949475
ABL1	FLT1	10	0.00013381675371398452	2.291424263383672	0.004273805945830992
ABL1	FLT4	5	0.05399272217197879	1.384392181834016	0.11685672016648174
ABL1	FOXA1	2	0.0904803867326785	2.091411687916468	0.1578989360525819
ABL1	FOXF1	2	0.020761923195885483	3.3933243991865636	0.07010167769995511
ABL1	FOXL2	2	0.269694692403922	1.027167100245979	0.32692097660376673
ABL1	FUBP1	2	0.1854476191363671	1.4135485799319985	0.2498650827446597
ABL1	FYN	3	0.014812406036085949	2.6998331614616133	0.05901073815351792
ABL1	GAB1	2	0.014972492469928397	3.6836360917600794	0.05938836392720732
ABL1	GATA1	4	0.008653912557882932	2.460854294710355	0.04444053527377085
ABL1	GATA2	5	0.0016168098411549563	2.740628808256791	0.01796265858504693
ABL1	GATA3	4	0.028700319703084565	1.9016905866511653	0.08264610156982247
ABL1	GLI1	6	0.007472223000967157	1.9455318606356378	0.041170786183767544
ABL1	GNAS	3	0.0766994758271881	1.6888713059651612	0.14317378597128524
ABL1	GRIN2A	10	0.004332266980601918	1.5773089281777208	0.030837541805358866
ABL1	GSK3B	2	0.06986820296122427	2.3243541521421776	0.1358023825549557
ABL1	H3F3C	2	0.0904803867326785	2.091411687916468	0.1578989360525819
ABL1	HGF	6	0.09267074779120693	1.0238186195181158	0.16033974599457473
ABL1	HIST1H1C	2	0.20461902723260125	1.3150320278571757	0.2679130816905776
ABL1	HIST1H3D	2	0.046770487350973194	2.68000970935413	0.10769672379373067
ABL1	HIST1H3G	2	0.030886161085476812	3.0441926397071395	0.08592897624573213
ABL1	HIST1H3H	3	0.0020004857666877577	3.8758122844230747	0.020220253722485138
ABL1	HIST1H3I	2	0.012388894436064475	3.8539634624814996	0.05386268985047223
ABL1	HNF1A	2	0.23050485816597388	1.1931103883934184	0.29163273519082966
ABL1	HOXB13	2	0.12417966034044572	1.7994762906177342	0.19212176786143806
ABL1	HRAS	2	0.038510493773080676	2.8507413616650332	0.09673325117983046
