Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	EGFR	26	1207	714	1711	1.0024105794572035e-108	-4.275926462153616	5.132342166820882e-106
KRAS	TP53	464	769	1554	871	1.7931077803386723e-52	-1.5641006726431	4.590355917667001e-50
KRAS	ERBB2	6	1227	126	2299	1.3344190822132473e-16	-3.4864462057234853	2.2774085669772753e-14
KRAS	PTEN	16	1217	105	2320	1.7009063469175016e-07	-1.7834498803649166	1.847717428065577e-05
KRAS	BRAF	38	1195	172	2253	1.80441155084529e-07	-1.2635005458911954	1.847717428065577e-05
KRAS	MET	32	1201	150	2275	5.436599748728247e-07	-1.307188296228094	4.6392317855814374e-05
KRAS	RASA1	16	1217	91	2334	7.904679647369236e-06	-1.5683192472050764	0.0005781708542075784
KRAS	NF1	68	1165	230	2195	1.3259861942963379e-05	-0.8441362248129579	0.0008486311643496563
KRAS	RB1	40	1193	151	2274	5.045257128559269e-05	-0.9858384332406966	0.0028701907220248287
KRAS	ROS1	23	1210	92	2333	0.0007476349345601269	-1.0528207401777576	0.0382789086494785
KRAS	CDKN2A	73	1160	207	2218	0.002604482037839744	-0.5685278384725325	0.12122680030672263
KRAS	FOXL2	10	1223	48	2377	0.004025003082627933	-1.3043169064187459	0.17173346485879182
KRAS	SPEN	23	1210	82	2343	0.005176707600001221	-0.8806401418598923	0.20388263778466345
KRAS	PTPN11	3	1230	24	2401	0.0072445674949167226	-2.035022911996186	0.25305661657158807
KRAS	CTNNB1	23	1210	80	2345	0.0074137680636207435	-0.8437852635895675	0.25305661657158807
KRAS	FAM46C	1	1232	16	2409	0.008780874255279868	-3.032567862456431	0.264459271688429
KRAS	PRKAR1A	1	1232	16	2409	0.008780874255279868	-3.032567862456431	0.264459271688429
KRAS	SOX2	5	1228	29	2396	0.011199413327689442	-1.5717355528216035	0.31856109020983303
KRAS	RIT1	1	1232	15	2410	0.012570146162265178	-2.9388597051860956	0.3387323597410406
KRAS	NFE2L2	29	1204	91	2334	0.014101629892774475	-0.6948444761234781	0.36100172525502655
KRAS	KMT2C	54	1179	149	2276	0.015468200207999239	-0.5153441789718738	0.3743062273854502
KRAS	LATS1	13	1220	50	2375	0.016083470707968565	-0.9823701059782085	0.3743062273854502
KRAS	ANKRD11	23	1210	75	2350	0.017404580754991652	-0.7476030251484628	0.387403068279616
KRAS	NRAS	7	1226	33	2392	0.018294522946939416	-1.272780786793526	0.387403068279616
KRAS	KMT2D	82	1151	210	2215	0.018916165443340627	-0.4122746477378887	0.387403068279616
KRAS	CASP8	6	1227	29	2396	0.024086550922495172	-1.3075258352805352	0.46162762167413685
KRAS	RPS6KA4	10	1223	40	2385	0.02434364411172206	-1.036435137634513	0.46162762167413685
KRAS	MLL2	9	1224	37	2388	0.026009122000701698	-1.0753290856144841	0.47559537372711674
KRAS	SRC	3	1230	19	2406	0.03202080349045208	-1.6949866857729552	0.5464883795703822
KRAS	SMARCD1	3	1230	19	2406	0.03202080349045208	-1.6949866857729552	0.5464883795703822
KRAS	CSF3R	11	1222	41	2384	0.03394972912275254	-0.9339804353373543	0.5607181068015904
KRAS	STK19	1	1232	12	2413	0.036108811872059075	-2.6151368412003064	0.5748169851699247
KRAS	INPP4A	12	1221	43	2382	0.03792344698133784	-0.877192041104231	0.5748169851699247
KRAS	DDR2	23	1210	70	2355	0.038171440421440314	-0.6450010485497648	0.5748169851699247
KRAS	PIK3CB	9	1224	35	2390	0.03968470298669413	-0.993950955327195	0.580530512262497
KRAS	CCND1	2	1231	15	2410	0.040989685464655014	-1.937688210975652	0.5829644154973157
KRAS	CDK12	17	1216	54	2371	0.048658274126682624	-0.7040722268747067	0.6217044574613771
KRAS	SESN1	1	1232	11	2414	0.05089386691251667	-2.489008198577177	0.6217044574613771
KRAS	PIK3R3	1	1232	11	2414	0.05089386691251667	-2.489008198577177	0.6217044574613771
KRAS	SH2D1A	1	1232	11	2414	0.05089386691251667	-2.489008198577177	0.6217044574613771
KRAS	KDM6A	14	1219	46	2379	0.05442941404862844	-0.7515498881944861	0.6217044574613771
KRAS	JAK1	10	1223	36	2389	0.0544822182358356	-0.8820144566260045	0.6217044574613771
KRAS	CD79A	2	1231	14	2411	0.05550003506284739	-1.8375540329395352	0.6217044574613771
KRAS	RRAS	2	1231	14	2411	0.05550003506284739	-1.8375540329395352	0.6217044574613771
KRAS	LZTR1	2	1231	14	2411	0.05550003506284739	-1.8375540329395352	0.6217044574613771
KRAS	CDH1	7	1226	28	2397	0.05707052636852485	-1.0327290700416485	0.6217044574613771
KRAS	MAP2K1	7	1226	28	2397	0.05707052636852485	-1.0327290700416485	0.6217044574613771
KRAS	NEGR1	13	1220	43	2382	0.05973711391641173	-0.7605327711471405	0.6371958817750585
KRAS	SUZ12	6	1227	25	2400	0.06150380945508191	-1.0909945322205927	0.642652049816366
KRAS	TAP1	4	1229	19	2406	0.07006301091233876	-1.2787757866401708	0.7025742716831173
KRAS	FBXW7	18	1215	54	2371	0.070725424624642	-0.6204231517322916	0.7025742716831173
KRAS	HIST1H3A	1	1232	10	2415	0.0713551994678166	-2.350907161859128	0.7025742716831173
KRAS	HIST1H3H	2	1231	13	2412	0.07467120280001148	-1.7300405727254646	0.7213519968604882
KRAS	DICER1	27	1206	74	2351	0.07939263782021795	-0.4915212317125446	0.7527598252583628
KRAS	TSC2	21	1212	60	2365	0.08186955271132469	-0.5501226880759517	0.7527692306038166
KRAS	TAP2	5	1228	21	2404	0.08306760629970586	-1.101262992550392	0.7527692306038166
KRAS	SOS1	11	1222	36	2389	0.08603395187724487	-0.7433308141674124	0.7527692306038166
KRAS	TRAF2	7	1226	26	2399	0.08674489180786168	-0.9246106174808351	0.7527692306038166
KRAS	MAP2K4	7	1226	26	2399	0.08674489180786168	-0.9246106174808351	0.7527692306038166
KRAS	RNF43	10	1223	33	2392	0.09493243766470662	-0.7546730388003727	0.7975844056602495
KRAS	AKT1	6	1227	23	2402	0.09502470458061565	-0.9694985532931275	0.7975844056602495
KRAS	CREBBP	39	1194	99	2326	0.09768862836456872	-0.38190614100894804	0.8067189955267611
KRAS	NOTCH2	31	1202	81	2344	0.10087157938203273	-0.42211801878668703	0.8197817245015994
KRAS	STAT3	7	1226	25	2400	0.10600387004241484	-0.8674258409120212	0.8480309603393187
