Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	32	1.0	0.7542	1.0	0.0988
KEAP1	12	0.375	0.0446	0.6154	0.2576
GLI1	10	0.3125	0.0268	0.5926	0.2889
AMER1	8	0.25	0.017	0.5714	0.2857
POLE	7	0.2188	0.011	0.5614	0.381
FLT1	7	0.2188	0.0068	0.5614	0.5238
STK11	7	0.2188	0.0092	0.5614	0.4286
PDCD1	6	0.1875	0.0037	0.5517	0.5333
RBM10	6	0.1875	0.0082	0.5517	0.4
ATM	6	0.1875	0.0061	0.5517	0.4667
SOX17	6	0.1875	0.0016	0.5517	0.7333
INHBA	5	0.1562	0.003	0.5424	0.6
CHEK2	5	0.1562	0.003	0.5424	0.5
U2AF1	5	0.1562	0.0012	0.5424	0.7
PALB2	4	0.125	0.0005	0.5333	0.8333
PRDM14	4	0.125	0.0017	0.5333	0.6667
NUF2	3	0.0938	0.0005	0.5246	0.6667
IDH1	3	0.0938	0.001	0.5246	0.6667
STAG2	3	0.0938	0.0005	0.5246	0.6667
ETV1	3	0.0938	0.0005	0.5246	0.6667
GATA3	2	0.0625	0.0	0.5161	1.0
REL	2	0.0625	0.0	0.5161	1.0
EZH1	2	0.0625	0.0	0.5161	1.0
TRAF7	2	0.0625	0.0	0.5161	1.0
FOXP1	2	0.0625	0.0	0.5161	1.0
HIST1H3E	2	0.0625	0.0	0.5161	1.0
CCNE1	2	0.0625	0.0	0.5161	1.0
FOXA1	1	0.0312	0.0	0.5079	0.0
MAX	1	0.0312	0.0	0.5079	0.0
MRE11A	1	0.0312	0.0	0.5079	0.0
DNMT3B	1	0.0312	0.0	0.5079	0.0
ERG	1	0.0312	0.0	0.5079	0.0
NKX2-1	1	0.0312	0.0	0.5079	0.0
