Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	KRAS	1.0	0.8976	1.0
0	POLE	0.2857	0.0238	0.5833
0	FBXW7	0.1905	0.0071	0.5526
0	AMER1	0.1429	0.0024	0.5385
0	ATM	0.1429	0.0024	0.5385
0	AXIN2	0.1429	0.0024	0.5385
0	NFE2L2	0.1429	0.0024	0.5385
0	CCNE1	0.0952	0.0	0.525
0	DNMT3B	0.0952	0.0	0.525
0	ETV1	0.0952	0.0	0.525
0	HIST1H3E	0.0952	0.0	0.525
0	JAK3	0.0952	0.0	0.525
0	NEGR1	0.0952	0.0	0.525
0	PALB2	0.0952	0.0	0.525
0	PRDM14	0.0952	0.0	0.525
0	SLX4	0.0952	0.0	0.525
0	TGFBR2	0.0952	0.0	0.525
0	ERG	0.0476	0.0	0.5122
0	JAK2	0.0476	0.0	0.5122
0	MAX	0.0476	0.0	0.5122
0	MRE11A	0.0476	0.0	0.5122
0	NKX2-1	0.0476	0.0	0.5122
1	PREX2	0.8571	0.5952	0.875
1	GLI1	0.5714	0.119	0.7
1	FLT1	0.4286	0.0476	0.5385
1	SOX17	0.4286	0.0476	0.6364
1	FOXP1	0.2857	0.0	0.5833
1	GATA3	0.2857	0.0	0.5385
1	IDH1	0.2857	0.0	0.5385
1	NUF2	0.2857	0.0476	0.5833
2	KEAP1	0.8571	0.4286	0.875
2	STK11	0.8571	0.3333	0.875
2	INHBA	0.4286	0.0476	0.6364
2	CHEK2	0.2857	0.0	0.5833
2	ERCC5	0.2857	0.0	0.5385
2	PDCD1	0.2857	0.0	0.5833
2	STAG2	0.2857	0.0	0.5833
2	REL	0.1429	0.0	0.5
