Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	TP53	0.7374	0.2535	0.7857
0	PTPRD	0.6162	0.0914	0.7226
0	EPHA3	0.5758	0.0929	0.6689
0	ERBB4	0.5051	0.0543	0.6556
0	EPHB1	0.4949	0.0626	0.66
0	PAK7	0.404	0.0314	0.6226
0	BRCA1	0.3939	0.0263	0.6188
0	KMT2B	0.3434	0.036	0.5964
0	PGR	0.3434	0.0215	0.5964
0	FLT3	0.3333	0.0111	0.5723
0	TET1	0.3232	0.016	0.5893
0	AMER1	0.3131	0.0153	0.5824
0	KMT2C	0.2828	0.0319	0.5723
0	DICER1	0.2626	0.0077	0.5625
0	NOTCH2	0.2626	0.03	0.5657
0	PARP1	0.2626	0.0133	0.5625
0	TBX3	0.2626	0.0063	0.5593
0	RASA1	0.2525	0.0077	0.569
0	NTRK2	0.2424	0.0045	0.5531
0	TP63	0.2424	0.0103	0.5593
0	IRS2	0.2323	0.0247	0.538
0	MLL2	0.2323	0.0062	0.55
0	TERT	0.2323	0.0077	0.55
0	BRAF	0.2222	0.0062	0.5351
0	PARK2	0.2222	0.0044	0.55
0	ATR	0.2121	0.0059	0.544
0	FBXW7	0.2121	0.0048	0.5562
0	WHSC1	0.2121	0.0022	0.544
0	DROSHA	0.1919	0.0042	0.547
0	ERCC5	0.1919	0.0027	0.541
0	IKZF1	0.1818	0.0045	0.5351
0	INPPL1	0.1818	0.0019	0.538
0	MYCN	0.1818	0.0016	0.538
0	RECQL4	0.1818	0.0032	0.5351
0	AR	0.1717	0.0034	0.5323
0	DNMT3A	0.1717	0.0024	0.5351
0	MYOD1	0.1717	0.0015	0.541
0	FOXL2	0.1616	0.0022	0.5323
0	MSH6	0.1616	0.0121	0.5156
0	PBRM1	0.1616	0.0032	0.5323
0	PTPRS	0.1616	0.0026	0.5294
0	RB1	0.1616	0.0273	0.5183
0	BRD4	0.1515	0.0016	0.5294
0	DDR2	0.1414	0.0021	0.5266
0	DIS3	0.1414	0.0024	0.5266
0	FUBP1	0.1313	0.0012	0.5
0	RPTOR	0.1313	0.0035	0.5051
0	CSDE1	0.1212	0.0011	0.5211
0	CTCF	0.1212	0.0008	0.5183
0	INPP4A	0.1212	0.0013	0.5211
0	PDGFRB	0.1111	0.0049	0.5103
0	RNF43	0.1111	0.0002	0.5183
0	MUTYH	0.101	0.001	0.513
0	NEGR1	0.101	0.0008	0.5
0	XPO1	0.101	0.0002	0.513
0	IRF4	0.0909	0.0004	0.5103
0	NSD1	0.0909	0.0033	0.5051
0	PAX5	0.0909	0.0004	0.4829
0	SLX4	0.0909	0.0026	0.5077
0	B2M	0.0808	0.0002	0.5
0	JUN	0.0808	0.001	0.4829
0	KDM6A	0.0808	0.0006	0.5025
0	MAP3K1	0.0808	0.0006	0.5
0	MAP3K13	0.0808	0.0015	0.4783
0	NRAS	0.0808	0.0018	0.5051
0	EZH2	0.0707	0.0001	0.4853
0	HIST1H3B	0.0707	0.0	0.5
0	MAP2K2	0.0707	0.0007	0.4829
0	MSH2	0.0707	0.0002	0.5
0	TNFAIP3	0.0707	0.0001	0.5
0	CD79B	0.0606	0.0002	0.4925
0	FGFR3	0.0606	0.0001	0.4714
0	FH	0.0606	0.0002	0.4925
0	INHA	0.0606	0.0001	0.4692
0	AGO2	0.0505	0.0002	0.495
0	GNAS	0.0505	0.0001	0.467
0	INSR	0.0505	0.0	0.4562
0	MLL	0.0505	0.0001	0.4877
0	PIK3CB	0.0505	0.0001	0.4583
0	HLA-B	0.0404	0.0	0.495
0	MCL1	0.0404	0.0002	0.4806
0	NF2	0.0404	0.0002	0.4091
0	VTCN1	0.0404	0.0	0.4853
0	YAP1	0.0404	0.0	0.4737
0	AKT2	0.0303	0.0002	0.45
0	EIF4E	0.0303	0.0	0.4439
0	FAM175A	0.0303	0.0001	0.4583
0	ERRFI1	0.0202	0.0	0.4177
0	ETV6	0.0202	0.0	0.448
0	NKX3-1	0.0202	0.0	0.4439
0	TAP2	0.0202	0.0	0.476
0	TCF7L2	0.0202	0.0	0.3913
0	VEGFA	0.0202	0.0	0.4439
0	CD79A	0.0101	0.0	0.3426
0	GAB1	0.0101	0.0	0.442
0	HIST1H3H	0.0101	0.0	0.3511
0	MDM2	0.0101	0.0	0.3653
0	MYC	0.0101	0.0	0.3626
0	PIK3R3	0.0101	0.0	0.442
0	SRC	0.0101	0.0	0.442
1	NF1	0.5233	0.2698	0.6615
1	FAT1	0.5116	0.2655	0.6667
1	EPHA7	0.3488	0.0954	0.5972
1	ZFHX3	0.3372	0.0841	0.5811
1	CARD11	0.314	0.0611	0.5931
1	KMT2D	0.314	0.0899	0.5584
1	NOTCH3	0.314	0.0633	0.585
1	MDC1	0.2674	0.0513	0.5584
1	MGA	0.2558	0.0751	0.5584
1	FGFR4	0.2326	0.0387	0.5443
1	NCOR1	0.2093	0.0356	0.5584
1	POLD1	0.186	0.0062	0.5342
1	PIK3C3	0.1744	0.0139	0.5375
1	PPP2R1A	0.1744	0.0097	0.5119
1	CIC	0.1628	0.0076	0.5244
1	MLH1	0.1628	0.0158	0.5309
1	CUL3	0.1395	0.0085	0.5119
1	ARAF	0.1163	0.0049	0.4886
1	CDK12	0.1047	0.0123	0.4778
1	LATS2	0.1047	0.0047	0.4914
1	PRKD1	0.1047	0.0069	0.4674
1	BLM	0.093	0.004	0.5089
1	NBN	0.093	0.0035	0.5
1	TP53BP1	0.093	0.0019	0.4725
1	ANKRD11	0.0814	0.0016	0.4886
1	PMS1	0.0814	0.0003	0.4971
1	RFWD2	0.0814	0.0015	0.4479
1	E2F3	0.0581	0.0002	0.4365
1	H3F3C	0.0581	0.0007	0.4859
1	HNF1A	0.0581	0.0009	0.4388
1	IGF2	0.0581	0.0025	0.4526
1	MAP2K4	0.0581	0.0062	0.4599
1	PRDM1	0.0581	0.0003	0.4076
1	TEK	0.0581	0.0	0.4649
1	UPF1	0.0581	0.0008	0.4479
1	CXCR4	0.0465	0.0053	0.4479
1	DUSP4	0.0465	0.0005	0.4599
1	ERBB2	0.0465	0.0015	0.3629
1	FOXO1	0.0465	0.0	0.3927
1	GATA2	0.0465	0.0	0.4599
1	HLA-A	0.0465	0.0005	0.4599
1	IKBKE	0.0465	0.0	0.4526
1	KLF4	0.0465	0.0	0.4649
1	MLL3	0.0465	0.0001	0.4279
1	MSH3	0.0465	0.0006	0.4456
1	RUNX1	0.0465	0.0042	0.4365
1	SOX2	0.0465	0.0	0.4725
1	SPRED1	0.0465	0.0002	0.4649
1	WHSC1L1	0.0465	0.0001	0.4343
1	ACVR1	0.0349	0.0	0.4135
1	ALB	0.0349	0.0002	0.4257
1	BAP1	0.0349	0.0001	0.43
1	FGF19	0.0349	0.0	0.4456
1	FYN	0.0349	0.0	0.4115
1	HOXB13	0.0349	0.0	0.4479
1	PLK2	0.0349	0.0005	0.4343
1	SOS1	0.0349	0.0001	0.4038
1	TRAF7	0.0349	0.0002	0.3927
1	CDK4	0.0233	0.0	0.3963
1	CDK8	0.0233	0.0	0.4574
1	CTR9	0.0233	0.0	0.4574
1	EIF4A2	0.0233	0.0	0.4574
1	HIST1H1C	0.0233	0.0	0.4257
1	HIST1H3D	0.0233	0.0	0.3789
1	LMO1	0.0233	0.0	0.4236
1	PIK3R2	0.0233	0.0	0.4175
1	RTEL1-TNFRSF6B	0.0233	0.0003	0.4076
1	SETDB1	0.0233	0.0	0.4236
1	SMARCD1	0.0233	0.0	0.4322
1	STAT5B	0.0233	0.0	0.4216
1	SUFU	0.0233	0.0	0.3874
1	XRCC2	0.0233	0.0	0.4574
1	BCL2	0.0116	0.0	0.4
1	CDH1	0.0116	0.0	0.4
1	CDKN1A	0.0116	0.0	0.3539
1	EIF1AX	0.0116	0.0	0.3598
1	FAM58A	0.0116	0.0	0.4019
1	GNA11	0.0116	0.0	0.3755
1	HIST1H3A	0.0116	0.0	0.4
1	MSI1	0.0116	0.0	0.4019
1	PIM1	0.0116	0.0	0.3691
1	PNRC1	0.0116	0.0	0.4019
