Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	2.1120948011921038e-11	1.1320828134389676e-08	0	0	94.97129186602872	2334.466130631336	PTPRT;ALK;PTPRD;PDGFRA;EPHA7;NTRK3;EPHA3
KEGG_2021_Human	Hepatocellular carcinoma	6/168	5.483925375645907e-09	4.003265524221512e-07	0	0	61.17283950617284	1163.5957827680431	CDKN2A;HGF;KEAP1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	1.681084855427572e-08	4.505307412545893e-06	0	0	85.96802074330164	1538.9342930087762	ALK;PDGFRA;EPHA7;NTRK3;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	7/404	3.4219932248808645e-08	5.9595830229032456e-06	0	0	31.393405083581406	539.6669973876337	PTPRT;ALK;PDGFRA;EPHA7;HGF;NTRK3;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	4.4474500170919747e-08	5.9595830229032456e-06	0	0	70.12350035285814	1187.0751461107675	ALK;PDGFRA;EPHA7;NTRK3;EPHA3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	6/253	6.311350995894066e-08	6.765768267598438e-06	0	0	39.949392712550605	662.2942550931833	ALK;PDGFRA;EPHA7;HGF;NTRK3;EPHA3
GO_Biological_Process_2021	replicative senescence (GO:0090399)	3/12	1.3396387529464045e-07	1.1967439526321211e-05	0	0	443.8444444444444	7024.147098467642	CDKN2A;ATM;TP53
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	5/148	1.6437485866483706e-07	1.2586417749193236e-05	0	0	53.35933297471759	833.5323457602454	ALK;PDGFRA;EPHA7;NTRK3;EPHA3
KEGG_2021_Human	Non-small cell lung cancer	4/72	4.5464162611763733e-07	1.1062946235529174e-05	0	0	83.67226890756302	1221.929429486313	ALK;CDKN2A;HGF;TP53
KEGG_2021_Human	Melanoma	4/72	4.5464162611763733e-07	1.1062946235529174e-05	0	0	83.67226890756302	1221.929429486313	PDGFRA;CDKN2A;HGF;TP53
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	6/408	1.047769642020129e-06	7.020056601534864e-05	0	0	24.35323383084577	335.3159457857371	PTPRT;PDGFRA;HGF;NTRK3;NF1;ATM
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	3/36	4.289607374823355e-06	0.00048287721086890615	0	0	120.9030303030303	1494.2786783139095	CDKN2A;ATM;TP53
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	3/37	4.665480298250301e-06	0.00048287721086890615	0	0	117.34117647058824	1440.400463498295	CDKN2A;ATM;TP53
KEGG_2021_Human	Pathways in cancer	6/531	4.81614225898802e-06	8.789459622653137e-05	0	0	18.53047619047619	226.87857663921028	ALK;PDGFRA;CDKN2A;HGF;KEAP1;TP53
GO_Biological_Process_2021	regulation of fibroblast proliferation (GO:0048145)	3/46	9.06881635847199e-06	0.0005400983964601096	0	0	92.73953488372094	1076.768024485912	PDGFRA;NF1;TP53
Reactome_2022	Stabilization Of P53 R-HSA-69541	3/56	1.6467610976431543e-05	0.0011362651573737	0	0	75.20377358490566	828.3030165140658	CDKN2A;ATM;TP53
Reactome_2022	p53-Dependent G1 DNA Damage Response R-HSA-69563	3/65	2.5817972916144123e-05	0.0011709334940074	0	0	64.25806451612904	678.8504467854607	CDKN2A;ATM;TP53
GO_Biological_Process_2021	regulation of cell-matrix adhesion (GO:0001952)	3/65	2.5817972916144123e-05	0.0013838433483053	0	0	64.25806451612904	678.8504467854607	CDKN2A;NF1;EPHA3
Reactome_2022	G1/S DNA Damage Checkpoints R-HSA-69615	3/67	2.8283417729648286e-05	0.0011709334940074	0	0	62.24375	651.8934130016395	CDKN2A;ATM;TP53
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	3.226436358007585e-05	0.000413891420361729	0	0	59.44776119402985	614.7818301978358	PDGFRA;NTRK3;TP53
KEGG_2021_Human	p53 signaling pathway	3/73	3.659721153426728e-05	0.000413891420361729	0	0	56.89142857142857	581.1765793492738	CDKN2A;ATM;TP53
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	4/221	3.931169622520706e-05	0.0019155517433373	0	0	26.02369980250165	263.9841107301586	PDGFRA;HGF;NTRK3;ATM
KEGG_2021_Human	Glioma	3/75	3.968821839085072e-05	0.000413891420361729	0	0	55.30555555555556	560.4917293042834	PDGFRA;CDKN2A;TP53
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	3/77	4.294600768615928e-05	0.0019182550099817	0	0	53.8054054054054	541.043851830327	PDGFRA;HGF;NTRK3
Reactome_2022	TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207	2/12	5.022152730310081e-05	0.0017326426919569	0	0	249.65	2471.302024734932	ATM;TP53
GO_Biological_Process_2021	positive regulation of neuron projection development (GO:0010976)	3/88	6.402806649405614e-05	0.0026399264339087	0	0	46.8164705882353	452.0686898000704	ALK;NTRK3;EPHA3
GO_Biological_Process_2021	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	3/92	7.310793154352946e-05	0.0027989893790951	0	0	44.70337078651686	425.73584607558536	EPHA7;HGF;TP53
GO_Biological_Process_2021	regulation of phospholipase C activity (GO:1900274)	2/15	7.977048122143578e-05	0.0028274376152005	0	0	192.0096153846154	1811.8712842401887	PDGFRA;NTRK3
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	4/269	8.44033701421245e-05	0.0028274376152005	0	0	21.25822102425876	199.40005597649105	PDGFRA;HGF;NTRK3;ATM
GO_Biological_Process_2021	cellular response to gamma radiation (GO:0071480)	2/17	0.00010321185160705684	0.0028274376152005	0	0	166.39166666666668	1527.2636618368022	ATM;TP53
GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	3/106	0.00011142962034774952	0.0028274376152005	0	0	38.6	351.34173063651644	PDGFRA;HGF;NTRK3
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	3/106	0.00011142962034774952	0.0028274376152005	0	0	38.6	351.34173063651644	CDKN2A;NF1;TP53
GO_Biological_Process_2021	nucleosome disassembly (GO:0006337)	2/18	0.0001160515439074858	0.0028274376152005	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	chromatin disassembly (GO:0031498)	2/18	0.0001160515439074858	0.0028274376152005	0	0	155.984375	1413.4486893926328	ARID1A;SMARCA4
GO_Biological_Process_2021	negative regulation of fibroblast proliferation (GO:0048147)	2/18	0.0001160515439074858	0.0028274376152005	0	0	155.984375	1413.4486893926328	NF1;TP53
KEGG_2021_Human	MAPK signaling pathway	4/294	0.00011897589910749935	0.0010856550793559	0	0	19.40098522167488	175.3187415530873	PDGFRA;HGF;NF1;TP53
Reactome_2022	Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	2/19	0.00012963563814508892	0.0029800327311759	0	0	146.8014705882353	1313.9880817962558	ATM;TP53
Reactome_2022	SUMOylation Of Transcription Factors R-HSA-3232118	2/19	0.00012963563814508892	0.0029800327311759	0	0	146.8014705882353	1313.9880817962558	CDKN2A;TP53
Reactome_2022	TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	2/20	0.00014396293387323563	0.0029800327311759	0	0	138.63888888888889	1226.393330101256	ATM;TP53
GO_Biological_Process_2021	protein-DNA complex disassembly (GO:0032986)	2/20	0.00014396293387323563	0.0032014796640042	0	0	138.63888888888889	1226.393330101256	ARID1A;SMARCA4
Reactome_2022	Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	2/20	0.00014396293387323563	0.0029800327311759	0	0	138.63888888888889	1226.393330101256	PTPRD;NTRK3
GO_Biological_Process_2021	positive regulation of apoptotic process (GO:0043065)	4/310	0.00014590312594336244	0.0032014796640042	0	0	18.371615312791786	162.26853559374524	EPHA7;NF1;ATM;TP53
KEGG_2021_Human	MicroRNAs in cancer	4/310	0.00014590312594336244	0.001183436465985	0	0	18.371615312791786	162.26853559374524	PDGFRA;CDKN2A;ATM;TP53
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	3/117	0.0001493227455225869	0.0032014796640042	0	0	34.85614035087719	307.0617008363335	PTPRD;NTRK3;EPHA3
GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	2/22	0.00017484233445803956	0.0034360067819067	0	0	124.7625	1079.398480851498	CDKN2A;TP53
KEGG_2021_Human	Cell cycle	3/124	0.0001773210713222144	0.0012944438206521	0	0	32.82809917355372	283.55429898319056	CDKN2A;ATM;TP53
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	3/125	0.0001815792251475176	0.0034360067819067	0	0	32.557377049180324	280.4433366500785	PDGFRA;KEAP1;TP53
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	3/126	0.00018590335200614836	0.0034360067819067	0	0	32.291056910569104	277.3893376442282	CDKN2A;TP53;SMARCA4
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	3/126	0.00018590335200614836	0.0034360067819067	0	0	32.291056910569104	277.3893376442282	CDKN2A;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of neuron apoptotic process (GO:0043525)	2/24	0.00020868016842799032	0.0034953928211688	0	0	113.4090909090909	961.10890422201	EPHA7;NF1
GO_Biological_Process_2021	positive regulation of phospholipase activity (GO:0010518)	2/24	0.00020868016842799032	0.0034953928211688	0	0	113.4090909090909	961.10890422201	PDGFRA;NTRK3
GO_Biological_Process_2021	response to gamma radiation (GO:0010332)	2/24	0.00020868016842799032	0.0034953928211688	0	0	113.4090909090909	961.10890422201	ATM;TP53
Reactome_2022	Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	2/24	0.00020868016842799032	0.0039269813513267	0	0	113.4090909090909	961.10890422201	CDKN2A;TP53
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	3/142	0.00026442978241047907	0.0042949807082429	0	0	28.55107913669065	235.2019288213485	CDKN2A;NF1;TP53
Reactome_2022	DNA Double-Strand Break Repair R-HSA-5693532	3/149	0.00030459967882687423	0.0052543444597635	0	0	27.172602739726027	220.00330882475487	ATM;TP53;POLE
GO_Biological_Process_2021	regulation of DNA biosynthetic process (GO:2000278)	2/29	0.00030615524060429166	0.0048264473224676	0	0	92.38425925925924	747.5196825305202	HGF;ATM
GO_Biological_Process_2021	regulation of cell differentiation (GO:0045595)	3/156	0.0003485221172083399	0.0053373672806762	0	0	25.920261437908497	206.3721673192865	ALK;NF1;EPHA3
KEGG_2021_Human	Cellular senescence	3/156	0.0003485221172083399	0.0023129195051098	0	0	25.920261437908497	206.3721673192865	CDKN2A;ATM;TP53
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	3/157	0.0003551116108604761	0.0056544694960091	0	0	25.75064935064935	204.5394271867414	CDKN2A;ATM;TP53
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	3/159	0.00036853096049400535	0.0054870165229107	0	0	25.41794871794872	200.9539424487399	ALK;PDGFRA;ATM
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	5/742	0.0003971006027153122	0.005752592515011	0	0	10.043314894061163	78.65242185559012	ALK;HGF;NF1;ATM;TP53
Reactome_2022	Oncogene Induced Senescence R-HSA-2559585	2/33	0.0003973053137316762	0.0056682390236163	0	0	80.4475806451613	629.9693586370835	CDKN2A;TP53
Reactome_2022	Cellular Senescence R-HSA-2559583	3/165	0.0004107419582330657	0.0056682390236163	0	0	24.469135802469136	190.7991968166656	CDKN2A;ATM;TP53
GO_Biological_Process_2021	regulation of MAPK cascade (GO:0043408)	3/166	0.00041806628300213646	0.0057985871436799	0	0	24.317791411042943	189.1892696346213	EPHA7;NTRK3;NF1
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	2/34	0.0004219121242602919	0.0057985871436799	0	0	77.9296875	605.5692748599668	TP53;SMARCA4
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	2/35	0.0004472442885735218	0.0057862229834199	0	0	75.56439393939394	582.7832554136846	ARID1A;SMARCA4
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	5/764	0.0004541882477712679	0.0060861225201349	0	0	9.741056045403871	74.97689672333341	ALK;PDGFRA;CDKN2A;NTRK3;TP53
Reactome_2022	Disease R-HSA-1643685	7/1736	0.000494579412837916	0.0060222316739675	0	0	6.718071402281929	51.13663489594276	ALK;PDGFRA;CDKN2A;NF1;KEAP1;ATM;TP53
GO_Biological_Process_2021	regulation of actin cytoskeleton reorganization (GO:2000249)	2/37	0.0005000799632796284	0.0065376307394605	0	0	71.23928571428571	541.471469858816	PDGFRA;NTRK3
Reactome_2022	Transcriptional Regulation By VENTX R-HSA-8853884	2/39	0.0005558029199639917	0.0063917335795859	0	0	67.38175675675676	505.03278857308806	CDKN2A;TP53
KEGG_2021_Human	Bladder cancer	2/41	0.0006144037622474869	0.0037376228870055	0	0	63.9198717948718	472.6783914538256	CDKN2A;TP53
GO_Biological_Process_2021	regulation of release of cytochrome c from mitochondria (GO:0090199)	2/41	0.0006144037622474869	0.0078409622991584	0	0	63.9198717948718	472.6783914538256	HGF;TP53
GO_Biological_Process_2021	ATP-dependent chromatin remodeling (GO:0043044)	2/42	0.000644780459847493	0.0078753910765949	0	0	62.31875	457.8309705931631	ARID1A;SMARCA4
GO_Biological_Process_2021	regulation of programmed cell death (GO:0043067)	3/194	0.0006586061700926524	0.0078753910765949	0	0	20.723560209424083	151.80805336552052	ALK;ATM;TP53
GO_Biological_Process_2021	cellular response to retinoic acid (GO:0071300)	2/43	0.0006758731147824064	0.0078753910765949	0	0	60.795731707317074	443.7787597089313	ATM;EPHA3
GO_Biological_Process_2021	positive regulation of phospholipase C activity (GO:0010863)	2/43	0.0006758731147824064	0.0078753910765949	0	0	60.795731707317074	443.7787597089313	PDGFRA;NTRK3
Reactome_2022	TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	2/44	0.0007076805583778768	0.007709993451801	0	0	59.345238095238095	430.4617381877485	ATM;TP53
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	2/45	0.000740201623342803	0.0084414483002498	0	0	57.96220930232558	417.82568323656506	TP53;SMARCA4
GO_Biological_Process_2021	regulation of telomerase activity (GO:0051972)	2/46	0.0007734351437291583	0.0086366924383089	0	0	56.64204545454545	405.82149239611823	ATM;TP53
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	3/207	0.0007950223902507672	0.0086551131173082	0	0	19.390196078431373	138.39054946593228	PDGFRA;HGF;NTRK3
GO_Biological_Process_2021	positive regulation of neuron death (GO:1901216)	2/47	0.0008073799549727844	0.0086551131173082	0	0	55.38055555555555	394.40459836307184	EPHA7;NF1
GO_Biological_Process_2021	cellular response to ionizing radiation (GO:0071479)	2/48	0.0008420348934468774	0.0087707919290036	0	0	54.17391304347826	383.5344618642018	ATM;TP53
GO_Biological_Process_2021	phosphate-containing compound metabolic process (GO:0006796)	3/212	0.0008519289409993656	0.0087707919290036	0	0	18.921531100478468	133.7375225413182	ALK;PTPRD;EPHA7
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	4/496	0.0008672611422335725	0.0087707919290036	0	0	11.318234610917536	79.79548291055048	ALK;PDGFRA;ATM;EPHA3
Reactome_2022	RMTs Methylate Histone Arginines R-HSA-3214858	2/49	0.0008773987974909651	0.0086486452895538	0	0	53.0186170212766	373.1741306231756	ARID1A;SMARCA4
Reactome_2022	EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665	2/49	0.0008773987974909651	0.0086486452895538	0	0	53.0186170212766	373.1741306231756	EPHA7;EPHA3
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	3/217	0.0009113716684857772	0.0090462076723773	0	0	18.474766355140183	129.33370601958566	CDKN2A;TP53;SMARCA4
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0009358689648286442	0.0052552641871146	0	0	18.30185185185185	127.63775695593272	CDKN2A;ATM;TP53
Reactome_2022	Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425	2/51	0.0009502488602876736	0.0089409779127067	0	0	50.849489795918366	353.8507507245636	ATM;TP53
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	2/51	0.0009502488602876736	0.0092606070748035	0	0	50.849489795918366	353.8507507245636	ATM;TP53
GO_Biological_Process_2021	signal transduction in response to DNA damage (GO:0042770)	2/52	0.0009877327017010398	0.0094540130019956	0	0	49.83	344.82850534778163	ATM;TP53
KEGG_2021_Human	Human cytomegalovirus infection	3/225	0.0010118670805575	0.0052761640629072	0	0	17.8018018018018	122.76047861882788	PDGFRA;CDKN2A;TP53
GO_Biological_Process_2021	regulation of autophagy (GO:0010506)	3/231	0.00109168342845	0.0102656546956008	0	0	17.328070175438597	118.17803371823962	HGF;KEAP1;ATM
Reactome_2022	Intrinsic Pathway For Apoptosis R-HSA-109606	2/55	0.0011044055879804	0.0099396502918236	0	0	47.00235849056604	320.01311451477966	CDKN2A;TP53
KEGG_2021_Human	Ras signaling pathway	3/232	0.0011053626300749	0.0053794314663645	0	0	17.251528384279474	117.4411910967076	PDGFRA;HGF;NF1
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	2/56	0.0011446998237224	0.0103993068731394	0	0	46.129629629629626	312.4181218895314	ATM;TP53
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	2/56	0.0011446998237224	0.0103993068731394	0	0	46.129629629629626	312.4181218895314	PDGFRA;EPHA3
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	3/238	0.0011897278337605	0.0106282353149275	0	0	16.80595744680851	113.17183354335344	PDGFRA;EPHA7;NTRK3
KEGG_2021_Human	Calcium signaling pathway	3/240	0.0012187300690822	0.0055604559401876	0	0	16.662447257383967	111.8041194813529	PDGFRA;HGF;NTRK3
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	4/546	0.0012393791282764	0.0108902821763309	0	0	10.247759620453348	68.58973827500603	PDGFRA;HGF;NTRK3;TP53
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	2/59	0.0012697762309429	0.0109774203191195	0	0	43.69517543859649	291.39939300135444	ATM;TP53
Reactome_2022	Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565	2/60	0.0013128624367881	0.0107419129014488	0	0	42.939655172413794	284.92803390338764	ATM;TP53
GO_Biological_Process_2021	regulation of DNA-templated transcription, initiation (GO:2000142)	2/61	0.0013566437662336	0.0113618915422064	0	0	42.20974576271186	278.70003786815613	CDKN2A;TP53
GO_Biological_Process_2021	positive regulation of DNA biosynthetic process (GO:2000573)	2/61	0.0013566437662336	0.0113618915422064	0	0	42.20974576271186	278.70003786815613	HGF;ATM
Reactome_2022	DNA Double Strand Break Response R-HSA-5693606	2/61	0.0013566437662336	0.0107419129014488	0	0	42.20974576271186	278.70003786815613	ATM;TP53
Reactome_2022	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	2/61	0.0013566437662336	0.0107419129014488	0	0	42.20974576271186	278.70003786815613	ATM;TP53
Reactome_2022	TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648	2/62	0.001401119074102	0.0107419129014488	0	0	41.50416666666667	272.7024639719935	ATM;TP53
GO_Biological_Process_2021	response to retinoic acid (GO:0032526)	2/62	0.001401119074102	0.0115538434418259	0	0	41.50416666666667	272.7024639719935	ATM;EPHA3
GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	2/63	0.0014462872168013	0.0117456052758414	0	0	40.82172131147541	266.9232566421176	CDKN2A;POLE
GO_Biological_Process_2021	regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	2/64	0.0014921470517396	0.0119371764139169	0	0	40.16129032258065	261.35117197671207	CDKN2A;TP53
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	2/65	0.0015386974380497	0.011952780098473	0	0	39.5218253968254	255.97571122223425	KEAP1;ATM
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	2/65	0.0015386974380497	0.011952780098473	0	0	39.5218253968254	255.97571122223425	ATM;TP53
Reactome_2022	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	2/67	0.0016338653066189	0.0120789328025044	0	0	38.30192307692308	245.7760372982144	ATM;POLE
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	3/266	0.0016371829532615	0.0125361437564025	0	0	14.995437262357417	96.19240443286807	EPHA7;HGF;NTRK3
Reactome_2022	Cell Cycle Checkpoints R-HSA-69620	3/271	0.0017267475790249	0.0123254051330403	0	0	14.711940298507464	93.59023848079792	CDKN2A;ATM;TP53
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	2/69	0.0017317817196253	0.0128921528016555	0	0	37.15485074626866	236.2530013272004	PDGFRA;HGF
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	2/69	0.0017317817196253	0.0128921528016555	0	0	37.15485074626866	236.2530013272004	PDGFRA;EPHA3
GO_Biological_Process_2021	wound healing (GO:0042060)	2/70	0.0017817677909702	0.0130825689857543	0	0	36.606617647058826	231.7253538483752	PDGFRA;NF1
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	2/71	0.0018324375947144	0.0132727912265801	0	0	36.07427536231884	227.34398583074545	PDGFRA;NF1
Reactome_2022	Diseases Of Programmed Cell Death R-HSA-9645723	2/71	0.0018324375947144	0.0126438194035295	0	0	36.07427536231884	227.34398583074545	CDKN2A;TP53
GO_Biological_Process_2021	response to ionizing radiation (GO:0010212)	2/72	0.0018837899979258	0.0134628191851768	0	0	35.55714285714286	223.10221103497707	ATM;TP53
GO_Biological_Process_2021	regulation of hydrolase activity (GO:0051336)	2/73	0.0019358238702516	0.013652652558617	0	0	35.054577464788736	218.9937370166489	NF1;EPHA3
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	2/74	0.0019885380825574	0.0138380900468695	0	0	34.56597222222222	215.01263688059672	ATM;TP53
GO_Biological_Process_2021	positive regulation of programmed cell death (GO:0043068)	3/286	0.0020137519098056	0.0138380900468695	0	0	13.92155477031802	86.42161063152975	NF1;ATM;TP53
KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0020960030142903	0.0085004566690664	0	0	33.62837837837838	207.41052527927255	CDKN2A;TP53
