Cluster_ID	Gene
0	AGO2
0	AKT2
0	AMER1
0	AR
0	ATR
0	B2M
0	BRAF
0	BRCA1
0	BRD4
0	CD79A
0	CD79B
0	CSDE1
0	CTCF
0	DDR2
0	DICER1
0	DIS3
0	DNMT3A
0	DROSHA
0	EIF4E
0	EPHA3
0	EPHB1
0	ERBB4
0	ERCC5
0	ERRFI1
0	ETV6
0	EZH2
0	FAM175A
0	FBXW7
0	FGFR3
0	FH
0	FLT3
0	FOXL2
0	FUBP1
0	GAB1
0	GNAS
0	HIST1H3B
0	HIST1H3H
0	HLA-B
0	IKZF1
0	INHA
0	INPP4A
0	INPPL1
0	INSR
0	IRF4
0	IRS2
0	JUN
0	KDM6A
0	KMT2B
0	KMT2C
0	MAP2K2
0	MAP3K1
0	MAP3K13
0	MCL1
0	MDM2
0	MLL
0	MLL2
0	MSH2
0	MSH6
0	MUTYH
0	MYC
0	MYCN
0	MYOD1
0	NEGR1
0	NF2
0	NKX3-1
0	NOTCH2
0	NRAS
0	NSD1
0	NTRK2
0	PAK7
0	PARK2
0	PARP1
0	PAX5
0	PBRM1
0	PDGFRB
0	PGR
0	PIK3CB
0	PIK3R3
0	PTPRD
0	PTPRS
0	RASA1
0	RB1
0	RECQL4
0	RNF43
0	RPTOR
0	SLX4
0	SRC
0	TAP2
0	TBX3
0	TCF7L2
0	TERT
0	TET1
0	TNFAIP3
0	TP53
0	TP63
0	VEGFA
0	VTCN1
0	WHSC1
0	XPO1
0	YAP1
1	ACVR1
1	ALB
1	ANKRD11
1	ARAF
1	BAP1
1	BCL2
1	BLM
1	CARD11
1	CDH1
1	CDK12
1	CDK4
1	CDK8
1	CDKN1A
1	CIC
1	CTR9
1	CUL3
1	CXCR4
1	DUSP4
1	E2F3
1	EIF1AX
1	EIF4A2
1	EPHA7
1	ERBB2
1	FAM58A
1	FAT1
1	FGF19
1	FGFR4
1	FOXO1
1	FYN
1	GATA2
1	GNA11
1	H3F3C
1	HIST1H1C
1	HIST1H3A
1	HIST1H3D
1	HLA-A
1	HNF1A
1	HOXB13
1	IGF2
1	IKBKE
1	KLF4
1	KMT2D
1	LATS2
1	LMO1
1	MAP2K4
1	MDC1
1	MGA
1	MLH1
1	MLL3
1	MSH3
1	MSI1
1	NBN
1	NCOR1
1	NF1
1	NOTCH3
1	PIK3C3
1	PIK3R2
1	PIM1
1	PLK2
1	PMS1
1	PNRC1
1	POLD1
1	PPP2R1A
1	PRDM1
1	PRKD1
1	RFWD2
1	RTEL1-TNFRSF6B
1	RUNX1
1	SERPINB4
1	SESN3
1	SETDB1
1	SH2B3
1	SMARCD1
1	SOS1
1	SOX2
1	SPRED1
1	STAT5B
1	STK19
1	SUFU
1	TAP1
1	TEK
1	TP53BP1
1	TRAF7
1	UPF1
1	WHSC1L1
1	XRCC2
1	ZFHX3
2	AXL
2	BCL6
2	CARM1
2	CASP8
2	CCND1
2	CCNE1
2	CDKN1B
2	CHEK2
2	CREBBP
2	CTLA4
2	DAXX
2	DOT1L
2	EPAS1
2	EPHA5
2	ERCC3
2	ERG
2	ETV1
2	FGFR1
2	FGFR2
2	FLT1
2	FOXP1
2	GATA3
2	GLI1
2	GNAQ
2	GRIN2A
2	GSK3B
2	HIST1H3E
2	HIST3H3
2	ID3
2	IDH1
2	IL7R
