Metodo	Cluster_ID	Gene
Louvain	0	BRIP1
Louvain	0	RICTOR
Louvain	0	ALB
Louvain	0	HIST1H3A
Louvain	0	MTOR
Louvain	0	PDGFRA
Louvain	0	SHQ1
Louvain	0	NF1
Louvain	0	IGF1
Louvain	0	SDHA
Louvain	0	NSD1
Louvain	0	IRF4
Louvain	0	SF3B1
Louvain	0	MAP2K4
Louvain	0	EZH2
Louvain	0	BAP1
Louvain	0	RET
Louvain	0	SDHD
Louvain	0	ERRFI1
Louvain	0	BCL2
Louvain	0	CDK12
Louvain	0	SETD2
Louvain	0	E2F3
Louvain	0	SPOP
Louvain	0	CDK6
Louvain	0	ZNRF3
Louvain	0	PMS1
Louvain	0	ZFHX3
Louvain	0	EIF1AX
Louvain	0	WHSC1L1
Louvain	0	MITF
Louvain	0	SMAD4
Louvain	0	RPTOR
Louvain	0	TRAF7
Louvain	0	CBL
Louvain	0	DUSP4
Louvain	0	ALOX12B
Louvain	0	SETDB1
Louvain	0	CDH1
Louvain	0	AKT1
Louvain	0	BRAF
Louvain	0	IDH2
Louvain	0	CYP19A1
Louvain	0	CDC73
Louvain	0	ARID2
Louvain	0	SESN3
Louvain	0	IKBKE
Louvain	0	NOTCH4
Louvain	0	CIC
Louvain	0	RTEL1-TNFRSF6B
Louvain	0	PPP2R1A
Louvain	0	ERF
Louvain	0	MST1R
Louvain	0	ARID1A
Louvain	0	HIST1H3D
Louvain	0	FOXO1
Louvain	0	BLM
Louvain	0	XRCC2
Louvain	0	PTEN
Louvain	0	CUL3
Louvain	0	TERT
Louvain	0	TET2
Louvain	0	KMT2D
Louvain	0	STK19
Louvain	0	RPS6KA4
Louvain	0	SMARCD1
Louvain	0	CSF1R
Louvain	0	TSHR
Louvain	0	MET
Louvain	0	FLCN
Louvain	0	ARAF
Louvain	0	MALT1
Louvain	0	FGFR1
Louvain	0	CTR9
Louvain	0	PIM1
Louvain	0	KDR
Louvain	0	FGFR3
Louvain	0	ERBB2
Louvain	0	MLH1
Louvain	0	EPHA3
Louvain	0	FGF19
Louvain	0	SOS1
Louvain	0	CENPA
Louvain	0	STAT5A
Louvain	0	H3F3C
Louvain	0	DIS3
Louvain	0	PLK2
Louvain	1	RB1
Louvain	1	GNAQ
Louvain	1	TET1
Louvain	1	KDM6A
Louvain	1	INHA
Louvain	1	PAK7
Louvain	1	BRD4
Louvain	1	NTRK3
Louvain	1	FOXL2
Louvain	1	PGR
Louvain	1	DDR2
Louvain	1	TP53
Louvain	1	SRC
Louvain	1	PLCG2
Louvain	1	PARP1
Louvain	1	ATR
Louvain	1	NOTCH1
Louvain	1	ACVR1
Louvain	1	RNF43
Louvain	1	RAD52
Louvain	1	PTPRS
Louvain	1	STAT5B
Louvain	1	PTPRD
Louvain	1	PIK3CB
Louvain	1	XPO1
Louvain	1	IGF2
Louvain	1	HIST3H3
Louvain	1	MSH2
Louvain	1	DNMT3A
Louvain	1	IKZF1
Louvain	1	JUN
Louvain	1	INPPL1
Louvain	1	BRCA1
Louvain	1	HIST1H3B
Louvain	1	SLX4
Louvain	1	IL7R
Louvain	1	FH
Louvain	1	NTRK2
Louvain	1	FOXA1
Louvain	1	PIK3R2
Louvain	1	MLL
Louvain	1	PAX5
Louvain	1	NOTCH2
Louvain	1	DROSHA
Louvain	1	GATA2
Louvain	1	ERBB4
Louvain	1	PDGFRB
Louvain	1	TNFAIP3
Louvain	1	MYOD1
Louvain	1	MUTYH
