Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	27/451	6.664278436350102e-22	5.444715482498032e-19	RB1;AMER1;FLT3;SRC;PIK3R3;IRS2;PIK3CB;NRAS;ERBB4;AKT2;MYC;MCL1;PDGFRB;RNF43;NTRK2;TCF7L2;JUN;MAP2K2;FBXW7;GAB1;BRAF;ETV6;IRF4;AGO2;MDM2;TP53;FGFR3
0	Reactome_Pathways_2024	Disease	44/2131	1.2868459296586235e-17	5.256765622655477e-15	RB1;NOTCH2;AMER1;FLT3;SRC;PIK3R3;IRS2;BRCA1;PIK3CB;CD79B;CD79A;NRAS;XPO1;ERBB4;AKT2;MYC;B2M;MCL1;BRD4;MUTYH;PDGFRB;RNF43;NTRK2;TCF7L2;JUN;MAP2K2;PARP1;FBXW7;DNMT3A;HLA-B;GAB1;BRAF;ETV6;VEGFA;MSH6;MSH2;IRF4;AGO2;GNAS;MDM2;TP53;FGFR3;ATR;EZH2
0	KEGG_2021_Human	Pathways in cancer	24/531	1.1006190617195333e-16	2.2122443140562625e-14	RB1;PDGFRB;NOTCH2;TCF7L2;JUN;FH;MAP2K2;FLT3;PIK3R3;BRAF;PIK3CB;VEGFA;MSH6;AR;NRAS;MSH2;TERT;AKT2;MYC;GNAS;MDM2;TP53;FGFR3;NKX3-1
0	KEGG_2021_Human	MicroRNAs in cancer	19/310	1.0154538679245956e-15	1.0205311372642185e-13	PDGFRB;NOTCH2;MAP2K2;DNMT3A;PIK3R3;IRS2;DICER1;BRCA1;PIK3CB;VEGFA;RPTOR;NRAS;MYC;MDM2;TP53;FGFR3;TP63;MCL1;EZH2
0	KEGG_2021_Human	Prostate cancer	13/97	1.7981126403803038e-15	1.2047354690548042e-13	RB1;PDGFRB;TCF7L2;MAP2K2;PIK3R3;BRAF;PIK3CB;AR;NRAS;AKT2;MDM2;TP53;NKX3-1
0	Reactome_Pathways_2024	PIP3 Activates AKT Signaling	18/281	2.879493919217508e-15	7.841821773335679e-13	PDGFRB;NTRK2;JUN;FLT3;SRC;INSR;GAB1;PIK3R3;IRS2;PIK3CB;RPTOR;ERBB4;AKT2;AGO2;MDM2;TP53;FGFR3;EZH2
0	KEGG_2021_Human	Bladder cancer	10/41	6.066524344198356e-15	3.048428482959674e-13	RB1;NRAS;MAP2K2;SRC;MYC;MDM2;BRAF;FGFR3;TP53;VEGFA
0	KEGG_2021_Human	PI3K-Akt signaling pathway	19/354	1.1434444521835976e-14	4.596646697778063e-13	PDGFRB;NTRK2;MAP2K2;FLT3;INSR;PIK3R3;BRCA1;PIK3CB;VEGFA;RPTOR;NRAS;ERBB4;AKT2;MYC;MDM2;TP53;FGFR3;EIF4E;MCL1
0	KEGG_2021_Human	Colorectal cancer	12/86	1.3931490885607274e-14	4.667049446678437e-13	MSH6;TCF7L2;NRAS;JUN;MAP2K2;MSH2;AKT2;MYC;PIK3R3;BRAF;PIK3CB;TP53
0	Reactome_Pathways_2024	Signaling by Receptor Tyrosine Kinases	22/536	1.8000266550216675e-14	3.676554442881756e-12	PDGFRB;YAP1;NTRK2;MAP2K2;PTPRS;FLT3;SRC;INSR;GAB1;PIK3R3;IRS2;BRAF;PIK3CB;VEGFA;NRAS;MYCN;ERBB4;AKT2;MYC;RASA1;PGR;FGFR3
