Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ALK	3	0.03887854979792161	2.200103150107337	0.10002324475113888
ABL1	AMER1	2	0.11259592046292212	1.9406214529210684	0.17911636463654076
ABL1	AR	2	0.04292885217783429	2.785849432005684	0.1046945448395739
ABL1	ARAF	2	0.02910745081916969	3.1129979333574767	0.0876660453255045
ABL1	ARID1A	4	0.024284410527277176	2.097970928233869	0.08041694476073993
ABL1	ARID1B	2	0.06857214667854367	2.3833286395515056	0.13446106375963648
ABL1	ARID2	4	0.0050959973780310515	2.8092655236358643	0.041667821921731164
ABL1	ATM	4	0.04167630535449808	1.8325432541484372	0.10316479078179439
ABL1	ATR	5	0.0001849223265919173	3.635934455697185	0.009801629388932876
ABL1	BRAF	5	0.0032525786659652113	2.643466745841765	0.03456928234146065
ABL1	BRCA1	4	0.0009090467716559787	3.5441952224601385	0.020137531810739632
ABL1	CARD11	2	0.11259592046292212	1.9406214529210684	0.17911636463654076
ABL1	CBL	2	0.02910745081916969	3.1129979333574767	0.0876660453255045
ABL1	CDKN2A	3	0.09599848430570652	1.6213681471498933	0.16241782405765934
ABL1	CIC	2	0.066065148200719	2.4157887073358526	0.13218151465762618
ABL1	CREBBP	2	0.10384043043284599	2.014446078950915	0.17047467610659497
ABL1	CYLD	2	0.008655525076973808	4.123382415505282	0.05149912701417903
ABL1	DICER1	4	0.0009791848756185873	3.5130695822393703	0.02077624814629292
ABL1	DIS3	2	0.058744515444925656	2.5175756609912816	0.1244959213586466
ABL1	DNMT3A	3	0.004019596963548896	3.5064884426980716	0.03767072124803927
ABL1	DOT1L	2	0.09529715113793004	2.0920020008655067	0.16156189474815566
ABL1	EGFR	3	0.9531256766925479	-1.1967863416098785	0.9624490228403768
ABL1	EPHA3	4	0.01153514210049963	2.4452139735368497	0.05821426150254591
ABL1	EPHA5	3	0.08195956250712438	1.727142511680564	0.14885090847309024
ABL1	EPHA7	6	1.899549010424257e-05	3.9167799227741056	0.003255439113067758
ABL1	EPHB1	4	0.0022731481525515842	3.1574830227601938	0.0294214088926754
ABL1	ERBB2	2	0.17855104219800091	1.5037778532673034	0.2413806192522215
ABL1	ERBB4	4	0.0074318989772078434	2.6428972698052977	0.04851058687430703
ABL1	FAT1	6	0.001014287419373567	2.7731145976391716	0.021131158486767568
ABL1	FGF3	2	0.01757579324537254	3.533237017094794	0.06987876769263153
ABL1	FGFR1	2	0.012136972293159552	3.8410555340075505	0.059470070734713394
ABL1	FGFR4	2	0.034768340446308034	2.9639215406448973	0.09499082979702003
ABL1	FLT1	2	0.118542835486383	1.8933015308605634	0.1848947211188545
